word	Afrikaans-af	emotion	emotion-intensity-score
outraged	woedend	anger	0.964
brutality	brutaliteit	anger	0.959
hatred	haat	anger	0.953
hateful	haatlike	anger	0.940
terrorize	terroriseer	anger	0.939
violently	geweld	anger	0.938
infuriated	woedend	anger	0.938
furious	woedend	anger	0.929
enraged	woedend	anger	0.927
furiously	verwoed	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	moordenaar	anger	0.922
fury	woede	anger	0.922
execution	uitvoering	anger	0.917
angered	kwaad	anger	0.916
savagery	barbaarsheid	anger	0.915
slaughtering	slag	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Fokof	anger	0.912
annihilation	uitwissing	anger	0.912
assassinate	vermoor	anger	0.912
rage	woede	anger	0.911
loathe	walglik	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	verdoemenis	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	moord	anger	0.906
furor	furore	anger	0.900
hostile	vyandige	anger	0.898
annihilate	uit te wis	anger	0.898
murder	moord	anger	0.897
raging	woed	anger	0.896
vengeful	wraaksugtige	anger	0.894
rape	verkragting	anger	0.894
ferocious	kwaai	anger	0.894
pissed	dronk	anger	0.894
obliterated	uitgewis	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	plofbare	anger	0.894
killing	moord	anger	0.893
combative	dapper	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	wraak	anger	0.886
torment	marteling	anger	0.885
wrath	toorn	anger	0.885
vicious	bose	anger	0.884
massacre	slagting	anger	0.882
threatening	dreigende	anger	0.882
pissoff	Gaan weg	anger	0.875
abhorrent	gruwelike	anger	0.875
bloodthirsty	bloeddorstige	anger	0.875
fighting	veg	anger	0.868
annihilated	vernietig	anger	0.865
attacking	aanval	anger	0.865
angriest	kwaadste	anger	0.864
bloodshed	bloedvergieting	anger	0.864
smite	slaan	anger	0.862
brawl	geraas	anger	0.861
assault	aanranding	anger	0.859
malicious	kwaadwillige	anger	0.859
strangle	wurg	anger	0.859
tirade	tirade	anger	0.859
explode	ontplof	anger	0.859
assassination	sluipmoord	anger	0.859
hostility	vyandigheid	anger	0.859
loathsome	walglike	anger	0.857
hell	hel	anger	0.853
murderous	moordende	anger	0.853
attack	aanval	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	klop	anger	0.849
desecration	ontheiliging	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	verontwaardiging	anger	0.848
stab	steek	anger	0.844
slaughter	slagting	anger	0.844
violent	gewelddadige	anger	0.844
destroying	vernietig	anger	0.844
abomination	gruwel	anger	0.844
tumultuous	onstuimige	anger	0.844
irate	kwaad	anger	0.844
infuriate	woedend	anger	0.844
obliterate	uitwis	anger	0.843
belligerent	veglustige	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	hekel	anger	0.838
hostilities	vyandelikhede	anger	0.837
prick	prik	anger	0.835
torture	marteling	anger	0.833
rabid	hondsdol	anger	0.833
horrid	aaklige	anger	0.833
rampage	rampage	anger	0.833
cruelty	wreedheid	anger	0.833
hate	haat	anger	0.828
demonic	demoniese	anger	0.828
hating	haat	anger	0.828
satanic	sataniese	anger	0.828
tyrannical	tiranniese	anger	0.828
ragemode	ragemode	anger	0.828
despicable	veragtelike	anger	0.828
ruinous	vervalle	anger	0.825
condemn	veroordeel	anger	0.825
riots	onluste	anger	0.824
demolish	sloop	anger	0.824
angry	kwaad	anger	0.824
extermination	uitwissing	anger	0.824
dickhead	stomkop	anger	0.824
livid	woedend	anger	0.821
madman	besetene	anger	0.820
vindictive	wraaksugtige	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	wild	anger	0.818
venomous	giftige	anger	0.818
threaten	dreig	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terroriste	anger	0.818
abhor	afsku	anger	0.816
savage	wrede	anger	0.814
atrocity	gruweldaad	anger	0.814
carnage	slagting	anger	0.814
berserk	Berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misbruik	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	kwaai	anger	0.812
destroyer	verwoester	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	woedend	anger	0.812
barbaric	barbaarse	anger	0.812
anger	woede	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	gevegte	anger	0.803
punched	geslaan	anger	0.803
bitch	teef	anger	0.803
