word	Albanian-sq	emotion	emotion-intensity-score
outraged	i shkelur	anger	0.964
brutality	brutalitet	anger	0.959
hatred	urrejtje	anger	0.953
hateful	urryes	anger	0.940
terrorize	terrorizoj	anger	0.939
violently	me dhunë	anger	0.938
infuriated	zemëruar	anger	0.938
furious	i furishëm	anger	0.929
enraged	i tërbuar	anger	0.927
furiously	zemëruar	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	vrasës	anger	0.922
fury	tërbim	anger	0.922
execution	ekzekutim	anger	0.917
angered	zemëroi	anger	0.916
savagery	egërsi	anger	0.915
slaughtering	therja	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	asgjësim	anger	0.912
assassinate	të vrarë	anger	0.912
rage	bujë	anger	0.911
loathe	urrej	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	dënim	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	vrasës	anger	0.906
furor	tërbim	anger	0.900
hostile	armiqësor	anger	0.898
annihilate	asgjësoj	anger	0.898
murder	vrasje	anger	0.897
raging	ndezur	anger	0.896
vengeful	hakmarrës	anger	0.894
rape	përdhunim	anger	0.894
ferocious	i egër	anger	0.894
pissed	i dehur	anger	0.894
obliterated	zhdukur	anger	0.894
infuriates	zemëron	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksploziv	anger	0.894
killing	vrasje	anger	0.893
combative	luftarak	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	hakmarrje	anger	0.886
torment	vuajtje	anger	0.885
wrath	zemërim	anger	0.885
vicious	i egër	anger	0.884
massacre	masakër	anger	0.882
threatening	kërcënues	anger	0.882
pissoff	ngrit nervat	anger	0.875
abhorrent	i pështirë	anger	0.875
bloodthirsty	gjakatar	anger	0.875
fighting	luftimet	anger	0.868
annihilated	asgjësuar	anger	0.865
attacking	sulmuar	anger	0.865
angriest	angriest	anger	0.864
bloodshed	gjakderdhje	anger	0.864
smite	godas	anger	0.862
brawl	grindje	anger	0.861
assault	sulm	anger	0.859
malicious	me qëllim të keq	anger	0.859
strangle	mbyt	anger	0.859
tirade	bisedë e gjatë	anger	0.859
explode	shpërthej	anger	0.859
assassination	vrasja	anger	0.859
hostility	armiqësi	anger	0.859
loathsome	i neveritshëm	anger	0.857
hell	ferr	anger	0.853
murderous	vrasës	anger	0.853
attack	sulm	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorizëm	anger	0.851
beating	rrahje	anger	0.849
desecration	përdhosje	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	nëpërkëmbje	anger	0.848
stab	goditje me thikë	anger	0.844
slaughter	masakër	anger	0.844
violent	i dhunshëm	anger	0.844
destroying	shkatërruar	anger	0.844
abomination	neveri	anger	0.844
tumultuous	i zhurmshëm	anger	0.844
irate	nevrik	anger	0.844
infuriate	xhindos	anger	0.844
obliterate	prish	anger	0.843
belligerent	ndërluftues	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	urrej	anger	0.838
hostilities	veprime ushtarake	anger	0.837
prick	shpoj	anger	0.835
torture	torturë	anger	0.833
rabid	i tërbuar	anger	0.833
horrid	i tmerrshëm	anger	0.833
rampage	inat	anger	0.833
cruelty	mizori	anger	0.833
hate	urrej	anger	0.828
demonic	djallëzor	anger	0.828
hating	urren	anger	0.828
satanic	satanik	anger	0.828
tyrannical	tiranik	anger	0.828
ragemode	ragemode	anger	0.828
despicable	i neveritshëm	anger	0.828
ruinous	shkatërrues	anger	0.825
condemn	dënoj	anger	0.825
riots	trazirat	anger	0.824
demolish	shemb	anger	0.824
angry	i zemëruar	anger	0.824
extermination	asgjësim	anger	0.824
dickhead	dickhead	anger	0.824
livid	i zbehtë	anger	0.821
madman	i çmendur	anger	0.820
vindictive	hakmarrës	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	egërsi	anger	0.818
venomous	i helmët	anger	0.818
threaten	kërcënoj	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	urrej	anger	0.816
savage	i egër	anger	0.814
atrocity	mizori	anger	0.814
carnage	kërdi	anger	0.814
berserk	i çmendur	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuzim	anger	0.812
