word	Arabic-ar	emotion	emotion-intensity-score
outraged	غضب	anger	0.964
brutality	وحشية	anger	0.959
hatred	كراهية	anger	0.953
hateful	بغيض	anger	0.940
terrorize	إرهاب	anger	0.939
violently	بعنف	anger	0.938
infuriated	غضب	anger	0.938
furious	غاضب	anger	0.929
enraged	غاضب	anger	0.927
furiously	بشراسة	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	قاتل	anger	0.922
fury	غضب شديد	anger	0.922
execution	تنفيذ	anger	0.917
angered	أغضب	anger	0.916
savagery	الوحشية	anger	0.915
slaughtering	ذبح	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	إبادة	anger	0.912
assassinate	اغتيال	anger	0.912
rage	غضب	anger	0.911
loathe	أبغض	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	اللعن	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	قتلي	anger	0.906
furor	فضيحة	anger	0.900
hostile	عدائي	anger	0.898
annihilate	محق	anger	0.898
murder	قتل	anger	0.897
raging	تحتدم	anger	0.896
vengeful	منتقم	anger	0.894
rape	اغتصاب	anger	0.894
ferocious	متوحش	anger	0.894
pissed	سكران	anger	0.894
obliterated	طمس	anger	0.894
infuriates	يغضب	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	مادة متفجرة	anger	0.894
killing	قتل	anger	0.893
combative	مستعد للقتال	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	انتقام	anger	0.886
torment	عذاب	anger	0.885
wrath	غيظ	anger	0.885
vicious	وحشي	anger	0.884
massacre	مذبحة	anger	0.882
threatening	مهدد	anger	0.882
pissoff	اغرب عن وجهي	anger	0.875
abhorrent	مكروه	anger	0.875
bloodthirsty	سفاح	anger	0.875
fighting	قتال	anger	0.868
annihilated	يباد	anger	0.865
attacking	مهاجمة	anger	0.865
angriest	الأكثر غضبا	anger	0.864
bloodshed	إراقة الدماء	anger	0.864
smite	فتن	anger	0.862
brawl	شجار	anger	0.861
assault	الاعتداءات	anger	0.859
malicious	خبيث	anger	0.859
strangle	خنق	anger	0.859
tirade	خطبة مسهبة عنيفة	anger	0.859
explode	ينفجر	anger	0.859
assassination	اغتيال	anger	0.859
hostility	عداء	anger	0.859
loathsome	كريه	anger	0.857
hell	الجحيم	anger	0.853
murderous	قاتل	anger	0.853
attack	هجوم	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	إرهاب	anger	0.851
beating	الضرب	anger	0.849
desecration	تدنيس	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	غضب	anger	0.848
stab	طعنة	anger	0.844
slaughter	ذبح	anger	0.844
violent	عنيف	anger	0.844
destroying	تدمير	anger	0.844
abomination	رجس - مقت شديد، عمل بغيض	anger	0.844
tumultuous	مشاغب	anger	0.844
irate	غاضب	anger	0.844
infuriate	غضب	anger	0.844
obliterate	طمس	anger	0.843
belligerent	محارب	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	أبغض	anger	0.838
hostilities	قتال	anger	0.837
prick	وخزة	anger	0.835
torture	تعذيب	anger	0.833
rabid	مصاب بداء الكلب	anger	0.833
horrid	فظيع	anger	0.833
rampage	ثورة	anger	0.833
cruelty	قسوة	anger	0.833
hate	اكرهه	anger	0.828
demonic	شيطاني	anger	0.828
hating	كره	anger	0.828
satanic	شيطاني	anger	0.828
tyrannical	استبدادي	anger	0.828
ragemode	ragemode	anger	0.828
despicable	حقير، خسيس	anger	0.828
ruinous	طاحن	anger	0.825
condemn	شجب	anger	0.825
riots	أعمال الشغب	anger	0.824
demolish	هدم	anger	0.824
angry	غاضب	anger	0.824
extermination	إبادة	anger	0.824
dickhead	dickhead	anger	0.824
livid	غاضب	anger	0.821
madman	مجنون	anger	0.820
vindictive	انتقامي	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ضراوة	anger	0.818
venomous	سام	anger	0.818
threaten	هدد	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	إرهابي	anger	0.818
abhor	مقت	anger	0.816
savage	متوحش	anger	0.814
atrocity	فظاعة	anger	0.814
carnage	مذبحة	anger	0.814
berserk	هائج	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	إساءة	anger	0.812
tyrant	طاغية	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	منزعج	anger	0.812
vendetta	ثأر	anger	0.812
fierce	عنيف	anger	0.812
destroyer	مدمر	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	دخن	anger	0.812
barbaric	بربري	anger	0.812
anger	غضب	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	ضربة عنيفة	anger	0.803
fights	معارك	anger	0.803
punched	لكمات	anger	0.803
bitch	الكلبة	anger	0.803
punching	اللكم	anger	0.803
homicide	قتل	anger	0.803
destructive	مدمرة	anger	0.797
ruthless	قاس	anger	0.797
villainous	خسيس	anger	0.797
