word	Basque-eu	emotion	emotion-intensity-score
outraged	haserretu	anger	0.964
brutality	basakeria	anger	0.959
hatred	gorrotoa	anger	0.953
hateful	gorrotagarria	anger	0.940
terrorize	izutzen	anger	0.939
violently	bortizki	anger	0.938
infuriated	infuriated	anger	0.938
furious	haserre	anger	0.929
enraged	haserre	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	hiltzaile	anger	0.922
fury	haserrea	anger	0.922
execution	exekuzioa	anger	0.917
angered	angered	anger	0.916
savagery	basakeria	anger	0.915
slaughtering	hilketa	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	erailtzeko	anger	0.912
rage	amorrua	anger	0.911
loathe	nekez kokatzen	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	etsai	anger	0.898
annihilate	suntsitu	anger	0.898
murder	hilketa	anger	0.897
raging	raging	anger	0.896
vengeful	vengeful	anger	0.894
rape	bortxaketa	anger	0.894
ferocious	ferocious	anger	0.894
pissed	pissed	anger	0.894
obliterated	ezabatu	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	lehergai	anger	0.894
killing	hilketak	anger	0.893
combative	borrokalaria	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	mendeku	anger	0.886
torment	oinazeak	anger	0.885
wrath	hasarrea	anger	0.885
vicious	gurpil	anger	0.884
massacre	sarraskia	anger	0.882
threatening	mehatxatzaileak	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	basatia	anger	0.875
fighting	itzaltze	anger	0.868
annihilated	desegin	anger	0.865
attacking	erasotzeko	anger	0.865
angriest	angriest	anger	0.864
bloodshed	bloodshed	anger	0.864
smite	Ioren	anger	0.862
brawl	brawl	anger	0.861
assault	eraso	anger	0.859
malicious	maltzur	anger	0.859
strangle	itotzeko	anger	0.859
tirade	tirade	anger	0.859
explode	lehertu	anger	0.859
