word	Belarusian-be	emotion	emotion-intensity-score
outraged	абураны	anger	0.964
brutality	зверства	anger	0.959
hatred	нянавісць	anger	0.953
hateful	ненавісны	anger	0.940
terrorize	тэрарызаваць	anger	0.939
violently	моцна	anger	0.938
infuriated	раз'юшаны	anger	0.938
furious	раз'юшаны	anger	0.929
enraged	раз'юшаны	anger	0.927
furiously	шалёна	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	забойца	anger	0.922
fury	апантанасць	anger	0.922
execution	выкананне	anger	0.917
angered	раззлавала	anger	0.916
savagery	дзікунства	anger	0.915
slaughtering	забой	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	знішчэнне	anger	0.912
assassinate	забіваць	anger	0.912
rage	лютасьць	anger	0.911
loathe	ненавідзець	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	праклён	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	смяротны	anger	0.906
furor	фурор	anger	0.900
hostile	варожы	anger	0.898
annihilate	аннигилировать	anger	0.898
murder	забойства	anger	0.897
raging	люты	anger	0.896
vengeful	помсны	anger	0.894
rape	згвалтаванне	anger	0.894
ferocious	люты	anger	0.894
pissed	п'яны	anger	0.894
obliterated	сціраецца	anger	0.894
infuriates	бесіць	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	выбуховае рэчыва	anger	0.894
killing	забойства	anger	0.893
combative	Задзірлівасць	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	помста	anger	0.886
torment	пакута	anger	0.885
wrath	гнеў	anger	0.885
vicious	заганны	anger	0.884
massacre	бойня	anger	0.882
threatening	пагрозлівы	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	агідны	anger	0.875
bloodthirsty	крыважэрны	anger	0.875
fighting	барацьба	anger	0.868
annihilated	знішчаны	anger	0.865
attacking	нападаючы	anger	0.865
angriest	angriest	anger	0.864
bloodshed	кровапраліцце	anger	0.864
smite	удараць	anger	0.862
brawl	скандаліць	anger	0.861
assault	напад	anger	0.859
malicious	зламысны	anger	0.859
strangle	прыдушыць	anger	0.859
tirade	тырада	anger	0.859
explode	выбухаць	anger	0.859
assassination	забойства	anger	0.859
hostility	варожасць	anger	0.859
loathsome	агідны	anger	0.857
hell	пекла	anger	0.853
murderous	забойны	anger	0.853
attack	атака	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	тэрарызм	anger	0.851
beating	біццё	anger	0.849
desecration	апаганьванне	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	бязладдзе	anger	0.848
stab	удар нажом	anger	0.844
slaughter	забой жывёлы	anger	0.844
violent	гвалтоўны	anger	0.844
destroying	разбуральны	anger	0.844
abomination	мярзота	anger	0.844
tumultuous	буяны	anger	0.844
irate	разгневаны	anger	0.844
infuriate	раз'юшыць	anger	0.844
obliterate	знішчаць	anger	0.843
belligerent	ваяўнічы	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ненавідзець	anger	0.838
hostilities	ваенныя дзеянні	anger	0.837
prick	калоць	anger	0.835
torture	катаванні	anger	0.833
rabid	шалёны	anger	0.833
horrid	адваротны	anger	0.833
rampage	буянства	anger	0.833
cruelty	жорсткасць	anger	0.833
hate	ненавідзець	anger	0.828
demonic	дэманічны	anger	0.828
hating	ненавідзячы	anger	0.828
satanic	сатанінскі	anger	0.828
tyrannical	тыранічны	anger	0.828
ragemode	ragemode	anger	0.828
despicable	пагарджаны	anger	0.828
ruinous	пагібельны	anger	0.825
condemn	асуджаць	anger	0.825
riots	масавыя беспарадкі	anger	0.824
demolish	зносіць	anger	0.824
angry	гнеўны	anger	0.824
extermination	вынішчэньне	anger	0.824
dickhead	залупа	anger	0.824
livid	сінявата-барвовы	anger	0.821
madman	шаленец	anger	0.820
vindictive	помсны	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	лютасць	anger	0.818
venomous	атрутны	anger	0.818
threaten	пагражаць	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	тэрарыст	anger	0.818
abhor	сілкаваць агіду	anger	0.816
savage	дзікун	anger	0.814
atrocity	зверства	anger	0.814
carnage	разня	anger	0.814
berserk	апантаны	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	злоўжыванне	anger	0.812
tyrant	тыран	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	раз'юшаны	anger	0.812
vendetta	вендэта	anger	0.812
fierce	люты	anger	0.812
destroyer	разбуральнік	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	дымяшчай	anger	0.812
barbaric	варварскі	anger	0.812
anger	гнеў	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	пляскаць	anger	0.803
fights	баі	anger	0.803
punched	перфараваны	anger	0.803
bitch	сука	anger	0.803
punching	перфарацыя	anger	0.803
homicide	забойства	anger	0.803
destructive	разбуральны	anger	0.797
ruthless	бязлітасны	anger	0.797
villainous	злачынны	anger	0.797
slap	аплявуха	anger	0.791
slaughterhouse	скотобойню	anger	0.788
punishing	карны	anger	0.788
destroyed	разбураны	anger	0.788
retaliatory	рэпрэсіўны	anger	0.788
riot	бунт	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	лямантуючы	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	д'ябальскі	anger	0.788
manslaughter	ненаўмысным забойстве	anger	0.783
clash	сутыкненне	anger	0.783
bloody	крывавы	anger	0.781
hellish	пякельны	anger	0.781
loath	не хацелася	anger	0.781
detonation	дэтанацыя	anger	0.781
quarrel	сварка	anger	0.781
sinister	злавесны	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	абвінавачванне	anger	0.779
treacherous	вераломны	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	помсціць	anger	0.773
revulsion	адліў	anger	0.773
madder	марена	anger	0.773
horrific	жахлівы	anger	0.773
scorn	пагарджаць	anger	0.769
deplorable	сумны	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархіст	anger	0.765
devastation	спусташэнне	anger	0.765
resent	абурацца	anger	0.765
firestorm	вогненная	anger	0.765
contemptible	пагарджаны	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	жорсткі	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	смяротны	anger	0.758
smash	граміць	anger	0.758
rant	дэкламацыя	anger	0.758
outburst	выбух	anger	0.757
snarl	гыркаць	anger	0.754
profane	неазнаёмлены	anger	0.750
offend	крыўдзіць	anger	0.750
douchebags	Douchebags	anger	0.750
growling	рыкаць	anger	0.750
stfu	STFU	anger	0.750
vulgarity	вульгарнасць	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	вар'ят	anger	0.750
despise	пагарджаць	anger	0.750
horror	жах	anger	0.750
aggravating	які пагоршыць	anger	0.750
revolting	агідны	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	пагроза	anger	0.742
erupt	прарэзвалі	anger	0.742
screaming	якія крычаць	anger	0.742
violence	гвалт	anger	0.742
horrible	жудасны	anger	0.742
molestation	назойлівасць	anger	0.742
bastards	ўблюдкі	anger	0.741
revenge	помста	anger	0.738
catastrophe	катастрофа	anger	0.735
menacing	пагрозлівы	anger	0.735
demon	дэман	anger	0.735
crushing	драбненне	anger	0.735
damn	блін	anger	0.735
persecute	пераследваць	anger	0.734
argue	спрачацца	anger	0.734
flog	секчы	anger	0.734
revolt	паўстанне	anger	0.734
thrash	малаціць	anger	0.734
deplore	аплакваць	anger	0.734
warfare	вайна	anger	0.734
fedup	надакучыла	anger	0.734
vehement	апантаны	anger	0.734
riotous	буяны	anger	0.734
altercation	лаянка	anger	0.729
warlike	ваяўнічы	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	бунт	anger	0.727
castrate	спакладаны	anger	0.727
sabotage	сабатаж	anger	0.727
malevolent	недабразычлівы	anger	0.721
strike	забастоўка	anger	0.721
disaster	бедства	anger	0.721
disastrous	пагібельны	anger	0.720
tumult	буянства	anger	0.719
madden	бесить	anger	0.719
devil	д'ябал	anger	0.719
scream	гарлапаніць	anger	0.719
brutal	зверскі	anger	0.719
treachery	вераломства	anger	0.719
scorching	палючы	anger	0.719
vermin	шкоднікі	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	сабачае	anger	0.719
aggravates	пагаршае	anger	0.719
spiteful	злосны	anger	0.719
slay	Змагайцеся	anger	0.719
disdain	пагарджаць	anger	0.719
