word	Bengali-bn	emotion	emotion-intensity-score
outraged	ক্ষুব্ধ	anger	0.964
brutality	পশুত্ব	anger	0.959
hatred	ঘৃণা	anger	0.953
hateful	ঘৃণ্য	anger	0.940
terrorize	সন্ত্রাসিত করা	anger	0.939
violently	আবেগপূর্নভাবে	anger	0.938
infuriated	প্রকুপিত	anger	0.938
furious	অগ্নিশর্মা	anger	0.929
enraged	ক্রুদ্ধ	anger	0.927
furiously	উন্মত্তবৎ	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	খুনী	anger	0.922
fury	উন্মত্ততা	anger	0.922
execution	ফাঁসি	anger	0.917
angered	কুপিত	anger	0.916
savagery	বর্বরতার	anger	0.915
slaughtering	জবাই	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	নাশ	anger	0.912
assassinate	গুপ্তহত্যা করা	anger	0.912
rage	ক্রোধ	anger	0.911
loathe	অতিশয় অপছন্দ করা	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	অভিশাপ	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	স্বশ্রেণীঘাতী	anger	0.906
furor	উন্মাদনা	anger	0.900
hostile	প্রতিকূল	anger	0.898
annihilate	ধ্বংস করা	anger	0.898
murder	হত্যা	anger	0.897
raging	raging	anger	0.896
vengeful	প্রতিহিংসাপরায়ণ	anger	0.894
rape	ধর্ষণ	anger	0.894
ferocious	হিংস্র	anger	0.894
pissed	প্রস্রাব	anger	0.894
obliterated	ধ্বংস	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	বিস্ফোরক	anger	0.894
killing	হত্যা	anger	0.893
combative	রণশীল	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	প্রতিহিংসা	anger	0.886
torment	পীড়ন	anger	0.885
wrath	ক্রোধ	anger	0.885
vicious	দুশ্চরিত্র	anger	0.884
massacre	হত্যাকাণ্ড	anger	0.882
threatening	শাসানি	anger	0.882
pissoff	কেটে পরা	anger	0.875
abhorrent	জঘন্য	anger	0.875
bloodthirsty	রক্তপিপাসু	anger	0.875
fighting	যুদ্ধ	anger	0.868
annihilated	বিলুপ্ত	anger	0.865
attacking	আক্রমণ	anger	0.865
angriest	angriest	anger	0.864
bloodshed	রক্তপাত	anger	0.864
smite	আঘাত	anger	0.862
