word	Bosnian-bs	emotion	emotion-intensity-score
outraged	uznemireni	anger	0.964
brutality	brutalnost	anger	0.959
hatred	mržnja	anger	0.953
hateful	mržnje	anger	0.940
terrorize	terorizira	anger	0.939
violently	nasilno	anger	0.938
infuriated	besni	anger	0.938
furious	besan	anger	0.929
enraged	besan	anger	0.927
furiously	besno	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ubica	anger	0.922
fury	bes	anger	0.922
execution	izvršenje	anger	0.917
angered	ljutito	anger	0.916
savagery	divljaštvo	anger	0.915
slaughtering	klanje	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	uništavanje	anger	0.912
assassinate	atentirati	anger	0.912
rage	bes	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	prokletstvo	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ubistvo	anger	0.906
furor	furor	anger	0.900
hostile	neprijateljski	anger	0.898
annihilate	uništiti	anger	0.898
murder	ubistvo	anger	0.897
raging	besan	anger	0.896
vengeful	osvetoljubiv	anger	0.894
rape	silovanje	anger	0.894
ferocious	divljač	anger	0.894
pissed	pijan	anger	0.894
obliterated	izbrisana	anger	0.894
infuriates	infurira	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplozivno	anger	0.894
killing	ubistvo	anger	0.893
combative	borbeno	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	osveta	anger	0.886
torment	mučenje	anger	0.885
wrath	gnjev	anger	0.885
vicious	pokvaren	anger	0.884
massacre	masakr	anger	0.882
threatening	preteći	anger	0.882
pissoff	odjebi	anger	0.875
abhorrent	odvratan	anger	0.875
bloodthirsty	krvožedan	anger	0.875
fighting	borbe	anger	0.868
annihilated	uništen	anger	0.865
attacking	napada	anger	0.865
angriest	ljutito	anger	0.864
bloodshed	krvoproliće	anger	0.864
smite	smit	anger	0.862
brawl	bravo	anger	0.861
assault	napad	anger	0.859
malicious	zlonamerni	anger	0.859
strangle	zadaviti	anger	0.859
tirade	tirade	anger	0.859
explode	eksplodira	anger	0.859
assassination	atentat	anger	0.859
hostility	neprijateljstvo	anger	0.859
loathsome	odvratno	anger	0.857
hell	dođavola	anger	0.853
murderous	ubilački	anger	0.853
attack	napad	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorizam	anger	0.851
beating	premlaćivanje	anger	0.849
desecration	skrnavljenje	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ljutnja	anger	0.848
stab	ubodno	anger	0.844
slaughter	klanje	anger	0.844
violent	nasilan	anger	0.844
destroying	uništavajući	anger	0.844
abomination	abomination	anger	0.844
tumultuous	burno	anger	0.844
irate	besmisleno	anger	0.844
infuriate	infuriraj	anger	0.844
obliterate	obrisati	anger	0.843
belligerent	ratni	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	odvratite	anger	0.838
hostilities	neprijateljstva	anger	0.837
prick	prick	anger	0.835
torture	mučenje	anger	0.833
rabid	besni	anger	0.833
horrid	užasno	anger	0.833
rampage	divljanje	anger	0.833
cruelty	okrutnost	anger	0.833
hate	mrzite	anger	0.828
demonic	demonski	anger	0.828
hating	mrziti	anger	0.828
