word	Bulgarian-bg	emotion	emotion-intensity-score
outraged	изнасилена	anger	0.964
brutality	бруталност	anger	0.959
hatred	ненавист	anger	0.953
hateful	омразен	anger	0.940
terrorize	тероризирам	anger	0.939
violently	насилствено	anger	0.938
infuriated	разгневен	anger	0.938
furious	яростен	anger	0.929
enraged	разярен	anger	0.927
furiously	яростно	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	убиец	anger	0.922
fury	ярост	anger	0.922
execution	екзекуция	anger	0.917
angered	разгневи	anger	0.916
savagery	диващина	anger	0.915
slaughtering	клане	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	унищожаване	anger	0.912
assassinate	убивам	anger	0.912
rage	гняв	anger	0.911
loathe	ненавиждам	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	проклятие	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	убийствен	anger	0.906
furor	фурор	anger	0.900
hostile	враждебен	anger	0.898
annihilate	унищожи	anger	0.898
murder	убийство	anger	0.897
raging	яростен	anger	0.896
vengeful	отмъстителен	anger	0.894
rape	изнасилване	anger	0.894
ferocious	свиреп	anger	0.894
pissed	пиян-залян	anger	0.894
obliterated	заличени	anger	0.894
infuriates	вбесява	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	експлозивен	anger	0.894
killing	убиване	anger	0.893
combative	войнствен	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	отмъщение	anger	0.886
torment	мъка	anger	0.885
wrath	гняв	anger	0.885
vicious	порочен	anger	0.884
massacre	клане	anger	0.882
threatening	заплашващ	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	отблъскващ	anger	0.875
bloodthirsty	кръвожаден	anger	0.875
fighting	борба	anger	0.868
annihilated	унищожена	anger	0.865
attacking	атакуващ	anger	0.865
angriest	angriest	anger	0.864
bloodshed	кръвопролитие	anger	0.864
smite	поразявам	anger	0.862
brawl	караница	anger	0.861
assault	нападение	anger	0.859
malicious	злонамерен	anger	0.859
strangle	задушавам	anger	0.859
tirade	тирада	anger	0.859
explode	експлодирам	anger	0.859
assassination	убийство	anger	0.859
hostility	враждебност	anger	0.859
loathsome	гнусен	anger	0.857
hell	ад	anger	0.853
murderous	убийствен	anger	0.853
attack	атака	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	тероризъм	anger	0.851
beating	побой	anger	0.849
desecration	оскверняване	anger	0.848
pissingmeoff	изнервя ме	anger	0.848
outrage	възмущение	anger	0.848
stab	усилие	anger	0.844
slaughter	клане	anger	0.844
violent	насилствен	anger	0.844
destroying	унищожавайки	anger	0.844
abomination	мерзост	anger	0.844
tumultuous	шумен	anger	0.844
irate	сърдит	anger	0.844
infuriate	вбесявам	anger	0.844
obliterate	заличавам	anger	0.843
belligerent	воюващ	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	мразя	anger	0.838
hostilities	военни действия	anger	0.837
prick	убождане	anger	0.835
torture	изтезание	anger	0.833
rabid	бесен	anger	0.833
horrid	ужасен	anger	0.833
rampage	вилнеене	anger	0.833
cruelty	жестокост	anger	0.833
hate	мразя	anger	0.828
demonic	дяволски	anger	0.828
hating	мрази	anger	0.828
satanic	сатанински	anger	0.828
tyrannical	тираничен	anger	0.828
ragemode	ragemode	anger	0.828
despicable	презрян	anger	0.828
ruinous	пагубен	anger	0.825
condemn	осъждам	anger	0.825
riots	бунтове	anger	0.824
demolish	сривам	anger	0.824
angry	ядосан	anger	0.824
extermination	изтребване	anger	0.824
dickhead	тъпако	anger	0.824
livid	вбесен	anger	0.821
madman	луд	anger	0.820
vindictive	отмъстителен	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	свирепост	anger	0.818
venomous	отровен	anger	0.818
threaten	заплашвам	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	терорист	anger	0.818
abhor	ненавиждам	anger	0.816
savage	дивак	anger	0.814
atrocity	зверство	anger	0.814
carnage	сеч	anger	0.814
berserk	обезумял	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	злоупотреба	anger	0.812
tyrant	тиран	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	вбесен	anger	0.812
vendetta	вендета	anger	0.812
fierce	свиреп	anger	0.812
destroyer	разрушител	anger	0.812
pissesmeoff	ядосва ме	anger	0.812
fuming	димяща	anger	0.812
barbaric	варварски	anger	0.812
anger	гняв	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	шлем	anger	0.803
fights	боеве	anger	0.803
punched	набра	anger	0.803
bitch	кучка	anger	0.803
punching	пробиване	anger	0.803
homicide	убийство	anger	0.803
destructive	разрушителна	anger	0.797
ruthless	безскрупулен	anger	0.797
villainous	долен	anger	0.797
slap	шамар	anger	0.791
slaughterhouse	кланица	anger	0.788
punishing	наказване	anger	0.788
destroyed	унищожен	anger	0.788
retaliatory	репресивен	anger	0.788
riot	бунт	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	викане	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	дяволски	anger	0.788
manslaughter	непредумишлено убийство	anger	0.783
clash	конфликт	anger	0.783
bloody	кървав	anger	0.781
hellish	адски	anger	0.781
loath	нежелаещ	anger	0.781
detonation	детонация	anger	0.781
quarrel	кавга	anger	0.781
sinister	зловещ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	обвинявайки	anger	0.779
treacherous	вероломен	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	отмъщавам си	anger	0.773
revulsion	погнуса	anger	0.773
madder	брош	anger	0.773
horrific	ужасяващ	anger	0.773
scorn	презрение	anger	0.769
deplorable	плачевен	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархист	anger	0.765
devastation	опустошение	anger	0.765
resent	възмущавам	anger	0.765
firestorm	буря	anger	0.765
contemptible	достоен за презрение	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	жесток	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	смъртоносен	anger	0.758
smash	фалирам	anger	0.758
rant	тирада	anger	0.758
outburst	изблик	anger	0.757
snarl	ръмжене	anger	0.754
profane	скверен	anger	0.750
offend	обиждам	anger	0.750
douchebags	douchebags	anger	0.750
growling	ръмжи	anger	0.750
stfu	STFU	anger	0.750
vulgarity	вулгарност	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	луд	anger	0.750
despise	презирам	anger	0.750
horror	ужас	anger	0.750
aggravating	отежняващ	anger	0.750
revolting	отвратителен	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	заплаха	anger	0.742
erupt	бълвам	anger	0.742
screaming	крещящ	anger	0.742
violence	насилие	anger	0.742
horrible	ужасен	anger	0.742
molestation	безпокоене	anger	0.742
bastards	копелета	anger	0.741
revenge	отмъщение	anger	0.738
catastrophe	катастрофа	anger	0.735
menacing	заплашително	anger	0.735
demon	демон	anger	0.735
crushing	смачкване	anger	0.735
damn	проклет	anger	0.735
persecute	преследвам	anger	0.734
argue	споря	anger	0.734
flog	шибам	anger	0.734
revolt	бунт	anger	0.734
thrash	побеждавам	anger	0.734
deplore	осъждам	anger	0.734
warfare	война	anger	0.734
fedup	писнало	anger	0.734
vehement	разпален	anger	0.734
riotous	размирен	anger	0.734
altercation	кавга	anger	0.729
warlike	войнствен	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	метеж	anger	0.727
castrate	кастрирам	anger	0.727
sabotage	саботаж	anger	0.727
malevolent	отмъстителен	anger	0.721
strike	стачка	anger	0.721
disaster	бедствие	anger	0.721
disastrous	катастрофален	anger	0.720
tumult	вълнение	anger	0.719
madden	полудявам	anger	0.719
devil	дявол	anger	0.719
scream	вик	anger	0.719
brutal	брутален	anger	0.719
treachery	предателство	anger	0.719
scorching	изгарящ	anger	0.719
vermin	паразити	anger	0.719
arseholes	гъзари	anger	0.719
horseshit	глупости	anger	0.719
aggravates	утежнява	anger	0.719
spiteful	злобен	anger	0.719
slay	убивам	anger	0.719
disdain	презрение	anger	0.719
choke	дросел	anger	0.719
bastarding	bastarding	anger	0.719
mangle	развалям	anger	0.714
anarchism	анархизъм	anger	0.714
mutilation	осакатяване	anger	0.714
criminal	престъпник	anger	0.714
denunciation	денонсиране	anger	0.713
punch	удар	anger	0.713
crucifixion	разпъване на кръст	anger	0.712
virulence	вирулентност	anger	0.712
battled	пребори	anger	0.712
fatal	фатален	anger	0.712
holocaust	унищожение	anger	0.712
blasphemous	богохулнически	anger	0.712
hurting	наранява	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	умопомрачен	anger	0.706
atrocious	брутален	anger	0.706
evil	зло	anger	0.706
