word	Cebuano-ceb	emotion	emotion-intensity-score
outraged	nasuko	anger	0.964
brutality	kabangis	anger	0.959
hatred	pagdumot	anger	0.953
hateful	madumtanon	anger	0.940
terrorize	pahadlokon	anger	0.939
violently	mapintas	anger	0.938
infuriated	napungot	anger	0.938
furious	masuk-anon	anger	0.929
enraged	masuko	anger	0.927
furiously	sa kalagot	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	mamumuno	anger	0.922
fury	kapungot	anger	0.922
execution	pagpatay	anger	0.917
angered	nasuko	anger	0.916
savagery	kaligutgot	anger	0.915
slaughtering	pagpatay	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	malipayon	anger	0.912
annihilation	pagkapukan	anger	0.912
assassinate	pagpatay	anger	0.912
rage	kasuko	anger	0.911
loathe	gikasilagan	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	panghimaraut	anger	0.906
fucktard	nga	anger	0.906
homicidal	pagpatay	anger	0.906
furor	kasuko	anger	0.900
hostile	kontra	anger	0.898
annihilate	pagpuo	anger	0.898
murder	pagpatay	anger	0.897
raging	nagdilaab	anger	0.896
vengeful	vengeful	anger	0.894
rape	paglugos	anger	0.894
ferocious	bangis nga	anger	0.894
pissed	pissed	anger	0.894
obliterated	napapas	anger	0.894
infuriates	makalagot	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplosibo	anger	0.894
killing	pagpatay	anger	0.893
combative	combative	anger	0.891
gofuckyourself	pagkalipay sa kaugalingon	anger	0.886
vengeance	pagpanimalus	anger	0.886
torment	pagsakit	anger	0.885
wrath	kapungot	anger	0.885
vicious	mapintas	anger	0.884
massacre	pagpamatay	anger	0.882
threatening	naghulga	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	kasilag	anger	0.875
bloodthirsty	uhaw sa dugo	anger	0.875
fighting	away	anger	0.868
annihilated	gubaon	anger	0.865
attacking	pag-atake	anger	0.865
angriest	ang kinasuloran	anger	0.864
bloodshed	pagpaagas sa dugo	anger	0.864
smite	pagbunal	anger	0.862
brawl	brawl	anger	0.861
assault	pag-atake	anger	0.859
malicious	malisyoso	anger	0.859
strangle	maghigda	anger	0.859
tirade	tirade	anger	0.859
explode	mibuto	anger	0.859
assassination	pagpatay	anger	0.859
hostility	pagsupak	anger	0.859
loathsome	makalagot	anger	0.857
hell	impyerno	anger	0.853
murderous	pagpatay	anger	0.853
attack	atake	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorismo	anger	0.851
beating	pagbunal	anger	0.849
desecration	pagpakasala	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kasuko	anger	0.848
stab	dinunggaban	anger	0.844
slaughter	pagpamatay	anger	0.844
violent	mapintas	anger	0.844
destroying	paglaglag	anger	0.844
abomination	dulumtanan	anger	0.844
tumultuous	naglibog	anger	0.844
irate	pagkalagot	anger	0.844
infuriate	Nasuko	anger	0.844
obliterate	mapapas	anger	0.843
belligerent	palaaway	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	dungog	anger	0.838
hostilities	kasamok	anger	0.837
prick	prick	anger	0.835
torture	torture	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	pagpanghasi	anger	0.833
cruelty	kabangis	anger	0.833
hate	pagdumot	anger	0.828
demonic	demonyohanon	anger	0.828
hating	hating	anger	0.828
satanic	sataniko	anger	0.828
tyrannical	mapiguson	anger	0.828
ragemode	ragemode	anger	0.828
despicable	talamayon	anger	0.828
ruinous	makagun-ob	anger	0.825
condemn	pagahukman sa silot	anger	0.825
riots	mga kagubot	anger	0.824
demolish	gubaon	anger	0.824
angry	nasuko	anger	0.824
extermination	pagpuo	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	buang	anger	0.820
vindictive	mapamatud-an	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	kabangis	anger	0.818
venomous	makahilo	anger	0.818
threaten	naghulga	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	kasilag	anger	0.816
savage	luya	anger	0.814
atrocity	kasuko	anger	0.814
carnage	pagpatay	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuso	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	nagbaligya	anger	0.812
pissedoff	naglagot	anger	0.812
vendetta	pagbaligya	anger	0.812
fierce	mabangis	anger	0.812
destroyer	tiglaglag	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	pagpaubos	anger	0.812
barbaric	barbaric	anger	0.812
anger	kasuko	anger	0.811
pieceofshit	piraso	anger	0.810
slam	slam	anger	0.803
fights	away	anger	0.803
punched	gisumbag	anger	0.803
bitch	bitch	anger	0.803
punching	pagsumbag	anger	0.803
homicide	homicide	anger	0.803
destructive	makaguba	anger	0.797
ruthless	mapintas	anger	0.797
villainous	daotan	anger	0.797
slap	sampal	anger	0.791
slaughterhouse	pagpatay	anger	0.788
punishing	pagsilot	anger	0.788
destroyed	gilaglag	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	kagubot	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	pagsinggit	anger	0.788
growthefuckup	nagtanum	anger	0.788
diabolical	yawan-on	anger	0.788
manslaughter	pagpatay sa tawo	anger	0.783
clash	panagsangka	anger	0.783
bloody	dugmok	anger	0.781
hellish	hellish	anger	0.781
loath	kasilag	anger	0.781
detonation	detonasyon	anger	0.781
quarrel	away	anger	0.781
sinister	daotan	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akusar	anger	0.779
treacherous	malimbongon	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
