word	Chinese (Simplified)-zh-CN	emotion	emotion-intensity-score
outraged	愤怒	anger	0.964
brutality	残酷	anger	0.959
hatred	仇	anger	0.953
hateful	可恶	anger	0.940
terrorize	威慑	anger	0.939
violently	猛烈	anger	0.938
infuriated	激怒	anger	0.938
furious	狂怒	anger	0.929
enraged	生气	anger	0.927
furiously	疯狂	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	凶手	anger	0.922
fury	愤怒	anger	0.922
execution	执行	anger	0.917
angered	激怒	anger	0.916
savagery	野蛮	anger	0.915
slaughtering	屠宰	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	歼灭	anger	0.912
assassinate	暗杀	anger	0.912
rage	愤怒	anger	0.911
loathe	厌恶	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	诅咒	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	杀人	anger	0.906
furor	轰动	anger	0.900
hostile	敌对	anger	0.898
annihilate	歼灭	anger	0.898
murder	谋杀	anger	0.897
raging	愤怒	anger	0.896
vengeful	复仇	anger	0.894
rape	强奸	anger	0.894
ferocious	凶猛	anger	0.894
pissed	生气	anger	0.894
obliterated	湮没	anger	0.894
infuriates	激怒	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	爆炸物	anger	0.894
killing	谋杀	anger	0.893
combative	好斗	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	复仇	anger	0.886
torment	折磨	anger	0.885
wrath	愤怒	anger	0.885
vicious	恶毒	anger	0.884
massacre	屠杀	anger	0.882
threatening	危险的	anger	0.882
pissoff	生气	anger	0.875
abhorrent	可恶	anger	0.875
bloodthirsty	嗜血	anger	0.875
fighting	战斗	anger	0.868
annihilated	全军覆没	anger	0.865
attacking	进攻	anger	0.865
angriest	angriest	anger	0.864
bloodshed	流血	anger	0.864
smite	挝	anger	0.862
brawl	争吵	anger	0.861
assault	突击	anger	0.859
malicious	恶毒	anger	0.859
strangle	扼杀	anger	0.859
tirade	长篇大论	anger	0.859
