word	Chinese (Traditional)-zh-TW	emotion	emotion-intensity-score
outraged	憤怒	anger	0.964
brutality	殘酷	anger	0.959
hatred	仇	anger	0.953
hateful	可惡	anger	0.940
terrorize	威懾	anger	0.939
violently	猛烈	anger	0.938
infuriated	激怒	anger	0.938
furious	狂怒	anger	0.929
enraged	生氣	anger	0.927
furiously	瘋狂	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	兇手	anger	0.922
fury	憤怒	anger	0.922
execution	執行	anger	0.917
angered	激怒	anger	0.916
savagery	野蠻	anger	0.915
slaughtering	屠宰	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	殲滅	anger	0.912
assassinate	暗殺	anger	0.912
rage	憤怒	anger	0.911
loathe	厭惡	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	詛咒	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	殺人	anger	0.906
furor	轟動	anger	0.900
hostile	敵對	anger	0.898
annihilate	殲滅	anger	0.898
murder	謀殺	anger	0.897
raging	憤怒	anger	0.896
vengeful	復仇	anger	0.894
rape	強姦	anger	0.894
ferocious	兇猛	anger	0.894
pissed	生氣	anger	0.894
obliterated	湮沒	anger	0.894
infuriates	激怒	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	爆炸物	anger	0.894
killing	謀殺	anger	0.893
combative	好鬥	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	復仇	anger	0.886
torment	折磨	anger	0.885
wrath	憤怒	anger	0.885
vicious	惡毒	anger	0.884
massacre	屠殺	anger	0.882
threatening	危險的	anger	0.882
pissoff	生氣	anger	0.875
abhorrent	可惡	anger	0.875
bloodthirsty	嗜血	anger	0.875
fighting	戰鬥	anger	0.868
annihilated	全軍覆沒	anger	0.865
attacking	進攻	anger	0.865
angriest	angriest	anger	0.864
bloodshed	流血	anger	0.864
smite	撾	anger	0.862
brawl	爭吵	anger	0.861
assault	突擊	anger	0.859
malicious	惡毒	anger	0.859
strangle	扼殺	anger	0.859
tirade	長篇大論	anger	0.859
explode	爆炸	anger	0.859
assassination	暗殺	anger	0.859
hostility	敵意	anger	0.859
loathsome	討厭的	anger	0.857
hell	地獄	anger	0.853
murderous	殺	anger	0.853
attack	攻擊	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	恐怖主義	anger	0.851
beating	跳動	anger	0.849
desecration	褻瀆	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	暴行	anger	0.848
stab	刺	anger	0.844
slaughter	屠宰	anger	0.844
violent	暴力	anger	0.844
destroying	銷毀	anger	0.844
abomination	厭惡	anger	0.844
tumultuous	洶	anger	0.844
irate	發怒的	anger	0.844
infuriate	激怒	anger	0.844
obliterate	泯	anger	0.843
belligerent	交戰的	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	憎恨	anger	0.838
hostilities	敵對行動	anger	0.837
prick	刺	anger	0.835
torture	拷打	anger	0.833
rabid	瘋狂的	anger	0.833
horrid	可怕的	anger	0.833
rampage	亂鬧	anger	0.833
cruelty	殘酷	anger	0.833
hate	討厭	anger	0.828
demonic	惡魔的	anger	0.828
hating	恨	anger	0.828
satanic	撒旦	anger	0.828
tyrannical	強橫	anger	0.828
ragemode	ragemode	anger	0.828
despicable	卑鄙	anger	0.828
ruinous	毀滅性的	anger	0.825
condemn	譴責	anger	0.825
riots	暴動	anger	0.824
demolish	拆除	anger	0.824
angry	憤怒	anger	0.824
extermination	滅絕	anger	0.824
dickhead	dickhead	anger	0.824
livid	鐵青	anger	0.821
madman	狂人	anger	0.820
vindictive	鬥氣	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
