word	Corsican-co	emotion	emotion-intensity-score
outraged	ultraggiatu	anger	0.964
brutality	brutalità	anger	0.959
hatred	oddiu	anger	0.953
hateful	odiatusi	anger	0.940
terrorize	tirrimotu	anger	0.939
violently	viulenza	anger	0.938
infuriated	infuriated	anger	0.938
furious	furious	anger	0.929
enraged	arraggiatu	anger	0.927
furiously	furiosi	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	assassinu	anger	0.922
fury	furia	anger	0.922
execution	esecutà	anger	0.917
angered	angered	anger	0.916
savagery	savagery	anger	0.915
slaughtering	tumbera	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	aniquilazione	anger	0.912
assassinate	assassinate	anger	0.912
rage	furore	anger	0.911
loathe	ochju	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	cunnanna	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	omicidi	anger	0.906
furor	furore	anger	0.900
hostile	ostili	anger	0.898
annihilate	aniquila	anger	0.898
murder	assassiniu	anger	0.897
raging	raging	anger	0.896
vengeful	vengeful	anger	0.894
rape	violazzioni	anger	0.894
ferocious	firoci	anger	0.894
pissed	pissed	anger	0.894
obliterated	obliterate	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	splusivi	anger	0.894
killing	a morte	anger	0.893
combative	cummattiri	anger	0.891
gofuckyourself	gofuckyour	anger	0.886
vengeance	vencia	anger	0.886
torment	turmentu	anger	0.885
wrath	còllera	anger	0.885
vicious	vicious	anger	0.884
massacre	massacre	anger	0.882
threatening	amminazzanti	anger	0.882
pissoff	mette in zerga	anger	0.875
abhorrent	abumineghju	anger	0.875
bloodthirsty	sanguina	anger	0.875
fighting	cummattiri	anger	0.868
annihilated	aniquilatu	anger	0.865
attacking	attaccà	anger	0.865
angriest	l 'angriest	anger	0.864
bloodshed	sangu	anger	0.864
smite	smite	anger	0.862
brawl	rey	anger	0.861
assault	assaltu	anger	0.859
malicious	malicious	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	scopre	anger	0.859
assassination	assassiniu	anger	0.859
hostility	ostilità	anger	0.859
loathsome	prublema	anger	0.857
hell	l 'infernu	anger	0.853
murderous	murtali	anger	0.853
attack	attaccu	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	u terrurismu	anger	0.851
beating	pugna	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	scarsi	anger	0.848
stab	stab	anger	0.844
slaughter	tumbera	anger	0.844
violent	viulente	anger	0.844
destroying	distruggiennu	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	beligerante	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	l 'ostilità	anger	0.837
prick	picchittà	anger	0.835
torture	tortura	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	crudeltà	anger	0.833
hate	odi	anger	0.828
demonic	demonic	anger	0.828
hating	in odia	anger	0.828
satanic	satanica	anger	0.828
tyrannical	tirranica	anger	0.828
ragemode	ragemode	anger	0.828
despicable	dispiable	anger	0.828
ruinous	ruinous	anger	0.825
condemn	cundannate	anger	0.825
riots	disturbi	anger	0.824
demolish	demoliche	anger	0.824
angry	in còllera	anger	0.824
extermination	stirminiu	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	curuzzu	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	firocia	anger	0.818
venomous	venenu	anger	0.818
threaten	minaccià	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	tirrurista	anger	0.818
abhor	abhor	anger	0.816
savage	salvaticu	anger	0.814
atrocity	atrocità	anger	0.814
carnage	carnaghja	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abusu	anger	0.812
tyrant	tirannu	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	in zerga	anger	0.812
vendetta	vendetta	anger	0.812
fierce	feroci	anger	0.812
destroyer	distruttore	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbari	anger	0.812
anger	còllera	anger	0.811
pieceofshit	fugliale	anger	0.810
slam	slam	anger	0.803
fights	cummattimenti	anger	0.803
punched	punched	anger	0.803
bitch	cagna	anger	0.803
punching	punching	anger	0.803
homicide	omicidiu	anger	0.803
destructive	destruzzione	anger	0.797
ruthless	spustamenti	anger	0.797
villainous	villainous	anger	0.797
slap	bufoi	anger	0.791
slaughterhouse	macellaiu	anger	0.788
punishing	punizioni	anger	0.788
destroyed	distruttu	anger	0.788
retaliatory	retaliatoriu	anger	0.788
riot	rivoluzioni	anger	0.788
ragetweet	ravasivu	anger	0.788
yelling	gridannu	anger	0.788
growthefuckup	francescaditicelli	anger	0.788
diabolical	diabolicu	anger	0.788
manslaughter	annunziu	anger	0.783
clash	scontru	anger	0.783
bloody	sanguinanti	anger	0.781
hellish	infernu	anger	0.781
loath	in loath	anger	0.781
detonation	detonazione	anger	0.781
quarrel	disputa	anger	0.781
sinister	sinistru	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	accusannu	anger	0.779
treacherous	traghetti	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ralassia	anger	0.773
revulsion	rivoluzione	anger	0.773
madder	locu	anger	0.773
horrific	horribilmente	anger	0.773
scorn	scorn	anger	0.769
deplorable	deplore	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchist	anger	0.765
devastation	divastazioni	anger	0.765
resent	resent	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	contemptible	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortali	anger	0.758
smash	smash	anger	0.758
rant	lagnu	anger	0.758
outburst	scoppiu	anger	0.757
snarl	grùassu	anger	0.754
profane	prufanu	anger	0.750
offend	offend	anger	0.750
douchebags	douchebags	anger	0.750
growling	addiventanu	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarità	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	in mezzu	anger	0.750
despise	disprezzanu	anger	0.750
horror	horror	anger	0.750
aggravating	aggravava	anger	0.750
revolting	rivoluzione	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	minaccia	anger	0.742
erupt	erupt	anger	0.742
screaming	chiancennu	anger	0.742
violence	a viulenza	anger	0.742
horrible	horrible	anger	0.742
molestation	annullamentu	anger	0.742
bastards	bastardi	anger	0.741
revenge	revenge	anger	0.738
catastrophe	catastrupia	anger	0.735
menacing	menacing	anger	0.735
demon	dimoniu	anger	0.735
crushing	frantumazione	anger	0.735
damn	damn	anger	0.735
persecute	persighis	anger	0.734
argue	sustene	anger	0.734
flog	flog	anger	0.734
revolt	rivolta	anger	0.734
thrash	thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	guerra	anger	0.734
fedup	una techja	anger	0.734
vehement	vehement	anger	0.734
riotous	riotusu	anger	0.734
altercation	altercazione	anger	0.729
warlike	guerra	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	malevolente	anger	0.721
strike	strajk	anger	0.721
disaster	disastru	anger	0.721
disastrous	disastru	anger	0.720
tumult	tumultu	anger	0.719
madden	inzuccaratu	anger	0.719
devil	diàvule	anger	0.719
scream	chianciri	anger	0.719
brutal	brutali	anger	0.719
treachery	trattatu	anger	0.719
scorching	scorching	anger	0.719
vermin	vermiculite	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	cavallu	anger	0.719
aggravates	aggrava	anger	0.719
spiteful	spiteful	anger	0.719
slay	di fallu	anger	0.719
disdain	disprezzu	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchismu	anger	0.714
mutilation	mutilazione	anger	0.714
criminal	criminali	anger	0.714
denunciation	denunzia	anger	0.713
punch	punch	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	virulenza	anger	0.712
battled	cummattutu	anger	0.712
fatal	fatale	anger	0.712
holocaust	olucaustu	anger	0.712
blasphemous	blaspemi	anger	0.712
hurting	feriu	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	u male	anger	0.706
irritated	irritatu	anger	0.706
assassin	assassinu	anger	0.703
dicks	cazzi	anger	0.703
persecution	persecuzione	anger	0.703
slayer	slayer	anger	0.703
kidnap	segretu	anger	0.703
scolding	rivolgiri	anger	0.703
intimidation	intimidazioni	anger	0.703
aggravated	aggravatu	anger	0.703
aggression	agressione	anger	0.702
armed	armatu	anger	0.700
poison	poison	anger	0.697
snarling	rattannusi	anger	0.697
venom	veninu	anger	0.697
battle	battaglia	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidioso	anger	0.691
assailant	assailant	anger	0.691
resentment	resinzione	anger	0.691
lynch	lynch	anger	0.690
contemptuous	disprezzu	anger	0.690
temper	temperamento	anger	0.688
imprisonment	imprigiunamentu	anger	0.688
disparage	disparage	anger	0.688
bully	bele	anger	0.688
terrible	terribbili	anger	0.688
lunatic	lunatic	anger	0.688
curse	maladizzione	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	arraggiata	anger	0.688
domination	duminiu	anger	0.688
mad	bellu ghjornu	anger	0.688
infanticide	infanticidiu	anger	0.688
volatility	volatilità	anger	0.687
eradication	eradicazione	anger	0.685
tantrum	tantrum	anger	0.682
devastate	devastate	anger	0.682
eradicate	eradicate	anger	0.682
scoundrel	piccuni	anger	0.682
aggressively	aggressivu	anger	0.680
agitation	agitazioni	anger	0.680
dictatorship	a dittatura	anger	0.676
irritates	rindia	anger	0.676
profanity	profanità	anger	0.673
egregious	rigalu	anger	0.672
expletive	spettaculu	anger	0.672
nasty	sbagghianti	anger	0.672
shove	addumannari	anger	0.672
shot	tarri	anger	0.672
harmful	preghjudiziu	anger	0.672
aggravation	aggravation	anger	0.672
contempt	disprezzu	anger	0.672
poisonous	poisonous	anger	0.672
dastardly	pichetta	anger	0.672
shoot	sparà	anger	0.672
corrupting	curruzzione	anger	0.672
condemnation	cunnanna	anger	0.672
wreak	addumannari	anger	0.672
crushed	struitu	anger	0.672
cruelly	cruelly	anger	0.672
crime	crime crime	anger	0.672
maniac	maniacu	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruzzioni	anger	0.667
odious	odiosu	anger	0.667
shooting	sparali	anger	0.667
kick	pidata	anger	0.667
aggressive	aggressivu	anger	0.667
combat	cummattimentu	anger	0.667
shout	gridanu	anger	0.667
hit	curpitu	anger	0.667
fight	cummattiri	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	nimicu	anger	0.667
irritable	irritable	anger	0.667
punished	punitu	anger	0.662
ambush	ambush	anger	0.661
yell	vuciata	anger	0.661
harass	accordu	anger	0.659
malignant	malignu	anger	0.656
aggressor	aggressore	anger	0.656
antichrist	'anticristu	anger	0.656
gore	gore	anger	0.656
incense	incensu	anger	0.656
expel	scacciallu	anger	0.656
destruction	distruzzioni	anger	0.656
grudge	grudge	anger	0.656
cranky	cranky	anger	0.653
offended	offisu	anger	0.652
spank	sculacciate	anger	0.652
growl	grùassu	anger	0.652
insurrection	insurrezioni	anger	0.652
reprisal	reprisal	anger	0.652
slave	schiavu	anger	0.652
denounce	denuncià	anger	0.652
animosity	animosità	anger	0.652
insulting	insulte	anger	0.652
clashing	scontru	anger	0.652
growls	chiancinu	anger	0.649
executioner	vaghjimu	anger	0.644
twat	twat	anger	0.644
doomsday	di a ghjustizia	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenità	anger	0.641
bombard	bombard	anger	0.641
spat	sputavanu	anger	0.641
havoc	havoc	anger	0.641
feud	feudu	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	ripigliu	anger	0.641
expulsion	expulsione	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	accusatu	anger	0.641
