word	Croatian-hr	emotion	emotion-intensity-score
outraged	pobjesnio	anger	0.964
brutality	brutalnost	anger	0.959
hatred	mržnja	anger	0.953
hateful	mrzak	anger	0.940
terrorize	terorizirati	anger	0.939
violently	žestoko	anger	0.938
infuriated	veoma ljut	anger	0.938
furious	žestok	anger	0.929
enraged	razjaren	anger	0.927
furiously	bijesno	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ubica	anger	0.922
fury	bijes	anger	0.922
execution	izvršenje	anger	0.917
angered	razljutila	anger	0.916
savagery	divljaštvo	anger	0.915
slaughtering	klanje	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	uništenje	anger	0.912
assassinate	ubiti	anger	0.912
rage	bijes	anger	0.911
loathe	gnušati se	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	prokletstvo	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ubilački	anger	0.906
furor	senzacija	anger	0.900
hostile	neprijateljski	anger	0.898
annihilate	uništiti	anger	0.898
murder	ubiti	anger	0.897
raging	bijesan	anger	0.896
vengeful	osvetoljubiv	anger	0.894
rape	silovanje	anger	0.894
ferocious	bijesan	anger	0.894
pissed	ljut	anger	0.894
obliterated	izbrisan	anger	0.894
infuriates	ljuti	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	Eksplozivno	anger	0.894
killing	ubijanje	anger	0.893
combative	ratoboran	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	osveta	anger	0.886
torment	mučiti	anger	0.885
wrath	gnjev	anger	0.885
vicious	pakostan	anger	0.884
massacre	masakr	anger	0.882
threatening	prijeteći	anger	0.882
pissoff	odjebi	anger	0.875
abhorrent	odvratan	anger	0.875
bloodthirsty	krvožedan	anger	0.875
fighting	borba	anger	0.868
annihilated	uništen	anger	0.865
attacking	napadaju	anger	0.865
angriest	najljući	anger	0.864
bloodshed	krvoproliće	anger	0.864
smite	udariti	anger	0.862
brawl	svađa	anger	0.861
assault	napad	anger	0.859
malicious	zlonamjeran	anger	0.859
strangle	daviti	anger	0.859
tirade	tirada	anger	0.859
explode	eksplodirati	anger	0.859
assassination	atentat	anger	0.859
hostility	neprijateljstvo	anger	0.859
loathsome	odvratan	anger	0.857
hell	pakao	anger	0.853
murderous	ubitačan	anger	0.853
attack	napad	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorizam	anger	0.851
beating	bijenje	anger	0.849
desecration	skrnavljenje	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	uvreda	anger	0.848
stab	ubosti	anger	0.844
slaughter	pokolj	anger	0.844
violent	nasilan	anger	0.844
destroying	uništavanje	anger	0.844
abomination	grozota	anger	0.844
tumultuous	buran	anger	0.844
irate	bijesan	anger	0.844
infuriate	razjariti	anger	0.844
obliterate	uništiti	anger	0.843
belligerent	ratoboran	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	mrziti	anger	0.838
hostilities	odbojnosti	anger	0.837
prick	ubod	anger	0.835
torture	mučenje	anger	0.833
rabid	bijesan	anger	0.833
horrid	strašan	anger	0.833
rampage	divljanje	anger	0.833
cruelty	okrutnost	anger	0.833
hate	mrziti	anger	0.828
demonic	demonski	anger	0.828
hating	mrzi	anger	0.828
satanic	sotonskim	anger	0.828
tyrannical	tiranski	anger	0.828
ragemode	ragemode	anger	0.828
despicable	dostojan prezira	anger	0.828
ruinous	poguban	anger	0.825
condemn	osuditi	anger	0.825
riots	nemiri	anger	0.824
demolish	rušiti	anger	0.824
angry	ljut	anger	0.824
extermination	istrebljenje	anger	0.824
dickhead	kurvin sin	anger	0.824
livid	modar	anger	0.821
madman	ludak	anger	0.820
vindictive	osvetoljubiv	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	svirepost	anger	0.818
