word	Czech-cs	emotion	emotion-intensity-score
outraged	pobouřený	anger	0.964
brutality	brutalita	anger	0.959
hatred	nenávist	anger	0.953
hateful	nenávistný	anger	0.940
terrorize	terorizovat	anger	0.939
violently	násilně	anger	0.938
infuriated	rozzlobený	anger	0.938
furious	zuřivý	anger	0.929
enraged	rozzuřený	anger	0.927
furiously	zuřivě	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	vrah	anger	0.922
fury	zuřivost	anger	0.922
execution	provedení	anger	0.917
angered	hněv	anger	0.916
savagery	divokost	anger	0.915
slaughtering	zabíjení	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	zničení	anger	0.912
assassinate	zavraždit	anger	0.912
rage	vztek	anger	0.911
loathe	nesnášet	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	zatracení	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	vraždící	anger	0.906
furor	zuřivost	anger	0.900
hostile	nepřátelský	anger	0.898
annihilate	zničit	anger	0.898
murder	vražda	anger	0.897
raging	zuřivost	anger	0.896
vengeful	pomstychtivý	anger	0.894
rape	znásilnění	anger	0.894
ferocious	divoký	anger	0.894
pissed	naštvaný	anger	0.894
obliterated	vymazána	anger	0.894
infuriates	zdědí	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explozivní	anger	0.894
killing	zabíjení	anger	0.893
combative	bojovný	anger	0.891
gofuckyourself	Přejděte na sebe	anger	0.886
vengeance	pomsta	anger	0.886
torment	trápení	anger	0.885
wrath	hněv	anger	0.885
vicious	zlý	anger	0.884
massacre	masakr	anger	0.882
threatening	hrozivý	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	odporný	anger	0.875
bloodthirsty	krvežíznivý	anger	0.875
fighting	bojování	anger	0.868
annihilated	zničeno	anger	0.865
attacking	útočí	anger	0.865
angriest	Nejsilnější	anger	0.864
bloodshed	krveprolití	anger	0.864
smite	bít	anger	0.862
brawl	hádka	anger	0.861
assault	útok	anger	0.859
malicious	škodlivý	anger	0.859
strangle	uškrtit	anger	0.859
tirade	tiráda	anger	0.859
explode	explodovat	anger	0.859
assassination	atentát	anger	0.859
hostility	nepřátelství	anger	0.859
loathsome	odporný	anger	0.857
hell	peklo	anger	0.853
murderous	vražedný	anger	0.853
attack	Záchvat	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorismus	anger	0.851
beating	porážka	anger	0.849
desecration	znesvěcení	anger	0.848
pissingmeoff	štve mě to	anger	0.848
outrage	rozhořčení	anger	0.848
stab	bodnout	anger	0.844
slaughter	porážka	anger	0.844
violent	násilný	anger	0.844
destroying	ničení	anger	0.844
abomination	ohavnost	anger	0.844
tumultuous	bouřlivý	anger	0.844
irate	rozzlobený	anger	0.844
infuriate	rozzuřit	anger	0.844
obliterate	vymazat	anger	0.843
belligerent	agresivní	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	nenávidět	anger	0.838
hostilities	nepřátelské akce	anger	0.837
prick	bodnutí	anger	0.835
torture	mučení	anger	0.833
rabid	vzteklý	anger	0.833
horrid	hrozný	anger	0.833
rampage	rampage	anger	0.833
cruelty	krutost	anger	0.833
hate	nenávist	anger	0.828
demonic	démonický	anger	0.828
hating	nenávidí	anger	0.828
satanic	satanské	anger	0.828
tyrannical	tyranský	anger	0.828
ragemode	ragemode	anger	0.828
