word	Danish-da	emotion	emotion-intensity-score
outraged	oprørt	anger	0.964
brutality	brutalitet	anger	0.959
hatred	had	anger	0.953
hateful	hadefulde	anger	0.940
terrorize	terrorisere	anger	0.939
violently	voldsomt	anger	0.938
infuriated	rasende	anger	0.938
furious	rasende	anger	0.929
enraged	rasende	anger	0.927
furiously	rasende	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	morder	anger	0.922
fury	raseri	anger	0.922
execution	udførelse	anger	0.917
angered	vred	anger	0.916
savagery	vildskab	anger	0.915
slaughtering	slagtning	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	tilintetgørelse	anger	0.912
assassinate	myrde	anger	0.912
rage	raseri	anger	0.911
loathe	væmmes	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	forbandelse	anger	0.906
fucktard	Fucktard	anger	0.906
homicidal	morderiske	anger	0.906
furor	furore	anger	0.900
hostile	fjendtlig	anger	0.898
annihilate	tilintetgøre	anger	0.898
murder	mord	anger	0.897
raging	raser	anger	0.896
vengeful	hævngerrig	anger	0.894
rape	voldtage	anger	0.894
ferocious	glubsk	anger	0.894
pissed	pissed	anger	0.894
obliterated	udslettet	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplosiv	anger	0.894
killing	drab	anger	0.893
combative	kampklar	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	hævn	anger	0.886
torment	pine	anger	0.885
wrath	vrede	anger	0.885
vicious	ond	anger	0.884
massacre	massakre	anger	0.882
threatening	truende	anger	0.882
pissoff	pisse af	anger	0.875
abhorrent	afskyeligt	anger	0.875
bloodthirsty	blodtørstige	anger	0.875
fighting	kampene	anger	0.868
annihilated	tilintetgjort	anger	0.865
attacking	angribe	anger	0.865
angriest	vredeste	anger	0.864
bloodshed	blodsudgydelse	anger	0.864
smite	slå	anger	0.862
brawl	slagsmål	anger	0.861
assault	angreb	anger	0.859
malicious	ondsindet	anger	0.859
strangle	kvæle	anger	0.859
tirade	ordflom	anger	0.859
explode	eksplodere	anger	0.859
assassination	snigmord	anger	0.859
hostility	fjendtlighed	anger	0.859
loathsome	modbydelig	anger	0.857
hell	helvede	anger	0.853
murderous	morderiske	anger	0.853
attack	angreb	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	prygl	anger	0.849
desecration	vanhelligelse	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	skandale	anger	0.848
stab	dolke	anger	0.844
slaughter	slagte	anger	0.844
violent	voldsom	anger	0.844
destroying	ødelægge	anger	0.844
abomination	vederstyggelighed	anger	0.844
tumultuous	omtumlet	anger	0.844
irate	harmdirrende	anger	0.844
infuriate	hidse	anger	0.844
obliterate	udslette	anger	0.843
belligerent	krigsførende	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	afskyr	anger	0.838
hostilities	fjendtligheder	anger	0.837
prick	pik	anger	0.835
torture	tortur	anger	0.833
rabid	rabiat	anger	0.833
horrid	fælt	anger	0.833
rampage	krigsstien	anger	0.833
cruelty	grusomhed	anger	0.833
hate	had	anger	0.828
demonic	dæmonisk	anger	0.828
hating	hade	anger	0.828
satanic	sataniske	anger	0.828
tyrannical	tyranniske	anger	0.828
ragemode	ragemode	anger	0.828
despicable	foragtelig	anger	0.828
ruinous	ruinerende	anger	0.825
condemn	fordømme	anger	0.825
riots	optøjer	anger	0.824
demolish	nedrive	anger	0.824
angry	vred	anger	0.824
extermination	udryddelse	anger	0.824
dickhead	pikhoved	anger	0.824
livid	gusten	anger	0.821
madman	galning	anger	0.820
vindictive	hævngerrig	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	vildskab	anger	0.818
venomous	giftig	anger	0.818
threaten	true	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	afskyr	anger	0.816
savage	brutal	anger	0.814
atrocity	grusomhed	anger	0.814
carnage	blodbad	anger	0.814
berserk	amok	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misbrug	anger	0.812
tyrant	tyran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	sur	anger	0.812
vendetta	hævn	anger	0.812
fierce	voldsom	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pisser mig af	anger	0.812
fuming	rygende	anger	0.812
barbaric	barbarisk	anger	0.812
anger	vrede	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	slagsmål	anger	0.803
punched	udstansede	anger	0.803
bitch	tæve	anger	0.803
punching	stansning	anger	0.803
homicide	drab	anger	0.803
destructive	Destruktiv	anger	0.797
ruthless	ubarmhjertig	anger	0.797
villainous	skurkagtige	anger	0.797
slap	smække	anger	0.791
slaughterhouse	slagteri	anger	0.788
punishing	straffe	anger	0.788
destroyed	ødelagt	anger	0.788
retaliatory	gengældelsesaktioner	anger	0.788
riot	optøjer	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	råben	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	djævelsk	anger	0.788
manslaughter	manddrab	anger	0.783
clash	sammenstød	anger	0.783
bloody	blodig	anger	0.781
hellish	helvedes	anger	0.781
loath	tilbageholdne	anger	0.781
detonation	detonation	anger	0.781
quarrel	skændes	anger	0.781
sinister	skummel	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	beskylder	anger	0.779
treacherous	forræderiske	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	gøre gengæld	anger	0.773
revulsion	afsky	anger	0.773
madder	krap	anger	0.773
horrific	rædselsvækkende	anger	0.773
scorn	hån	anger	0.769
deplorable	beklageligt	anger	0.766
bomb	bombe	anger	0.766
anarchist	anarkist	anger	0.765
