word	Esperanto-eo	emotion	emotion-intensity-score
outraged	indignigita	anger	0.964
brutality	brutalidad	anger	0.959
hatred	malamo	anger	0.953
hateful	malaminda	anger	0.940
terrorize	terurigi	anger	0.939
violently	perforte	anger	0.938
infuriated	enfurecidos	anger	0.938
furious	furioza	anger	0.929
enraged	kolera	anger	0.927
furiously	furioze	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	murdisto	anger	0.922
fury	furiozo	anger	0.922
execution	ekzekuto	anger	0.917
angered	kolerigita	anger	0.916
savagery	sovaĝeco	anger	0.915
slaughtering	buĉante	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	neniigo	anger	0.912
assassinate	murdi	anger	0.912
rage	kolero	anger	0.911
loathe	maltrankviliĝu	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnado	anger	0.906
fucktard	fucktardo	anger	0.906
homicidal	homicida	anger	0.906
furor	furoro	anger	0.900
hostile	malfavora	anger	0.898
annihilate	neniigi	anger	0.898
murder	murdo	anger	0.897
raging	furioza	anger	0.896
vengeful	venĝema	anger	0.894
rape	seksperfortado	anger	0.894
ferocious	kruelega	anger	0.894
pissed	pisita	anger	0.894
obliterated	forgesita	anger	0.894
infuriates	enfurecaj	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksploda	anger	0.894
killing	mortigante	anger	0.893
combative	kombata	anger	0.891
gofuckyourself	memoru vin mem	anger	0.886
vengeance	venĝo	anger	0.886
torment	turmento	anger	0.885
wrath	kolero	anger	0.885
vicious	maldika	anger	0.884
massacre	masakro	anger	0.882
threatening	minacante	anger	0.882
pissoff	pisko	anger	0.875
abhorrent	abomeninda	anger	0.875
bloodthirsty	sangavaj	anger	0.875
fighting	batalado	anger	0.868
annihilated	neniigita	anger	0.865
attacking	atakante	anger	0.865
angriest	pli koleraj	anger	0.864
bloodshed	sango	anger	0.864
smite	frapi	anger	0.862
brawl	kverelo	anger	0.861
assault	sturmo	anger	0.859
malicious	malica	anger	0.859
strangle	stranga	anger	0.859
tirade	malaperis	anger	0.859
explode	eksplodi	anger	0.859
assassination	murdon	anger	0.859
hostility	malamikeco	anger	0.859
loathsome	maldolĉa	anger	0.857
hell	infero	anger	0.853
murderous	murdaj	anger	0.853
attack	atako	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorismo	anger	0.851
beating	batante	anger	0.849
desecration	desecración	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	indigno	anger	0.848
stab	ponardu	anger	0.844
slaughter	buĉado	anger	0.844
violent	perforta	anger	0.844
destroying	detruante	anger	0.844
abomination	abomenindajxo	anger	0.844
tumultuous	tumultuaj	anger	0.844
irate	irate	anger	0.844
infuriate	furioze	anger	0.844
obliterate	forgesi	anger	0.843
belligerent	beligema	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	malfeliĉo	anger	0.838
hostilities	malamikecoj	anger	0.837
prick	priko	anger	0.835
torture	torturo	anger	0.833
rabid	rabema	anger	0.833
