word	Estonian-et	emotion	emotion-intensity-score
outraged	nördinud	anger	0.964
brutality	jõhkrus	anger	0.959
hatred	vihkamine	anger	0.953
hateful	vihklev	anger	0.940
terrorize	terroriseerida	anger	0.939
violently	vägivaldselt	anger	0.938
infuriated	pettunud	anger	0.938
furious	vihane	anger	0.929
enraged	hirmunud	anger	0.927
furiously	raevukalt	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	mõrvar	anger	0.922
fury	viha	anger	0.922
execution	täitmine	anger	0.917
angered	vihane	anger	0.916
savagery	taevas	anger	0.915
slaughtering	tapmine	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fukkoff	anger	0.912
annihilation	hävitamine	anger	0.912
assassinate	mõrvati	anger	0.912
rage	raev	anger	0.911
loathe	jälestama	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	hukatus	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	mõrvar	anger	0.906
furor	furor	anger	0.900
hostile	vaenulik	anger	0.898
annihilate	hävitada	anger	0.898
murder	mõrv	anger	0.897
raging	raevukas	anger	0.896
vengeful	kättemaks	anger	0.894
rape	vägistamine	anger	0.894
ferocious	metsik	anger	0.894
pissed	pissed	anger	0.894
obliterated	kustutatud	anger	0.894
infuriates	pahandab	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	plahvatusohtlik	anger	0.894
killing	tapmine	anger	0.893
combative	võitlusvõime	anger	0.891
gofuckyourself	läheb enda juurde	anger	0.886
vengeance	kättemaksu	anger	0.886
torment	piinamine	anger	0.885
wrath	viha	anger	0.885
vicious	tigedad	anger	0.884
massacre	veresaun	anger	0.882
threatening	ähvardav	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	kohutav	anger	0.875
bloodthirsty	verejanuline	anger	0.875
fighting	võitlevad	anger	0.868
annihilated	hävitati	anger	0.865
attacking	rünnata	anger	0.865
angriest	angriest	anger	0.864
bloodshed	verevalamine	anger	0.864
smite	lööma	anger	0.862
brawl	lööma	anger	0.861
assault	rünnak	anger	0.859
malicious	pahatahtlik	anger	0.859
strangle	kummitama	anger	0.859
tirade	tiraadiga	anger	0.859
explode	plahvatama	anger	0.859
assassination	mõrva	anger	0.859
hostility	vaenulikkus	anger	0.859
loathsome	vihane	anger	0.857
hell	põrgu	anger	0.853
murderous	mõrvarlik	anger	0.853
attack	rünnak	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorism	anger	0.851
beating	peksmine	anger	0.849
desecration	petmine	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	pahameele	anger	0.848
stab	stab	anger	0.844
slaughter	tapmine	anger	0.844
violent	vägivaldne	anger	0.844
destroying	hävitades	anger	0.844
abomination	hullumeelsus	anger	0.844
tumultuous	kummaline	anger	0.844
irate	iraat	anger	0.844
infuriate	pettuma	anger	0.844
obliterate	hävitama	anger	0.843
belligerent	sõjaväeline	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	hirmutav	anger	0.838
hostilities	vaenutegevus	anger	0.837
prick	kukkuma	anger	0.835
torture	piinamine	anger	0.833
rabid	kurb	anger	0.833
horrid	hirmus	anger	0.833
