word	Finnish-fi	emotion	emotion-intensity-score
outraged	raivoissaan	anger	0.964
brutality	raakuus	anger	0.959
hatred	viha	anger	0.953
hateful	vastenmielinen	anger	0.940
terrorize	terrorisoida	anger	0.939
violently	väkivaltaisesti	anger	0.938
infuriated	raivostunut	anger	0.938
furious	raivostunut	anger	0.929
enraged	raivoissaan	anger	0.927
furiously	raivokkaasti	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	murhaaja	anger	0.922
fury	raivo	anger	0.922
execution	suoritus	anger	0.917
angered	suututti	anger	0.916
savagery	raakuus	anger	0.915
slaughtering	teurastus	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	tuhoaminen	anger	0.912
assassinate	murhata	anger	0.912
rage	raivo	anger	0.911
loathe	inhota	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	kadotus	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	murhanhimoinen	anger	0.906
furor	villitys	anger	0.900
hostile	vihamielinen	anger	0.898
annihilate	tuhota	anger	0.898
murder	murhata	anger	0.897
raging	raivoava	anger	0.896
vengeful	kostonhimoinen	anger	0.894
rape	raiskata	anger	0.894
ferocious	hurja	anger	0.894
pissed	kännissä	anger	0.894
obliterated	häivytetty	anger	0.894
infuriates	raivostuttaa	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	räjähtävä	anger	0.894
killing	tappaminen	anger	0.893
combative	taistelunhaluinen	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	kosto	anger	0.886
torment	piina	anger	0.885
wrath	viha	anger	0.885
vicious	häijy	anger	0.884
massacre	verilöyly	anger	0.882
threatening	uhkaava	anger	0.882
pissoff	häivy	anger	0.875
abhorrent	vastenmielinen	anger	0.875
bloodthirsty	verenhimoinen	anger	0.875
fighting	taistelevat	anger	0.868
annihilated	tuhotuksi	anger	0.865
attacking	hyökkää	anger	0.865
angriest	vihaisimmat	anger	0.864
bloodshed	verenvuodatus	anger	0.864
smite	sivaltaa	anger	0.862
brawl	rähinä	anger	0.861
assault	hyökkäys	anger	0.859
malicious	ilkeä	anger	0.859
strangle	kuristaa	anger	0.859
tirade	vuodatus	anger	0.859
explode	räjähtää	anger	0.859
assassination	salamurha	anger	0.859
hostility	vihamielisyys	anger	0.859
loathsome	inhottava	anger	0.857
hell	helvetti	anger	0.853
murderous	murhanhimoinen	anger	0.853
attack	hyökkäys	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorismi	anger	0.851
beating	selkäsauna	anger	0.849
desecration	häpäiseminen	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	skandaali	anger	0.848
stab	puukottaa	anger	0.844
slaughter	teurastus	anger	0.844
violent	väkivaltainen	anger	0.844
destroying	tuhoaa	anger	0.844
abomination	inhottavuus	anger	0.844
tumultuous	myrskyisä	anger	0.844
irate	raivostunut	anger	0.844
infuriate	raivostuttaa	anger	0.844
obliterate	hävittää	anger	0.843
belligerent	sotaisa	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	inhota	anger	0.838
hostilities	vihollisuudet	anger	0.837
prick	ääliö	anger	0.835
torture	kiduttaa	anger	0.833
rabid	yltiöpäinen	anger	0.833
horrid	hirveä	anger	0.833
rampage	riehua	anger	0.833
cruelty	julmuus	anger	0.833
hate	vihata	anger	0.828
demonic	demoninen	anger	0.828
hating	vihata	anger	0.828
satanic	saatanallinen	anger	0.828
tyrannical	tyrannimainen	anger	0.828
ragemode	ragemode	anger	0.828
despicable	halveksittava	anger	0.828
ruinous	tuhoisa	anger	0.825
condemn	tuomita	anger	0.825
riots	mellakat	anger	0.824
demolish	purkaa	anger	0.824
