word	French-fr	emotion	emotion-intensity-score
outraged	indigné	anger	0.964
brutality	brutalité	anger	0.959
hatred	haine	anger	0.953
hateful	odieux	anger	0.940
terrorize	terroriser	anger	0.939
violently	violemment	anger	0.938
infuriated	furieux	anger	0.938
furious	furieux	anger	0.929
enraged	furieux	anger	0.927
furiously	furieusement	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	meurtrier	anger	0.922
fury	fureur	anger	0.922
execution	exécution	anger	0.917
angered	en colère	anger	0.916
savagery	sauvagerie	anger	0.915
slaughtering	abattage	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	baiser	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	assassiner	anger	0.912
rage	rage	anger	0.911
loathe	détester	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicide	anger	0.906
furor	scandale	anger	0.900
hostile	hostile	anger	0.898
annihilate	annihiler	anger	0.898
murder	meurtre	anger	0.897
raging	rage	anger	0.896
vengeful	vengeur	anger	0.894
rape	râpé	anger	0.894
ferocious	féroce	anger	0.894
pissed	bourré	anger	0.894
obliterated	oblitéré	anger	0.894
infuriates	exaspère	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosif	anger	0.894
killing	meurtre	anger	0.893
combative	combatif	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	vengeance	anger	0.886
torment	tourmenter	anger	0.885
wrath	colère	anger	0.885
vicious	vicieux	anger	0.884
massacre	massacre	anger	0.882
threatening	menaçant	anger	0.882
pissoff	faire chier	anger	0.875
abhorrent	odieux	anger	0.875
bloodthirsty	sanguinaire	anger	0.875
fighting	combat	anger	0.868
annihilated	annihilé	anger	0.865
attacking	attaquer	anger	0.865
angriest	angriest	anger	0.864
bloodshed	effusion de sang	anger	0.864
smite	frapper	anger	0.862
brawl	bagarre	anger	0.861
assault	agression	anger	0.859
malicious	mal intentionné	anger	0.859
strangle	étrangler	anger	0.859
tirade	tirade	anger	0.859
explode	exploser	anger	0.859
assassination	assassinat	anger	0.859
hostility	hostilité	anger	0.859
loathsome	détestable	anger	0.857
hell	enfer	anger	0.853
murderous	meurtrier	anger	0.853
attack	attaque	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	battement	anger	0.849
desecration	profanation	anger	0.848
