word	Galician-gl	emotion	emotion-intensity-score
outraged	indignado	anger	0.964
brutality	brutalidade	anger	0.959
hatred	odio	anger	0.953
hateful	odioso	anger	0.940
terrorize	aterrorizar	anger	0.939
violently	violentamente	anger	0.938
infuriated	enfurecido	anger	0.938
furious	furioso	anger	0.929
enraged	enfurecido	anger	0.927
furiously	furiosamente	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	asasino	anger	0.922
fury	furia	anger	0.922
execution	execución	anger	0.917
angered	enojado	anger	0.916
savagery	salvaxismo	anger	0.915
slaughtering	matanza	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	aniquilación	anger	0.912
assassinate	asasinar	anger	0.912
rage	rabia	anger	0.911
loathe	odia	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	condenación	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidio	anger	0.906
furor	furor	anger	0.900
hostile	hostil	anger	0.898
annihilate	aniquilar	anger	0.898
murder	asasinato	anger	0.897
raging	furor	anger	0.896
vengeful	vingativo	anger	0.894
rape	violación	anger	0.894
ferocious	feroz	anger	0.894
pissed	enojado	anger	0.894
obliterated	borrado	anger	0.894
infuriates	enfurece	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosivo	anger	0.894
killing	matando	anger	0.893
combative	combativo	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	vinganza	anger	0.886
torment	tormento	anger	0.885
wrath	ira	anger	0.885
vicious	cruel	anger	0.884
massacre	masacre	anger	0.882
threatening	ameazando	anger	0.882
pissoff	molestar	anger	0.875
abhorrent	abominable	anger	0.875
bloodthirsty	sanguinario	anger	0.875
fighting	loitando	anger	0.868
annihilated	aniquilados	anger	0.865
attacking	atacando	anger	0.865
angriest	máis angustiado	anger	0.864
bloodshed	derramamento de sangue	anger	0.864
smite	ferir	anger	0.862
brawl	pelexa	anger	0.861
assault	asalto	anger	0.859
malicious	malicioso	anger	0.859
strangle	estrangular	anger	0.859
tirade	tirade	anger	0.859
explode	estoupar	anger	0.859
assassination	asasinato	anger	0.859
hostility	hostilidade	anger	0.859
loathsome	repugnante	anger	0.857
hell	o inferno	anger	0.853
murderous	asasinos	anger	0.853
attack	ataque	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorismo	anger	0.851
beating	batendo	anger	0.849
desecration	profanación	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	indignación	anger	0.848
stab	apuñalar	anger	0.844
slaughter	masacre	anger	0.844
violent	violento	anger	0.844
destroying	destruíndo	anger	0.844
abomination	abominación	anger	0.844
tumultuous	tumultuoso	anger	0.844
irate	irar	anger	0.844
infuriate	enfurecer	anger	0.844
