word	Georgian-ka	emotion	emotion-intensity-score
outraged	აღშფოთებული	anger	0.964
brutality	სისასტიკე	anger	0.959
hatred	სიძულვილი	anger	0.953
hateful	არაზუსტი	anger	0.940
terrorize	ტერორი	anger	0.939
violently	უხეშად	anger	0.938
infuriated	გააღიზიანა	anger	0.938
furious	აღშფოთებული	anger	0.929
enraged	განრისხებული	anger	0.927
furiously	გაბედულად	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	მკვლელი	anger	0.922
fury	რისხვას	anger	0.922
execution	აღსრულება	anger	0.917
angered	გაბრაზდა	anger	0.916
savagery	მარადიული	anger	0.915
slaughtering	დაკვლისას	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	უსინათლო	anger	0.912
annihilation	განადგურება	anger	0.912
assassinate	მკვლელობა	anger	0.912
rage	გაბრაზება	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ქარიშხალი	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	მკვლელობა	anger	0.906
furor	furor	anger	0.900
hostile	მტრული	anger	0.898
annihilate	განადგურება	anger	0.898
murder	მკვლელობა	anger	0.897
raging	მძვინვარება	anger	0.896
vengeful	შურისმაძიებელი	anger	0.894
rape	გაუპატიურება	anger	0.894
ferocious	სასტიკი	anger	0.894
pissed	pissed	anger	0.894
obliterated	წაიშალოს	anger	0.894
infuriates	შეურაცხყოფს	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ასაფეთქებელი	anger	0.894
killing	მკვლელობა	anger	0.893
combative	შეტაკება	anger	0.891
gofuckyourself	წავიდა	anger	0.886
vengeance	შურისძიება	anger	0.886
torment	ტანჯვა	anger	0.885
wrath	რისხვა	anger	0.885
vicious	მანკიერი	anger	0.884
massacre	ხოცვა	anger	0.882
threatening	მუქარა	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	უკმაყოფილო	anger	0.875
bloodthirsty	სისხლისმსმელი	anger	0.875
fighting	საბრძოლო	anger	0.868
annihilated	განადგურდა	anger	0.865
attacking	თავდასხმა	anger	0.865
angriest	angriest	anger	0.864
bloodshed	სისხლისღვრა	anger	0.864
smite	სცემეს	anger	0.862
brawl	brawl	anger	0.861
assault	თავდასხმა	anger	0.859
malicious	ბოროტი	anger	0.859
strangle	ძილიანობა	anger	0.859
tirade	ტირილი	anger	0.859
explode	აფეთქება	anger	0.859
assassination	მკვლელობა	anger	0.859
hostility	მტრობა	anger	0.859
loathsome	უხერხულია	anger	0.857
hell	ჯოჯოხეთი	anger	0.853
murderous	მკვლელობა	anger	0.853
attack	თავდასხმა	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ტერორიზმი	anger	0.851
beating	ცემის	anger	0.849
desecration	დამღუპველი	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	აღშფოთება	anger	0.848
stab	stab	anger	0.844
slaughter	სასაკლაო	anger	0.844
violent	ძალადობრივი	anger	0.844
destroying	განადგურება	anger	0.844
abomination	უმსგავსოება	anger	0.844
tumultuous	ხმაურიანი	anger	0.844
irate	irate	anger	0.844
infuriate	გაბრაზება	anger	0.844
obliterate	გაუქმება	anger	0.843
belligerent	აგრესიული	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	საომარი მოქმედებები	anger	0.837
prick	პრაკი	anger	0.835
torture	წამება	anger	0.833
rabid	rabid	anger	0.833
horrid	საშინელება	anger	0.833
rampage	rampage	anger	0.833
cruelty	სისასტიკე	anger	0.833
hate	სიძულვილი	anger	0.828
demonic	დემონური	anger	0.828
hating	hating	anger	0.828
satanic	სატანა	anger	0.828
tyrannical	ტირანიული	anger	0.828
ragemode	ragemode	anger	0.828
despicable	საზიზღარი	anger	0.828
ruinous	ruinous	anger	0.825
condemn	ვგმობთ	anger	0.825
riots	არეულობა	anger	0.824
demolish	დანგრევა	anger	0.824
angry	გაბრაზებული	anger	0.824
extermination	განადგურება	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	გიჟია	anger	0.820
vindictive	შურისძიება	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	გაბრაზება	anger	0.818
venomous	შხამიანი	anger	0.818
threaten	იმუქრებიან	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ტერორისტი	anger	0.818
abhor	ბოროტი	anger	0.816
savage	ჭირვეული	anger	0.814
atrocity	სისუსტე	anger	0.814
carnage	carnage	anger	0.814
berserk	ბოშერი	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ბოროტად	anger	0.812
tyrant	ტირანი	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	გაცოფებული	anger	0.812
vendetta	vendetta	anger	0.812
fierce	სასტიკი	anger	0.812
destroyer	გამანადგურებელი	anger	0.812
pissesmeoff	მაბრაზებს	anger	0.812
fuming	ამოღება	anger	0.812
barbaric	ბარბაროსული	anger	0.812
anger	რისხვა	anger	0.811
pieceofshit	ნაჭდევი	anger	0.810
slam	აკრიტიკებენ	anger	0.803
fights	იბრძვის	anger	0.803
punched	წიხლებით	anger	0.803
bitch	bitch	anger	0.803
punching	punching	anger	0.803
homicide	მკვლელობა	anger	0.803
destructive	გამანადგურებელი	anger	0.797
ruthless	დაუნდობელი	anger	0.797
villainous	villainous	anger	0.797
slap	slap	anger	0.791
slaughterhouse	სასაკლაო	anger	0.788
punishing	დასჯა	anger	0.788
destroyed	განადგურდა	anger	0.788
retaliatory	საპასუხოდ	anger	0.788
riot	ბუნტი	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ყვირილი	anger	0.788
growthefuckup	ზრდასრულობა	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	manslaughter	anger	0.783
clash	შეტაკება	anger	0.783
bloody	სისხლიანი	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	აფეთქება	anger	0.781
quarrel	წაჩხუბება	anger	0.781
sinister	ბოროტი	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	დაადანაშაულეს	anger	0.779
treacherous	ღალატი	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	გასწორებოდნენ	anger	0.773
revulsion	გაბრაზება	anger	0.773
madder	madder	anger	0.773
horrific	საზარელი	anger	0.773
scorn	განდევნა	anger	0.769
deplorable	სამწუხაროა	anger	0.766
bomb	ბომბი	anger	0.766
anarchist	ანარქისტი	anger	0.765
devastation	განადგურება	anger	0.765
resent	უკმაყოფილო	anger	0.765
firestorm	ცეცხლი	anger	0.765
contemptible	contemptible	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	სასტიკი	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	სასიკვდილო	anger	0.758
smash	smash	anger	0.758
rant	რანდი	anger	0.758
outburst	outburst	anger	0.757
snarl	სულელი	anger	0.754
profane	სისულელეა	anger	0.750
offend	შეურაცხყოფა	anger	0.750
douchebags	douchebags	anger	0.750
growling	იზრდება	anger	0.750
stfu	სტეფუ	anger	0.750
vulgarity	ვულგარულობა	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	სძულს	anger	0.750
horror	საშინელება	anger	0.750
aggravating	დამამძიმებელი	anger	0.750
revolting	აჯანყება	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	საფრთხე	anger	0.742
erupt	ამოიღე	anger	0.742
screaming	ყვირილი	anger	0.742
violence	ძალადობა	anger	0.742
horrible	საშინელებაა	anger	0.742
molestation	მეძაობა	anger	0.742
bastards	bastards	anger	0.741
revenge	შურისძიება	anger	0.738
catastrophe	კატასტროფა	anger	0.735
menacing	მუქარა	anger	0.735
demon	დემონი	anger	0.735
crushing	გამანადგურებელი	anger	0.735
damn	ჯანდაბა	anger	0.735
persecute	დევნა	anger	0.734
argue	კამათი	anger	0.734
flog	flog	anger	0.734
revolt	აჯანყება	anger	0.734
thrash	thrash	anger	0.734
deplore	განდევნა	anger	0.734
warfare	ომი	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	მტკივა	anger	0.734
riotous	შეურაცხმყოფელი	anger	0.734
altercation	შეცდომა	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	ამბოხება	anger	0.727
