word	Greek-el	emotion	emotion-intensity-score
outraged	εξοργισμένοι	anger	0.964
brutality	κτηνωδία	anger	0.959
hatred	έχθρα	anger	0.953
hateful	μισητός	anger	0.940
terrorize	τρομοκρατώ	anger	0.939
violently	βιαίως	anger	0.938
infuriated	εξοργισμένοι	anger	0.938
furious	έξαλλος	anger	0.929
enraged	εκτος εαυτου	anger	0.927
furiously	εξοργιστικά	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	δολοφόνος	anger	0.922
fury	μανία	anger	0.922
execution	εκτέλεση	anger	0.917
angered	εξοργισμένοι	anger	0.916
savagery	αγριότητα	anger	0.915
slaughtering	σφαγή	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	εκμηδένιση	anger	0.912
assassinate	δολοφονώ	anger	0.912
rage	οργή	anger	0.911
loathe	σιχαίνομαι	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	καταδίκη	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ανθρωποκτόνος	anger	0.906
furor	παραφορά	anger	0.900
hostile	εχθρικός	anger	0.898
annihilate	εκμηδενίζω	anger	0.898
murder	δολοφονία	anger	0.897
raging	οργισμένος	anger	0.896
vengeful	εκδικητικός	anger	0.894
rape	βιασμός	anger	0.894
ferocious	άγριος	anger	0.894
pissed	νευρικός	anger	0.894
obliterated	καταστραφεί	anger	0.894
infuriates	εξοργίζει	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	εκρηκτικός	anger	0.894
killing	φόνος	anger	0.893
combative	μαχητικός	anger	0.891
gofuckyourself	Αγαπητοί φίλοι	anger	0.886
vengeance	εκδίκηση	anger	0.886
torment	βασανιστήριο	anger	0.885
wrath	Οργή	anger	0.885
vicious	φαύλος	anger	0.884
massacre	σφαγή	anger	0.882
threatening	απειλητικές	anger	0.882
pissoff	Νευριάζω κάποιον	anger	0.875
abhorrent	απεχθής	anger	0.875
bloodthirsty	αιμοδίψης	anger	0.875
fighting	μαχητικός	anger	0.868
annihilated	εξολοθρεύεται	anger	0.865
attacking	επίθεση	anger	0.865
angriest	θυμωμένος	anger	0.864
