word	Haitian Creole-ht	emotion	emotion-intensity-score
outraged	imilye	anger	0.964
brutality	britalite	anger	0.959
hatred	rayisman	anger	0.953
hateful	rayisab	anger	0.940
terrorize	teworize	anger	0.939
violently	vyolans	anger	0.938
infuriated	fache	anger	0.938
furious	fache	anger	0.929
enraged	fache	anger	0.927
furiously	fou	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ansasen	anger	0.922
fury	kòlè	anger	0.922
execution	ekzekisyon	anger	0.917
angered	fache	anger	0.916
savagery	savon	anger	0.915
slaughtering	touye	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Fuckoff	anger	0.912
annihilation	anilasyon	anger	0.912
assassinate	asasen	anger	0.912
rage	raj	anger	0.911
loathe	fè mal	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	kondanasyon	anger	0.906
fucktard	Fucktard	anger	0.906
homicidal	omisid	anger	0.906
furor	fou	anger	0.900
hostile	ostil	anger	0.898
annihilate	elimine	anger	0.898
murder	touye moun	anger	0.897
raging	fache	anger	0.896
vengeful	vengeful	anger	0.894
rape	vyòl	anger	0.894
ferocious	nan bwa	anger	0.894
pissed	boure	anger	0.894
obliterated	efase	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplozif	anger	0.894
killing	touye	anger	0.893
combative	konbatif	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	tire revanj	anger	0.886
torment	touman	anger	0.885
wrath	kòlè	anger	0.885
vicious	visye	anger	0.884
massacre	Masak	anger	0.882
threatening	menase	anger	0.882
pissoff	faché	anger	0.875
abhorrent	abondan	anger	0.875
bloodthirsty	asasen	anger	0.875
fighting	goumen	anger	0.868
annihilated	anile	anger	0.865
attacking	atake	anger	0.865
angriest	enkyetid	anger	0.864
bloodshed	san koule	anger	0.864
smite	frape	anger	0.862
brawl	tapaj	anger	0.861
assault	atak	anger	0.859
malicious	move	anger	0.859
strangle	trangle	anger	0.859
tirade	tirade	anger	0.859
explode	eksploze	anger	0.859
assassination	asasina	anger	0.859
hostility	ostilite	anger	0.859
loathsome	dousman	anger	0.857
hell	lanfè	anger	0.853
murderous	touye moun	anger	0.853
attack	atak	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	teworis	anger	0.851
beating	bat	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	outraj	anger	0.848
stab	koud	anger	0.844
slaughter	touye	anger	0.844
violent	vyolan	anger	0.844
destroying	detwi	anger	0.844
abomination	abominasyon	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	fache	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	ostilite	anger	0.837
prick	pike	anger	0.835
torture	tòti	anger	0.833
rabid	rabid	anger	0.833
horrid	sezi	anger	0.833
rampage	sakaje	anger	0.833
cruelty	mechanste	anger	0.833
hate	rayi	anger	0.828
demonic	dyabolik	anger	0.828
hating	rayi	anger	0.828
satanic	satanik	anger	0.828
tyrannical	tirannik	anger	0.828
ragemode	rajmode	anger	0.828
despicable	embesil	anger	0.828
ruinous	kraze	anger	0.825
condemn	kondane	anger	0.825
riots	revòlt	anger	0.824
demolish	demoli	anger	0.824
angry	fache	anger	0.824
extermination	ekstèminasyon	anger	0.824
dickhead	Dickhead	anger	0.824
livid	klere	anger	0.821
madman	fou	anger	0.820
vindictive	vanjans	anger	0.819
