word	Hausa-ha	emotion	emotion-intensity-score
outraged	outraged	anger	0.964
brutality	mugunta	anger	0.959
hatred	ƙiyayya	anger	0.953
hateful	m	anger	0.940
terrorize	ta'addanci	anger	0.939
violently	tashin hankali	anger	0.938
infuriated	infuriated	anger	0.938
furious	fushi	anger	0.929
enraged	fushi	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	kisan kai	anger	0.922
fury	fushi	anger	0.922
execution	kisa	anger	0.917
angered	fusatar	anger	0.916
savagery	sawa	anger	0.915
slaughtering	kisan	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	hallaka	anger	0.912
assassinate	kashe	anger	0.912
rage	fushi	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	maƙiya	anger	0.898
annihilate	hallaka	anger	0.898
murder	kisan kai	anger	0.897
raging	raging	anger	0.896
vengeful	fansa	anger	0.894
rape	fyade	anger	0.894
ferocious	farocious	anger	0.894
pissed	m	anger	0.894
obliterated	obliterated	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	fashewa	anger	0.894
killing	kisan	anger	0.893
combative	mota	anger	0.891
gofuckyourself	gofuckyselfself	anger	0.886
vengeance	ramuwa	anger	0.886
torment	azaba	anger	0.885
wrath	fushi	anger	0.885
vicious	mugunta	anger	0.884
massacre	kisan gilla	anger	0.882
threatening	barazana	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	m	anger	0.875
bloodthirsty	jinin jini	anger	0.875
fighting	fada	anger	0.868
annihilated	hallaka	anger	0.865
attacking	kai hare hare	anger	0.865
angriest	angriest	anger	0.864
bloodshed	zubar da jini	anger	0.864
smite	buga	anger	0.862
brawl	brawl	anger	0.861
assault	hari	anger	0.859
malicious	malicious	anger	0.859
strangle	baƙi	anger	0.859
tirade	tirade	anger	0.859
explode	fashewa	anger	0.859
assassination	kisan gilla	anger	0.859
hostility	ƙiyayya	anger	0.859
loathsome	abin ƙyama	anger	0.857
hell	jahannama	anger	0.853
murderous	kisan kai	anger	0.853
attack	kai hari	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ta'addanci	anger	0.851
beating	bugawa	anger	0.849
desecration	lalata	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ƙyama	anger	0.848
stab	kara	anger	0.844
slaughter	kisan	anger	0.844
violent	tashin hankali	anger	0.844
destroying	lalata	anger	0.844
abomination	abin ƙyama	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	shafewa	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	tashin hankali	anger	0.837
prick	prick	anger	0.835
torture	azabtarwa	anger	0.833
rabid	rabid	anger	0.833
horrid	tsoro	anger	0.833
rampage	rampage	anger	0.833
cruelty	mugunta	anger	0.833
hate	ƙiyayya	anger	0.828
demonic	demonic	anger	0.828
hating	hating	anger	0.828
satanic	satanic	anger	0.828
tyrannical	cin zarafi	anger	0.828
ragemode	rage fushi	anger	0.828
despicable	m	anger	0.828
ruinous	lalata	anger	0.825
condemn	yanke hukunci	anger	0.825
riots	riots	anger	0.824
demolish	rushe	anger	0.824
angry	fushi	anger	0.824
extermination	wargajewa	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	venomous	anger	0.818
threaten	barazana	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ta'addanci	anger	0.818
abhor	abhor	anger	0.816
savage	mugunta	anger	0.814
atrocity	atrocity	anger	0.814
carnage	kisan	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	zagi	anger	0.812
tyrant	mai tsanani	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	ji haushi	anger	0.812
vendetta	vendetta	anger	0.812
fierce	m	anger	0.812
destroyer	rushewa	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	fushi	anger	0.811
pieceofshit	yanki	anger	0.810
slam	slam	anger	0.803
fights	yakin	anger	0.803
punched	ƙwanƙwasa	anger	0.803
bitch	Ciyawa	anger	0.803
punching	fashewa	anger	0.803
homicide	kisan kai	anger	0.803
destructive	hallakaswa	anger	0.797
ruthless	m	anger	0.797
villainous	villainous	anger	0.797
slap	yar	anger	0.791
slaughterhouse	kisan ginin	anger	0.788
punishing	hukunta	anger	0.788
destroyed	hallaka	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	bore	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	muryar	anger	0.788
growthefuckup	farfadowa	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	kisan kai	anger	0.783
clash	karo	anger	0.783
bloody	jini	anger	0.781
hellish	Jahannamah	anger	0.781
loath	haushi	anger	0.781
detonation	detonation	anger	0.781
quarrel	jayayya	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	zargin	anger	0.779
treacherous	mayaudara	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	karɓa	anger	0.773
revulsion	farfado	anger	0.773
madder	madder	anger	0.773
horrific	m	anger	0.773
scorn	abin ba'a	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bam	anger	0.766
anarchist	anarchist	anger	0.765
devastation	lalata	anger	0.765
resent	fushi	anger	0.765
firestorm	wuta	anger	0.765
contemptible	abin razana	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	mugunta	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	m	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	busa	anger	0.757
snarl	snarl	anger	0.754
profane	lalata	anger	0.750
offend	zalunci	anger	0.750
douchebags	douchebags	anger	0.750
growling	karawa	anger	0.750
stfu	stfu	anger	0.750
vulgarity	lalata	anger	0.750
dontmesswithme	wandamesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	raina	anger	0.750
horror	tsoro	anger	0.750
aggravating	ciwo	anger	0.750
revolting	revolting	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	barazana	anger	0.742
erupt	ƙarewa	anger	0.742
screaming	kururuwa	anger	0.742
violence	tashin hankali	anger	0.742
horrible	m	anger	0.742
molestation	ci gaba	anger	0.742
bastards	bastards	anger	0.741
revenge	fansa	anger	0.738
catastrophe	hadarin	anger	0.735
menacing	menacing	anger	0.735
demon	aljanu	anger	0.735
crushing	murkushe	anger	0.735
damn	Tsine	anger	0.735
persecute	tsananta	anger	0.734
argue	jayayya	anger	0.734
flog	flog	anger	0.734
revolt	tayar da hankali	anger	0.734
thrash	fashe	anger	0.734
deplore	deplore	anger	0.734
warfare	yaki	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	jin tsoro	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	kaddara	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	yan kasuwa	anger	0.721
strike	yajin	anger	0.721
disaster	bala'i	anger	0.721
disastrous	m	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	shaidan	anger	0.719
scream	kururuwa	anger	0.719
brutal	m	anger	0.719
treachery	yaudara	anger	0.719
scorching	scorching	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	damuwa	anger	0.719
spiteful	m	anger	0.719
slay	kashe	anger	0.719
disdain	disdain	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	lalata	anger	0.714
criminal	laifi	anger	0.714
denunciation	sanarwa	anger	0.713
punch	fashi	anger	0.713
crucifixion	gicciye	anger	0.712
virulence	virulence	anger	0.712
battled	battled	anger	0.712
fatal	m	anger	0.712
holocaust	hadayu	anger	0.712
blasphemous	sabo	anger	0.712
hurting	ciwo	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	bare	anger	0.706
atrocious	m	anger	0.706
evil	mugunta	anger	0.706
irritated	fushi	anger	0.706
assassin	kisan kai	anger	0.703
dicks	dicks	anger	0.703
persecution	tsananta	anger	0.703
slayer	kisa	anger	0.703
kidnap	sacewa	anger	0.703
scolding	tsawatawa	anger	0.703
intimidation	barazana	anger	0.703
aggravated	kara	anger	0.703
aggression	tashin hankali	anger	0.702
armed	makamai	anger	0.700
poison	guba	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	yaki	anger	0.697
disgruntled	raunana	anger	0.693
insidious	m	anger	0.691
assailant	assailant	anger	0.691
resentment	fushi	anger	0.691
lynch	lynch	anger	0.690
contemptuous	zalunci	anger	0.690
temper	fushi	anger	0.688
imprisonment	ɗaurin kurkuku	anger	0.688
disparage	disparage	anger	0.688
bully	bully	anger	0.688
terrible	m	anger	0.688
lunatic	damuwa	anger	0.688
curse	la'ana	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	ɓoye	anger	0.688
domination	rinjaye	anger	0.688
mad	mahaukaci	anger	0.688
infanticide	kashe kansa	anger	0.688
volatility	volatility	anger	0.687
eradication	karewa	anger	0.685
tantrum	tantrum	anger	0.682
devastate	lalata	anger	0.682
eradicate	kawar da	anger	0.682
scoundrel	mai lalata	anger	0.682
aggressively	mugunta	anger	0.680
agitation	agitation	anger	0.680
dictatorship	mulkin kama karya	anger	0.676
irritates	irritates	anger	0.676
profanity	profanity	anger	0.673
egregious	ba bisa doka ba	anger	0.672
expletive	expletive	anger	0.672
nasty	m	anger	0.672
shove	kalli	anger	0.672
shot	harbe	anger	0.672
harmful	cutarwa	anger	0.672
aggravation	damuwa	anger	0.672
contempt	raini	anger	0.672
poisonous	guba	anger	0.672
dastardly	dastardly	anger	0.672
shoot	harba	anger	0.672
corrupting	gurbata	anger	0.672
condemnation	yanke hukunci	anger	0.672
wreak	wreak	anger	0.672
crushed	crushed	anger	0.672
cruelly	mummunan hali	anger	0.672
crime	laifi	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ƙarewa	anger	0.667
odious	m	anger	0.667
shooting	harbi	anger	0.667
kick	buga	anger	0.667
aggressive	m	anger	0.667
combat	fama	anger	0.667
shout	ihu	anger	0.667
hit	buga	anger	0.667
fight	yakin	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	makiya	anger	0.667
irritable	m	anger	0.667
punished	azabtar	anger	0.662
ambush	jira	anger	0.661
yell	yi ihu	anger	0.661
harass	damuwa	anger	0.659
malignant	m	anger	0.656
aggressor	rikici	anger	0.656
antichrist	maƙiyin Kristi	anger	0.656
gore	gore	anger	0.656
incense	turare	anger	0.656
expel	fitar	anger	0.656
destruction	hallaka	anger	0.656
grudge	makirci	anger	0.656
cranky	cranky	anger	0.653
offended	yi fushi	anger	0.652
spank	spank	anger	0.652
growl	Girgiza	anger	0.652
insurrection	tashin hankali	anger	0.652
reprisal	reprisal	anger	0.652
slave	bawa	anger	0.652
denounce	karyata	anger	0.652
animosity	m	anger	0.652
insulting	m	anger	0.652
clashing	rikici	anger	0.652
growls	masu girma	anger	0.649
executioner	Executioner	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	lalata	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	lalata	anger	0.641
feud	m	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	tsawatawa	anger	0.641
expulsion	fitar da shi	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	zargi	anger	0.641
indignant	m	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ciwo	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	guba	anger	0.636
batter	batter	anger	0.636
kicking	kicking	anger	0.636
hanging	rataye	anger	0.636
