word	Hawaiian-haw	emotion	emotion-intensity-score
outraged	hoʻopailua	anger	0.964
brutality	hewa	anger	0.959
hatred	inaina	anger	0.953
hateful	hoʻowahāwahāʻia	anger	0.940
terrorize	weliweli	anger	0.939
violently	ikaika	anger	0.938
infuriated	hoʻonāukiuki	anger	0.938
furious	e huhū	anger	0.929
enraged	huhū	anger	0.927
furiously	me ka inaina	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	pepehi kanaka	anger	0.922
fury	ka huhū	anger	0.922
execution	hopena	anger	0.917
angered	huhū	anger	0.916
savagery	kauā	anger	0.915
slaughtering	pepehi kanaka	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	ka momona	anger	0.912
annihilation	luku	anger	0.912
assassinate	pepehi	anger	0.912
rage	huhū	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	hoʻoponopono	anger	0.906
fucktard	ka pua	anger	0.906
homicidal	ka homicidal	anger	0.906
furor	uhu	anger	0.900
hostile	ʻenemi	anger	0.898
annihilate	lukuʻia	anger	0.898
murder	pepehi kanaka	anger	0.897
raging	hoʻoulu	anger	0.896
vengeful	uku hoʻopaʻi	anger	0.894
rape	raina	anger	0.894
ferocious	ferocious	anger	0.894
pissed	pissed	anger	0.894
obliterated	Ua hoʻopauʻia	anger	0.894
infuriates	hauʻoli	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	nā mea pōʻino	anger	0.894
killing	pepehi	anger	0.893
combative	hopena	anger	0.891
gofuckyourself	hihihihihihihihi	anger	0.886
vengeance	ka hoʻopaʻi	anger	0.886
torment	eha	anger	0.885
wrath	huhū	anger	0.885
vicious	weliweli	anger	0.884
massacre	luku	anger	0.882
threatening	weliweli	anger	0.882
pissoff	hoʻohuhū	anger	0.875
abhorrent	hoʻopailua	anger	0.875
bloodthirsty	ke koko	anger	0.875
fighting	ke kaua	anger	0.868
annihilated	lukuʻia	anger	0.865
attacking	kū'ē	anger	0.865
angriest	ʻo ia ke kahuna	anger	0.864
bloodshed	i ke koko	anger	0.864
smite	e hahau	anger	0.862
brawl	ke kūkā	anger	0.861
assault	Limanui	anger	0.859
malicious	maikaʻi	anger	0.859
strangle	kāleka	anger	0.859
tirade	ʻoka	anger	0.859
explode	hoʻopā	anger	0.859
assassination	pepehi kanaka	anger	0.859
hostility	haunaele	anger	0.859
loathsome	hoʻopailua	anger	0.857
hell	hehena	anger	0.853
murderous	pepehi kanaka	anger	0.853
attack	ke kaua	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	nā hoʻokūkū	anger	0.851
beating	e hahau ana	anger	0.849
desecration	hewa	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ka huhū	anger	0.848
stab	ala	anger	0.844
slaughter	pepehi	anger	0.844
violent	ikaika	anger	0.844
destroying	e luku ana	anger	0.844
abomination	ino	anger	0.844
tumultuous	nui	anger	0.844
irate	irate	anger	0.844
infuriate	hoʻopiʻi	anger	0.844
obliterate	makeʻole	anger	0.843
belligerent	kamaka	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	hoʻopailua	anger	0.838
hostilities	nā kaua	anger	0.837
prick	prick	anger	0.835
torture	ka hoʻomāinoino	anger	0.833
rabid	rabid	anger	0.833
horrid	weliweli	anger	0.833
rampage	hoʻoponopono	anger	0.833
cruelty	hanaʻino	anger	0.833
hate	inaina	anger	0.828
demonic	hoʻopōʻino	anger	0.828
hating	inaina	anger	0.828
satanic	ma Satana	anger	0.828
tyrannical	hoʻonāukiuki	anger	0.828
ragemode	nui	anger	0.828
despicable	hoʻopailua	anger	0.828
ruinous	ʻo ka luku	anger	0.825
condemn	e hoʻohewa	anger	0.825
riots	nā haunaele	anger	0.824
demolish	e wāwahi	anger	0.824
angry	huhū	anger	0.824
extermination	hoʻopau	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	hehena	anger	0.820
vindictive	hoʻopono	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	mea inu	anger	0.818
threaten	weliweli	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	weliweli	anger	0.818
abhor	hoʻowahāwahā	anger	0.816
savage	maikaʻi	anger	0.814
atrocity	paʻaʻole	anger	0.814
carnage	ka make	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	hoʻomāinoino	anger	0.812
tyrant	ino	anger	0.812
fucksake	puana	anger	0.812
pissedoff	inaina	anger	0.812
vendetta	kāpili	anger	0.812
fierce	ua ikaika	anger	0.812
destroyer	ka mea luku	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	e puhi	anger	0.812
barbaric	kūkā	anger	0.812
anger	huhū	anger	0.811
pieceofshit	wahi	anger	0.810
slam	slam	anger	0.803
fights	kaua	anger	0.803
punched	kauʻia	anger	0.803
bitch	bitch	anger	0.803
punching	punching	anger	0.803
homicide	ka pepehi kanaka	anger	0.803
destructive	e luku ana	anger	0.797
ruthless	i ka manaʻo wiwoʻole	anger	0.797
villainous	maikaʻi	anger	0.797
slap	pila	anger	0.791
slaughterhouse	kauhale	anger	0.788
punishing	e hoʻopaʻi	anger	0.788
destroyed	ua wāwahiʻia	anger	0.788
retaliatory	ka uku hoʻopaʻi	anger	0.788
riot	haunaele	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ke kāheaʻana	anger	0.788
growthefuckup	haohaohai	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	ke kanaka pepehi kanaka	anger	0.783
clash	hopena	anger	0.783
bloody	koko	anger	0.781
hellish	Kehena	anger	0.781
loath	ka hoʻowahāwahā	anger	0.781
detonation	hoʻopunipuni	anger	0.781
quarrel	ka hakakā	anger	0.781
sinister	hewa	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	e hoopii ana	anger	0.779
treacherous	hoʻopunipuni	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	e hoʻi hou	anger	0.773
revulsion	hoʻopiʻi	anger	0.773
madder	madder	anger	0.773
horrific	nui	anger	0.773
scorn	hoʻowahāwahā	anger	0.769
deplorable	nā meaʻino	anger	0.766
bomb	poma	anger	0.766
anarchist	anarchist	anger	0.765
devastation	ka pōʻino	anger	0.765
resent	ka huhū	anger	0.765
firestorm	ke ahi ahi	anger	0.765
contemptible	nā mea manaʻoʻole	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kauā	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	make	anger	0.758
smash	e'ākī	anger	0.758
rant	eh	anger	0.758
outburst	kūlana	anger	0.757
snarl	ka lehu	anger	0.754
profane	hewa	anger	0.750
offend	hewa	anger	0.750
douchebags	douchebags	anger	0.750
growling	kūkala	anger	0.750
stfu	ʻo stfu	anger	0.750
vulgarity	pōʻino	anger	0.750
dontmesswithme	hihihihihihihihi	anger	0.750
crazed	ua pīhoihoi	anger	0.750
