word	Hmong-hmn	emotion	emotion-intensity-score
outraged	outraged	anger	0.964
brutality	kev ua phem	anger	0.959
hatred	ntxub	anger	0.953
hateful	ntxub	anger	0.940
terrorize	ntshai	anger	0.939
violently	tsausmuag	anger	0.938
infuriated	infuriated	anger	0.938
furious	furious	anger	0.929
enraged	enraged	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	tua neeg	anger	0.922
fury	npau taws	anger	0.922
execution	ua tiav	anger	0.917
angered	angered	anger	0.916
savagery	savagery	anger	0.915
slaughtering	slaughtering	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	kev puas tsuaj	anger	0.912
assassinate	assassinate	anger	0.912
rage	npau taws heev	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	hostile	anger	0.898
annihilate	rhuav tshem	anger	0.898
murder	tua neeg	anger	0.897
raging	raging	anger	0.896
vengeful	vengeful	anger	0.894
rape	rape	anger	0.894
ferocious	ntxub heev	anger	0.894
pissed	pissed	anger	0.894
obliterated	obliterated	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	tawg	anger	0.894
killing	tua	anger	0.893
combative	sib txuas	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	pauj	anger	0.886
torment	kev tsim txom	anger	0.885
wrath	txoj kev npau taws	anger	0.885
vicious	vicious	anger	0.884
massacre	kev tua neeg pov tseg	anger	0.882
threatening	hem	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	sib ntaus	anger	0.868
annihilated	puas tsuaj	anger	0.865
attacking	zuj zus	anger	0.865
angriest	angriest	anger	0.864
bloodshed	bloodshed	anger	0.864
smite	smite	anger	0.862
brawl	brawl	anger	0.861
assault	quab yuam	anger	0.859
malicious	siab phem	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	tawg	anger	0.859
assassination	kev tua neeg	anger	0.859
hostility	kev ua siab phem	anger	0.859
loathsome	loathsome	anger	0.857
hell	ntuj raug txim	anger	0.853
murderous	murderous	anger	0.853
attack	nres	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	kev ua phem	anger	0.851
beating	ntaus	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kev chim siab	anger	0.848
stab	stab	anger	0.844
slaughter	slaughter	anger	0.844
violent	tsausmuag	anger	0.844
destroying	rhuav tseg	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	sib zog	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	kev ua yeeb ncuab	anger	0.837
prick	prick	anger	0.835
torture	tsim txom	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	kev phem	anger	0.833
hate	ntxub	anger	0.828
demonic	ntsujplig phem	anger	0.828
hating	ntxub	anger	0.828
satanic	Dab Ntxwg Nyoog	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	despicable	anger	0.828
ruinous	rhuav tshem	anger	0.825
condemn	txwv	anger	0.825
riots	riots	anger	0.824
demolish	rhuav tshem	anger	0.824
angry	npau taws	anger	0.824
extermination	extermination	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	venomous	anger	0.818
threaten	hem	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	neeg ua phem	anger	0.818
abhor	abhor	anger	0.816
savage	siab phem	anger	0.814
atrocity	atrocity	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	kev tsim txom	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	tsiv	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	npau taws	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	fights	anger	0.803
punched	punched	anger	0.803
bitch	bitch	anger	0.803
punching	xuas nrig ntaus	anger	0.803
homicide	tua neeg	anger	0.803
destructive	puas tsuaj	anger	0.797
ruthless	ruthless	anger	0.797
villainous	villainous	anger	0.797
slap	ncuav	anger	0.791
slaughterhouse	tsiaj tua tsiaj	anger	0.788
punishing	punishing	anger	0.788
destroyed	rhuav tshem	anger	0.788
retaliatory	pauj kev chim siab	anger	0.788
riot	riot	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	kev loj hlob	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	manslaughter	anger	0.783
clash	sib tsoo	anger	0.783
bloody	ntshav	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	tawg	anger	0.781
quarrel	sib cav sib ceg	anger	0.781
sinister	siab phem	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	accusing	anger	0.779
treacherous	treacherous	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	tawm tsam	anger	0.773
revulsion	tshem tawm	anger	0.773
madder	madder	anger	0.773
horrific	horrific	anger	0.773
scorn	ntxub	anger	0.769
deplorable	deplorable	anger	0.766
bomb	foob ​​pob	anger	0.766
anarchist	anarchist	anger	0.765
devastation	devastation	anger	0.765
resent	resent	anger	0.765
firestorm	hluav taws kub	anger	0.765
contemptible	kev saib tsis taus	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	lim hiam	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	tuag taus	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	ua nruj ua tsiv	anger	0.757
snarl	nyooj	anger	0.754
profane	profane	anger	0.750
offend	poob siab	anger	0.750
douchebags	douchebags	anger	0.750
growling	loj hlob tuaj	anger	0.750
stfu	stfu	anger	0.750
vulgarity	hais lus phem	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	ntxub	anger	0.750
horror	ntshai heev	anger	0.750
aggravating	nyhav	anger	0.750
revolting	kev tawm tsam	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	hem	anger	0.742
erupt	tawg	anger	0.742
screaming	quaj qw	anger	0.742
violence	kev ua phem	anger	0.742
