word	Hungarian-hu	emotion	emotion-intensity-score
outraged	felháborodott	anger	0.964
brutality	durvaság	anger	0.959
hatred	gyűlölet	anger	0.953
hateful	utálatos	anger	0.940
terrorize	rettegésben tart	anger	0.939
violently	erőszakosan	anger	0.938
infuriated	feldühödött	anger	0.938
furious	dühös	anger	0.929
enraged	feldühített	anger	0.927
furiously	dühösen	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	gyilkos	anger	0.922
fury	düh	anger	0.922
execution	végrehajtás	anger	0.917
angered	feldühítette	anger	0.916
savagery	vadság	anger	0.915
slaughtering	levágás	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	megsemmisítés	anger	0.912
assassinate	orvul meggyilkol	anger	0.912
rage	düh	anger	0.911
loathe	gyűlöl	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	kárhozat	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	gyilkos	anger	0.906
furor	ihlet	anger	0.900
hostile	ellenséges	anger	0.898
annihilate	megsemmisít	anger	0.898
murder	gyilkosság	anger	0.897
raging	dühöngő	anger	0.896
vengeful	bosszúálló	anger	0.894
rape	erőszak	anger	0.894
ferocious	kegyetlen	anger	0.894
pissed	részeg	anger	0.894
obliterated	elmosódott	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	robbanó	anger	0.894
killing	gyilkolás	anger	0.893
combative	harcias	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	bosszú	anger	0.886
torment	kín	anger	0.885
wrath	harag	anger	0.885
vicious	gonosz	anger	0.884
massacre	mészárlás	anger	0.882
threatening	fenyegető	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	gyűlöletes	anger	0.875
bloodthirsty	vérszomjas	anger	0.875
fighting	harcoló	anger	0.868
annihilated	megsemmisült	anger	0.865
attacking	támadó	anger	0.865
angriest	legdühösebb	anger	0.864
bloodshed	vérontás	anger	0.864
smite	lecsap	anger	0.862
brawl	pörlekedik	anger	0.861
assault	támadás	anger	0.859
malicious	rosszindulatú	anger	0.859
strangle	fojt	anger	0.859
tirade	beszéd	anger	0.859
explode	felrobban	anger	0.859
assassination	orgyilkosság	anger	0.859
hostility	ellenségeskedés	anger	0.859
loathsome	utálatos	anger	0.857
hell	pokol	anger	0.853
murderous	gyilkos	anger	0.853
attack	támadás	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorizmus	anger	0.851
beating	verés	anger	0.849
desecration	meggyalázás	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	merénylet	anger	0.848
stab	döfés	anger	0.844
slaughter	levágás	anger	0.844
violent	erőszakos	anger	0.844
destroying	pusztító	anger	0.844
abomination	utálat	anger	0.844
tumultuous	lármás	anger	0.844
irate	dühös	anger	0.844
infuriate	felbosszant	anger	0.844
obliterate	kitöröl	anger	0.843
belligerent	hadviselő	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	utál	anger	0.838
hostilities	ellenségeskedések	anger	0.837
prick	pöcs	anger	0.835
torture	kínvallatás	anger	0.833
rabid	fanatikus	anger	0.833
horrid	borzalmas	anger	0.833
rampage	tombol	anger	0.833
cruelty	kegyetlenség	anger	0.833
hate	gyűlölet	anger	0.828
demonic	démoni	anger	0.828
hating	gyűlöli	anger	0.828
satanic	sátáni	anger	0.828
tyrannical	zsarnoki	anger	0.828
ragemode	ragemode	anger	0.828
despicable	megvetendő	anger	0.828
ruinous	romboló	anger	0.825
condemn	elítél	anger	0.825
riots	zavargások	anger	0.824
demolish	lerombol	anger	0.824
angry	mérges	anger	0.824
extermination	kiirtás	anger	0.824
dickhead	faszfej	anger	0.824
livid	fakó	anger	0.821
madman	őrült	anger	0.820
vindictive	bosszúszomjas	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	vadság	anger	0.818
venomous	epés	anger	0.818
threaten	fenyeget	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorista	anger	0.818
abhor	gyűlöl	anger	0.816
savage	vad	anger	0.814
atrocity	kegyetlenség	anger	0.814
carnage	vérontás	anger	0.814
berserk	megvadult	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	visszaélés	anger	0.812
tyrant	zsarnok	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	dühös	anger	0.812
vendetta	vérbosszú	anger	0.812
fierce	vad	anger	0.812
destroyer	romboló	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	füstölgő	anger	0.812
barbaric	barbár	anger	0.812
anger	harag	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	bevág	anger	0.803
fights	harcol	anger	0.803
punched	lyukasztott	anger	0.803
bitch	kurva	anger	0.803
punching	átlyukasztás	anger	0.803
homicide	emberölés	anger	0.803
destructive	romboló	anger	0.797
ruthless	könyörtelen	anger	0.797
villainous	aljas	anger	0.797
slap	csapás	anger	0.791
slaughterhouse	vágóhíd	anger	0.788
punishing	megbüntetése	anger	0.788
destroyed	elpusztított	anger	0.788
retaliatory	megtorló	anger	0.788
riot	lázadás	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	kiabálás	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	ördögi	anger	0.788
manslaughter	emberölés	anger	0.783
clash	összecsapás	anger	0.783
bloody	véres	anger	0.781
hellish	pokoli	anger	0.781
loath	vonakodva	anger	0.781
detonation	robbanás	anger	0.781
quarrel	veszekedés	anger	0.781
sinister	baljós	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	vádló	anger	0.779
treacherous	áruló	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	megtorol	anger	0.773
revulsion	ellenérzés	anger	0.773
madder	festőbuzér	anger	0.773
horrific	rettenetes	anger	0.773
scorn	megvetés	anger	0.769
deplorable	siralmas	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchista	anger	0.765
devastation	pusztulás	anger	0.765
resent	megsértődik	anger	0.765
firestorm	tűzvihart	anger	0.765
contemptible	megvetendő	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kegyetlen	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	halálos	anger	0.758
smash	összetör	anger	0.758
rant	henceg	anger	0.758
outburst	kitörés	anger	0.757
snarl	vicsorog	anger	0.754
profane	profán	anger	0.750
offend	sért	anger	0.750
douchebags	douchebags	anger	0.750
growling	morgó	anger	0.750
stfu	STFU	anger	0.750
vulgarity	közönségesség	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	bolond	anger	0.750
despise	megvet	anger	0.750
horror	borzalom	anger	0.750
aggravating	súlyosbító	anger	0.750
revolting	lázadó	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	fenyegetés	anger	0.742
erupt	kinő	anger	0.742
screaming	visító	anger	0.742
violence	erőszak	anger	0.742
horrible	szörnyű	anger	0.742
molestation	molesztálás	anger	0.742
bastards	szemetek	anger	0.741
revenge	bosszú	anger	0.738
catastrophe	katasztrófa	anger	0.735
menacing	fenyegető	anger	0.735
demon	démon	anger	0.735
crushing	zúzó	anger	0.735
damn	átkozott	anger	0.735
persecute	gyötör	anger	0.734
argue	érvel	anger	0.734
flog	ostoroz	anger	0.734
revolt	lázadás	anger	0.734
thrash	elver	anger	0.734
deplore	sajnál	anger	0.734
warfare	hadviselés	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	heves	anger	0.734
riotous	lázadó	anger	0.734
altercation	veszekedés	anger	0.729
warlike	harcias	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	lázadás	anger	0.727
castrate	kasztrál	anger	0.727
sabotage	szabotázs	anger	0.727
malevolent	rosszindulatú	anger	0.721
strike	sztrájk	anger	0.721
disaster	katasztrófa	anger	0.721
disastrous	katasztrofális	anger	0.720
tumult	felfordulás	anger	0.719
madden	megőrjít	anger	0.719
devil	ördög	anger	0.719
