word	Igbo-ig	emotion	emotion-intensity-score
outraged	iwe	anger	0.964
brutality	obi ọjọọ	anger	0.959
hatred	ịkpọasị	anger	0.953
hateful	kpọrọ asị	anger	0.940
terrorize	egwu	anger	0.939
violently	ike	anger	0.938
infuriated	were iwe	anger	0.938
furious	iwe ọkụ	anger	0.929
enraged	iwe	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	onye na-egbu ọchụ	anger	0.922
fury	iwe	anger	0.922
execution	egbu egbu	anger	0.917
angered	kpasuru iwe	anger	0.916
savagery	nhazi	anger	0.915
slaughtering	igbu egbu	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	mbibi	anger	0.912
assassinate	egbu ọchụ	anger	0.912
rage	iwe	anger	0.911
loathe	na-ahụ anya	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ikpe	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	egbu egbu	anger	0.906
furor	furor	anger	0.900
hostile	onye iro	anger	0.898
annihilate	kpochapu	anger	0.898
murder	igbu ọchụ	anger	0.897
raging	agha	anger	0.896
vengeful	ọbọ	anger	0.894
rape	mmeko nwoke	anger	0.894
ferocious	obi ojoo	anger	0.894
pissed	ewe iwe	anger	0.894
obliterated	kpochapu	anger	0.894
infuriates	iwe iwe	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ihe mgbawa	anger	0.894
killing	igbu	anger	0.893
combative	agwakọta	anger	0.891
gofuckyourself	gofuckyselfself	anger	0.886
vengeance	ịbọ ọbọ	anger	0.886
torment	mmekpa ahụ	anger	0.885
wrath	iwe	anger	0.885
vicious	obi ọjọọ	anger	0.884
massacre	mgbuchapụ	anger	0.882
threatening	egwu	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	ihere	anger	0.875
bloodthirsty	ọbara ọbara	anger	0.875
fighting	agha	anger	0.868
annihilated	kpochapuru	anger	0.865
attacking	agha	anger	0.865
angriest	oku	anger	0.864
bloodshed	ịwụfu ọbara	anger	0.864
smite	tie	anger	0.862
brawl	ike	anger	0.861
assault	wakpo	anger	0.859
malicious	obi	anger	0.859
strangle	nya	anger	0.859
tirade	nkerade	anger	0.859
explode	agbawa	anger	0.859
assassination	mgbu mmadu	anger	0.859
hostility	iro	anger	0.859
loathsome	ihe arụ	anger	0.857
hell	hell	anger	0.853
murderous	igbu ọchụ	anger	0.853
attack	agha	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	iyi ọha egwu	anger	0.851
beating	eti eti	anger	0.849
desecration	adịghị ọcha	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	iwe	anger	0.848
stab	na-atụ	anger	0.844
slaughter	igbu	anger	0.844
violent	eme ihe ike	anger	0.844
destroying	ebibi	anger	0.844
abomination	ihe arụ	anger	0.844
tumultuous	ọgba aghara	anger	0.844
irate	irate	anger	0.844
infuriate	iwe iwe	anger	0.844
obliterate	kpochapu	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	asị	anger	0.838
hostilities	agha	anger	0.837
prick	prick	anger	0.835
torture	ịta ahụhụ	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	nbudata	anger	0.833
cruelty	obi ọjọọ	anger	0.833
hate	ịkpọasị	anger	0.828
demonic	ndị mmụọ ọjọọ	anger	0.828
hating	kpọrọ asị	anger	0.828
satanic	Setan	anger	0.828
tyrannical	na-achị achị	anger	0.828
ragemode	iwe	anger	0.828
despicable	ihe jọgburu onwe ya	anger	0.828
ruinous	mbibi	anger	0.825
condemn	ikpe	anger	0.825
riots	ọgba aghara	anger	0.824
demolish	kwatuo	anger	0.824
angry	iwe	anger	0.824
extermination	mkpochapụ	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	na-agbagha	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	vom	anger	0.818
threaten	egwu	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	na-eyi ọha egwu	anger	0.818
abhor	ihere	anger	0.816
savage	obi ojoo	anger	0.814
atrocity	atrocity	anger	0.814
carnage	mmebi	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	mmegbu	anger	0.812
tyrant	onye isi ike	anger	0.812
fucksake	emeghi	anger	0.812
pissedoff	were ya iwe	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ihe ike	anger	0.812
destroyer	onye mbibi	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	ụba	anger	0.812
anger	iwe	anger	0.811
pieceofshit	nke a	anger	0.810
slam	slam	anger	0.803
fights	agha	anger	0.803
punched	agbụ ya	anger	0.803
bitch	bitch	anger	0.803
punching	ọkpụkpụ	anger	0.803
homicide	igbu ọchụ	anger	0.803
destructive	ebibi	anger	0.797
ruthless	enweghị obi ebere	anger	0.797
villainous	na-emerụ ahụ	anger	0.797
slap	ụra	anger	0.791
slaughterhouse	ulo mkpocha	anger	0.788
punishing	na-ata ahụhụ	anger	0.788
destroyed	ebibi	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	ọgba aghara	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	eti mkpu	anger	0.788
growthefuckup	na-eto eto	anger	0.788
diabolical	ekwensu	anger	0.788
manslaughter	igbu mmadu	anger	0.783
clash	nsogbu	anger	0.783
bloody	ọbara	anger	0.781
hellish	hellish	anger	0.781
loath	ọbọ	anger	0.781
detonation	detonation	anger	0.781
quarrel	esemokwu	anger	0.781
sinister	dị njọ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ebubo	anger	0.779
treacherous	aghụghọ	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	megwara	anger	0.773
revulsion	nnupụisi	anger	0.773
madder	madder	anger	0.773
horrific	egwu	anger	0.773
scorn	ọchị	anger	0.769
deplorable	dị njọ	anger	0.766
bomb	bombu	anger	0.766
anarchist	anarchist	anger	0.765
devastation	mbibi	anger	0.765
resent	iwe	anger	0.765
firestorm	ọkụ ọkụ	anger	0.765
contemptible	dị njọ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	obi ọjọọ	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	egbu egbu	anger	0.758
smash	kụọ	anger	0.758
rant	rant	anger	0.758
outburst	iwe	anger	0.757
snarl	ejiri	anger	0.754
profane	rụrụ arụ	anger	0.750
offend	ewe iwe	anger	0.750
douchebags	douchebags	anger	0.750
growling	na-eto eto	anger	0.750
stfu	stfu	anger	0.750
vulgarity	abaghị uru	anger	0.750
dontmesswithme	nkemmadu	anger	0.750
crazed	crazed	anger	0.750
despise	leda anya	anger	0.750
horror	egwu	anger	0.750
aggravating	aggravating	anger	0.750
revolting	nnupụisi	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	egwu	anger	0.742
erupt	ada	anger	0.742
screaming	eti mkpu	anger	0.742
violence	ime ihe ike	anger	0.742
horrible	jọgburu onwe ya	anger	0.742
molestation	nsogbu	anger	0.742
bastards	bastards	anger	0.741
revenge	ịbọ ọbọ	anger	0.738
catastrophe	ọdachi	anger	0.735
menacing	egwu	anger	0.735
demon	mmụọ ọjọọ	anger	0.735
crushing	kpochapu	anger	0.735
damn	Ụchụ	anger	0.735
persecute	na-akpagbu	anger	0.734
argue	arụ ụka	anger	0.734
flog	afu	anger	0.734
revolt	nnupụisi	anger	0.734
thrash	uba	anger	0.734
deplore	deplore	anger	0.734
warfare	agha	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	obi ike	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	dị ka agha	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	nkwụsị	anger	0.727
castrate	ọgbọ	anger	0.727
sabotage	nchikota	anger	0.727
malevolent	ezighi ezi	anger	0.721
strike	agha	anger	0.721
disaster	ọdachi	anger	0.721
disastrous	ọdachi	anger	0.720
tumult	ọgba aghara	anger	0.719
madden	madden	anger	0.719
devil	Ekwensu	anger	0.719
scream	eti mkpu	anger	0.719
brutal	obi ọjọọ	anger	0.719
treachery	aghụghọ	anger	0.719
scorching	akpọnwụ	anger	0.719
vermin	mpi	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	obi ọjọọ	anger	0.719
slay	gbuo	anger	0.719
disdain	disdain	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	nbibi	anger	0.714
criminal	omempụ	anger	0.714
denunciation	ikpe	anger	0.713
punch	ụtụ	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	njigide	anger	0.712
battled	battled	anger	0.712
fatal	egbu egbu	anger	0.712
holocaust	ịchụ àjà	anger	0.712
blasphemous	nkwulu	anger	0.712
hurting	na-emejọ	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	gbapụ	anger	0.706
atrocious	ike	anger	0.706
evil	ọjọọ	anger	0.706
irritated	iwe	anger	0.706
assassin	onye gburu mmadụ	anger	0.703
dicks	dicks	anger	0.703
persecution	mkpagbu	anger	0.703
slayer	egbu ọchụ	anger	0.703
kidnap	ịchapu	anger	0.703
scolding	na-abara m mba	anger	0.703
intimidation	egwu	anger	0.703
aggravated	aggravated	anger	0.703
aggression	aghara	anger	0.702
armed	ndị agha	anger	0.700
poison	nsi	anger	0.697
snarling	na-egwu egwu	anger	0.697
venom	venom	anger	0.697
battle	agha	anger	0.697
disgruntled	ewe iwe	anger	0.693
insidious	ihe ojoo	anger	0.691
assailant	assailant	anger	0.691
resentment	iwe	anger	0.691
lynch	lynch	anger	0.690
contemptuous	nlelị	anger	0.690
temper	ewe iwe	anger	0.688
imprisonment	mkpọrọ	anger	0.688
disparage	disparage	anger	0.688
bully	emegbu onwe ya	anger	0.688
terrible	egwu	anger	0.688
lunatic	akpa ume	anger	0.688
curse	ọbụbụ ọnụ	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	zoro ezo	anger	0.688
domination	achị	anger	0.688
mad	agba	anger	0.688
infanticide	igbu nwa	anger	0.688
volatility	volatility	anger	0.687
eradication	kpochapu	anger	0.685
tantrum	obi ilu	anger	0.682
devastate	mbibi	anger	0.682
eradicate	kpochapu	anger	0.682
scoundrel	onye na-ama jijiji	anger	0.682
aggressively	na-agwụ ike	anger	0.680
agitation	ọgba aghara	anger	0.680
dictatorship	ọchịchị aka ike	anger	0.676
irritates	iwe	anger	0.676
profanity	okwu rere ure	anger	0.673
egregious	egregious	anger	0.672
expletive	expletive	anger	0.672
nasty	mkpari	anger	0.672
shove	gbanye	anger	0.672
shot	gbara	anger	0.672
harmful	emerụ	anger	0.672
aggravation	ọgba aghara	anger	0.672
contempt	nlelị	anger	0.672
poisonous	nsi	anger	0.672
dastardly	ngwa ngwa	anger	0.672
shoot	gbaa	anger	0.672
corrupting	emebi	anger	0.672
condemnation	ikpe	anger	0.672
wreak	wreak	anger	0.672
crushed	etipịa	anger	0.672
cruelly	obi ọjọọ	anger	0.672
crime	mpụ	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
