word	Indonesian-id	emotion	emotion-intensity-score
outraged	marah	anger	0.964
brutality	kebrutalan	anger	0.959
hatred	kebencian	anger	0.953
hateful	penuh kebencian	anger	0.940
terrorize	menteror	anger	0.939
violently	dengan kasar	anger	0.938
infuriated	geram	anger	0.938
furious	geram	anger	0.929
enraged	sangat marah	anger	0.927
furiously	dengan marah	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	pembunuh	anger	0.922
fury	kemarahan	anger	0.922
execution	eksekusi	anger	0.917
angered	marah	anger	0.916
savagery	kebiadaban	anger	0.915
slaughtering	membantai	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	penghancuran	anger	0.912
assassinate	membunuh	anger	0.912
rage	kemarahan	anger	0.911
loathe	benci	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	kutukan	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	pembunuhan	anger	0.906
furor	kehebohan	anger	0.900
hostile	bermusuhan	anger	0.898
annihilate	membinasakan	anger	0.898
murder	pembunuhan	anger	0.897
raging	hebat	anger	0.896
vengeful	dendam	anger	0.894
rape	memperkosa	anger	0.894
ferocious	ganas	anger	0.894
pissed	kesal	anger	0.894
obliterated	dilenyapkan	anger	0.894
infuriates	membuat marah	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplosif	anger	0.894
killing	pembunuhan	anger	0.893
combative	agresif	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	balas dendam	anger	0.886
torment	menyiksa	anger	0.885
wrath	murka	anger	0.885
vicious	ganas	anger	0.884
massacre	pembantaian	anger	0.882
threatening	mengancam	anger	0.882
pissoff	kesal	anger	0.875
abhorrent	mengerikan	anger	0.875
bloodthirsty	haus darah	anger	0.875
fighting	berkelahi	anger	0.868
annihilated	musnah	anger	0.865
attacking	menyerang	anger	0.865
angriest	pemarah	anger	0.864
bloodshed	pertumpahan darah	anger	0.864
smite	memukul	anger	0.862
brawl	ribut	anger	0.861
assault	serangan	anger	0.859
malicious	jahat	anger	0.859
strangle	mencekik	anger	0.859
tirade	omelan	anger	0.859
explode	meledak	anger	0.859
assassination	pembunuhan	anger	0.859
hostility	permusuhan	anger	0.859
loathsome	menjijikkan	anger	0.857
hell	neraka	anger	0.853
murderous	kejam	anger	0.853
attack	menyerang	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorisme	anger	0.851
beating	mengalahkan	anger	0.849
desecration	penodaan	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kebiadaban	anger	0.848
stab	menusuk	anger	0.844
slaughter	pembantaian	anger	0.844
violent	hebat	anger	0.844
destroying	menghancurkan	anger	0.844
abomination	kekejian	anger	0.844
tumultuous	rusuh	anger	0.844
irate	marah	anger	0.844
infuriate	memanaskan	anger	0.844
obliterate	melenyapkan	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	benci	anger	0.838
hostilities	pertempuran	anger	0.837
prick	tusukan	anger	0.835
torture	penyiksaan	anger	0.833
rabid	fanatik	anger	0.833
horrid	mengerikan	anger	0.833
rampage	mengamuk	anger	0.833
cruelty	kekejaman	anger	0.833
hate	benci	anger	0.828
demonic	jahat	anger	0.828
hating	membenci	anger	0.828
satanic	satanic	anger	0.828
tyrannical	kejam	anger	0.828
ragemode	ragemode	anger	0.828
despicable	tercela	anger	0.828
ruinous	merusak	anger	0.825
condemn	mengutuk	anger	0.825
riots	kerusuhan	anger	0.824
demolish	menghancurkan	anger	0.824
angry	marah	anger	0.824
extermination	pemusnahan	anger	0.824
dickhead	brengsek	anger	0.824
livid	marah	anger	0.821
madman	orang gila	anger	0.820
vindictive	pendendam	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	keganasan	anger	0.818
venomous	berbisa	anger	0.818
threaten	mengancam	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	teroris	anger	0.818
abhor	benci	anger	0.816
savage	biadab	anger	0.814
atrocity	kekejaman	anger	0.814
carnage	pembantaian	anger	0.814
berserk	mengamuk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	penyalahgunaan	anger	0.812
tyrant	tiran	anger	0.812
fucksake	keparat	anger	0.812
pissedoff	kesal	anger	0.812
vendetta	dendam	anger	0.812
fierce	sengit	anger	0.812
destroyer	perusak	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	marah	anger	0.812
barbaric	biadab	anger	0.812
anger	marah	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	membanting	anger	0.803
fights	perkelahian	anger	0.803
punched	menekan	anger	0.803
bitch	menggerutu	anger	0.803
punching	meninju	anger	0.803
homicide	pembunuhan	anger	0.803
destructive	destruktif	anger	0.797
ruthless	kejam	anger	0.797
villainous	jahat	anger	0.797
slap	menampar	anger	0.791
slaughterhouse	rumah jagal	anger	0.788
punishing	menghukum	anger	0.788
destroyed	hancur	anger	0.788
retaliatory	pembalasan dendam	anger	0.788
riot	kerusuhan	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	teriak	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	kejam	anger	0.788
manslaughter	pembunuhan biasa	anger	0.783
clash	bentrokan	anger	0.783
bloody	berdarah	anger	0.781
hellish	jahat	anger	0.781
loath	segan	anger	0.781
detonation	ledakan	anger	0.781
quarrel	bertengkar	anger	0.781
sinister	jahat	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	menuduh	anger	0.779
treacherous	berbahaya	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	membalas	anger	0.773
revulsion	perubahan	anger	0.773
madder	marah	anger	0.773
horrific	mengerikan	anger	0.773
scorn	cemooh	anger	0.769
deplorable	tercela	anger	0.766
bomb	bom	anger	0.766
anarchist	anarkis	anger	0.765
devastation	penghancuran	anger	0.765
resent	benci	anger	0.765
firestorm	badai api	anger	0.765
contemptible	hina	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	kejam	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mematikan	anger	0.758
smash	menghancurkan	anger	0.758
rant	kata-kata kasar	anger	0.758
outburst	ledakan	anger	0.757
snarl	menggeram	anger	0.754
profane	duniawi	anger	0.750
offend	menyinggung	anger	0.750
douchebags	douchebags	anger	0.750
growling	menggeram	anger	0.750
stfu	stfu	anger	0.750
vulgarity	kekasaran	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	gila	anger	0.750
despise	memandang rendah	anger	0.750
horror	kengerian	anger	0.750
aggravating	menjengkelkan	anger	0.750
revolting	menjijikkan	anger	0.750
fuckedoff	kacau balau	anger	0.742
threat	ancaman	anger	0.742
erupt	meletus	anger	0.742
screaming	teriakan	anger	0.742
violence	kekerasan	anger	0.742
horrible	mengerikan	anger	0.742
molestation	penganiayaan	anger	0.742
bastards	bajingan	anger	0.741
revenge	balas dendam	anger	0.738
catastrophe	malapetaka	anger	0.735
menacing	mengancam	anger	0.735
demon	setan	anger	0.735
crushing	penumpasan	anger	0.735
damn	mengutuk	anger	0.735
persecute	menganiaya	anger	0.734
argue	memperdebatkan	anger	0.734
flog	mencambuk	anger	0.734
revolt	memberontak	anger	0.734
thrash	menggasak	anger	0.734
deplore	menyayangkan	anger	0.734
warfare	perang	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	keras	anger	0.734
riotous	liar	anger	0.734
altercation	pertengkaran	anger	0.729
warlike	suka perang	anger	0.728
