word	Irish-ga	emotion	emotion-intensity-score
outraged	aisteach	anger	0.964
brutality	brutality	anger	0.959
hatred	fuath	anger	0.953
hateful	hateful	anger	0.940
terrorize	sceimhlitheoireacht	anger	0.939
violently	go foréigneach	anger	0.938
infuriated	infuriated	anger	0.938
furious	furious	anger	0.929
enraged	enraged	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	murtóir	anger	0.922
fury	fury	anger	0.922
execution	forghníomhú	anger	0.917
angered	angered	anger	0.916
savagery	saibhreas	anger	0.915
slaughtering	marú	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	muinínigh	anger	0.912
rage	rage	anger	0.911
loathe	báire	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	fionnadh	anger	0.900
hostile	naimhdeach	anger	0.898
annihilate	díothú	anger	0.898
murder	dúnmharú	anger	0.897
raging	raging	anger	0.896
vengeful	vengeful	anger	0.894
rape	éigniú	anger	0.894
ferocious	brónach	anger	0.894
pissed	pissed	anger	0.894
obliterated	neamhshuite	anger	0.894
infuriates	neamhghnácha	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	pléascach	anger	0.894
killing	marú	anger	0.893
combative	cobhsaí	anger	0.891
gofuckyourself	cuimhneamh féin	anger	0.886
vengeance	díoltas	anger	0.886
torment	torment	anger	0.885
wrath	wrath	anger	0.885
vicious	dona	anger	0.884
massacre	maisreabhra	anger	0.882
threatening	bagairt	anger	0.882
pissoff	Gabh suas ort féin	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	troid	anger	0.868
annihilated	annihilated	anger	0.865
attacking	ionsaí	anger	0.865
angriest	angriest	anger	0.864
bloodshed	fola fuaite	anger	0.864
smite	smite	anger	0.862
brawl	brawl	anger	0.861
assault	ionsaí	anger	0.859
malicious	mailíseach	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	pléascadh	anger	0.859
assassination	muinín	anger	0.859
hostility	naimhdeas	anger	0.859
loathsome	loathsome	anger	0.857
hell	ifreann	anger	0.853
murderous	dúnmharfach	anger	0.853
attack	ionsaí	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	sceimhlitheoireacht	anger	0.851
beating	beating	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	mealladh	anger	0.848
stab	stab	anger	0.844
slaughter	marú	anger	0.844
violent	foréigneach	anger	0.844
destroying	scriosadh	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	easpaitear	anger	0.843
belligerent	truaillíoch	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	breá	anger	0.838
hostilities	cogaíocht	anger	0.837
prick	prick	anger	0.835
torture	céasadh	anger	0.833
rabid	raidió	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	cruálacht	anger	0.833
hate	fuath	anger	0.828
demonic	demonic	anger	0.828
hating	hating	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	suarach	anger	0.828
ruinous	tobhta	anger	0.825
condemn	cáineadh	anger	0.825
riots	círéibeacha	anger	0.824
demolish	scartáil	anger	0.824
angry	feargach	anger	0.824
extermination	díothú	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	díograsach	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	venomous	anger	0.818
threaten	bagairt	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	sceimhlitheoireachta	anger	0.818
abhor	abhor	anger	0.816
savage	saibhir	anger	0.814
atrocity	atrocity	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	mí-úsáid	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	fíochmhar	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	fearg	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	troideanna	anger	0.803
punched	punched	anger	0.803
bitch	bitch	anger	0.803
punching	punching	anger	0.803
homicide	homicide	anger	0.803
destructive	millteach	anger	0.797
ruthless	neamhthrócaireach	anger	0.797
villainous	díograiseach	anger	0.797
slap	slap	anger	0.791
slaughterhouse	seamlas	anger	0.788
punishing	pionósú	anger	0.788
destroyed	scriosta	anger	0.788
retaliatory	aisghabhála	anger	0.788
riot	círéib	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ag rá	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	dúnorgain	anger	0.783
clash	Clash	anger	0.783
bloody	fuilteach	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	quarrel	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	accusing	anger	0.779
treacherous	fealltach	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	aisghabháil	anger	0.773
revulsion	athbheochan	anger	0.773
madder	dearfach	anger	0.773
horrific	uafásach	anger	0.773
scorn	scorn	anger	0.769
deplorable	deplorable	anger	0.766
bomb	buama	anger	0.766
anarchist	anarchist	anger	0.765
devastation	tubaiste	anger	0.765
resent	resent	anger	0.765
firestorm	stoirm dóiteáin	anger	0.765
contemptible	díspeagtha	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	éadrócaireach	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	deadly	anger	0.758
smash	bain	anger	0.758
rant	rant	anger	0.758
outburst	toradh	anger	0.757
snarl	snarl	anger	0.754
profane	brónach	anger	0.750
offend	cionta	anger	0.750
douchebags	douchebags	anger	0.750
growling	ag fás	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	caoineadh	anger	0.750
horror	uafásach	anger	0.750
aggravating	ag fulaingt	anger	0.750
revolting	imithe	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	bagairt	anger	0.742
erupt	briseadh	anger	0.742
screaming	screamáil	anger	0.742
violence	foréigean	anger	0.742
horrible	uafásach	anger	0.742
molestation	molestation	anger	0.742
bastards	bastard	anger	0.741
revenge	díoltas	anger	0.738
catastrophe	tubaiste	anger	0.735
menacing	marbh	anger	0.735
demon	Demon	anger	0.735
crushing	brú	anger	0.735
damn	damn	anger	0.735
