word	Japanese-ja	emotion	emotion-intensity-score
outraged	怒った	anger	0.964
brutality	残忍	anger	0.959
hatred	憎しみ	anger	0.953
hateful	憎む	anger	0.940
terrorize	恐れる	anger	0.939
violently	激しく	anger	0.938
infuriated	憤慨した	anger	0.938
furious	激怒する	anger	0.929
enraged	憤慨した	anger	0.927
furiously	激しく	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	殺人犯	anger	0.922
fury	怒り	anger	0.922
execution	実行	anger	0.917
angered	怒った	anger	0.916
savagery	野蛮人	anger	0.915
slaughtering	屠殺	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	ファックオフ	anger	0.912
annihilation	消滅	anger	0.912
assassinate	暗殺する	anger	0.912
rage	怒り	anger	0.911
loathe	嫌う	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	間違い	anger	0.906
fucktard	ファックタード	anger	0.906
homicidal	殺人的な	anger	0.906
furor	風邪	anger	0.900
hostile	敵対的な	anger	0.898
annihilate	全滅させる	anger	0.898
murder	殺人	anger	0.897
raging	激怒する	anger	0.896
vengeful	忌むるしい	anger	0.894
rape	レイプ	anger	0.894
ferocious	猛烈な	anger	0.894
pissed	怒った	anger	0.894
obliterated	抹消された	anger	0.894
infuriates	激怒する	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	爆発物	anger	0.894
killing	殺す	anger	0.893
combative	戦闘的	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	復讐	anger	0.886
torment	苦しめる	anger	0.885
wrath	怒り	anger	0.885
vicious	悪質な	anger	0.884
massacre	虐殺	anger	0.882
threatening	脅かす	anger	0.882
pissoff	ピソフ	anger	0.875
abhorrent	忌まわしい	anger	0.875
bloodthirsty	血まみれの	anger	0.875
fighting	戦う	anger	0.868
annihilated	絶滅した	anger	0.865
attacking	攻撃	anger	0.865
angriest	怒っている	anger	0.864
bloodshed	流血	anger	0.864
smite	打撃	anger	0.862
brawl	喧嘩	anger	0.861
assault	暴行	anger	0.859
malicious	悪意のある	anger	0.859
strangle	絞首刑	anger	0.859
tirade	猛烈な	anger	0.859
explode	爆発する	anger	0.859
assassination	暗殺	anger	0.859
hostility	敵意	anger	0.859
loathsome	嫌な	anger	0.857
hell	地獄	anger	0.853
murderous	殺人的な	anger	0.853
attack	攻撃	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	テロ	anger	0.851
beating	打つ	anger	0.849
desecration	冒涜	anger	0.848
pissingmeoff	ピッシング・ミーオフ	anger	0.848
outrage	怒り	anger	0.848
stab	刺す	anger	0.844
slaughter	虐殺	anger	0.844
violent	暴力的な	anger	0.844
destroying	破壊	anger	0.844
abomination	嫌悪	anger	0.844
tumultuous	騒々しい	anger	0.844
irate	怒る	anger	0.844
infuriate	激怒する	anger	0.844
obliterate	抹消する	anger	0.843
belligerent	交戦国	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	嫌う	anger	0.838
hostilities	戦闘	anger	0.837
prick	刺します	anger	0.835
torture	拷問	anger	0.833
rabid	猛烈な	anger	0.833
horrid	恐ろしい	anger	0.833
rampage	暴走	anger	0.833
cruelty	残酷	anger	0.833
hate	嫌い	anger	0.828
demonic	悪魔的な	anger	0.828
hating	嫌う	anger	0.828
satanic	悪魔的な	anger	0.828
tyrannical	専制政治	anger	0.828
ragemode	ラグモード	anger	0.828
despicable	卑劣な	anger	0.828
ruinous	破滅的な	anger	0.825
condemn	非難する	anger	0.825
riots	暴動	anger	0.824
demolish	解体する	anger	0.824
angry	怒っている	anger	0.824
extermination	絶滅	anger	0.824
dickhead	ディックヘッド	anger	0.824
livid	鮮やかな	anger	0.821
madman	狂人	anger	0.820
vindictive	悪意のある	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	獰猛	anger	0.818
venomous	有毒な	anger	0.818
threaten	脅かす	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	テロリスト	anger	0.818
abhor	嫌う	anger	0.816
savage	野蛮人	anger	0.814
atrocity	残虐行為	anger	0.814
carnage	大虐殺	anger	0.814
berserk	凶暴な	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	乱用	anger	0.812
tyrant	暴君	anger	0.812
fucksake	ファックセイク	anger	0.812
pissedoff	腹を立てて	anger	0.812
vendetta	復讐	anger	0.812
fierce	激しい	anger	0.812
destroyer	駆逐艦	anger	0.812
pissesmeoff	怒っている	anger	0.812
fuming	発煙	anger	0.812
barbaric	野蛮な	anger	0.812
anger	怒り	anger	0.811
pieceofshit	ピースフット	anger	0.810
slam	スラム	anger	0.803
fights	戦う	anger	0.803
punched	穿孔された	anger	0.803
bitch	雌犬	anger	0.803
punching	打ち抜き	anger	0.803
homicide	殺人	anger	0.803
destructive	破壊的	anger	0.797
ruthless	無慈悲な	anger	0.797
villainous	悪質な	anger	0.797
slap	平手打ち	anger	0.791
slaughterhouse	屠殺場	anger	0.788
punishing	罰する	anger	0.788
destroyed	破壊されました	anger	0.788
retaliatory	報復的	anger	0.788
riot	暴動	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	叫ぶ	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	悪魔的な	anger	0.788
manslaughter	殺害	anger	0.783
clash	衝突	anger	0.783
bloody	血まみれの	anger	0.781
hellish	地獄	anger	0.781
loath	嫌悪	anger	0.781
detonation	爆発	anger	0.781
quarrel	喧嘩	anger	0.781
sinister	不吉な	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	非難する	anger	0.779
treacherous	信じられない	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	報復する	anger	0.773
revulsion	嫌悪	anger	0.773
madder	茜	anger	0.773
horrific	恐ろしい	anger	0.773
scorn	軽蔑	anger	0.769
deplorable	嘆かわしい	anger	0.766
bomb	爆弾	anger	0.766
anarchist	アナキスト	anger	0.765
devastation	荒廃	anger	0.765
resent	再送	anger	0.765
firestorm	火災	anger	0.765
contemptible	軽蔑的な	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	残酷な	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	致命的	anger	0.758
smash	スマッシュ	anger	0.758
rant	暴言	anger	0.758
outburst	爆発	anger	0.757
snarl	うんざり	anger	0.754
profane	不敬	anger	0.750
offend	怒る	anger	0.750
douchebags	ダッシュバッグ	anger	0.750
growling	うなる	anger	0.750
stfu	ステフ	anger	0.750
vulgarity	下品	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	狂った	anger	0.750
despise	軽蔑する	anger	0.750
horror	ホラー	anger	0.750
aggravating	悪化する	anger	0.750
revolting	反乱	anger	0.750
fuckedoff	ファックドオフ	anger	0.742
threat	脅威	anger	0.742
erupt	爆発する	anger	0.742
screaming	悲鳴を上げる	anger	0.742
violence	暴力	anger	0.742
horrible	恐ろしい	anger	0.742
molestation	虐待	anger	0.742
bastards	野郎	anger	0.741
revenge	復讐	anger	0.738
catastrophe	災害	anger	0.735
menacing	脅迫する	anger	0.735
demon	悪魔	anger	0.735
crushing	粉砕する	anger	0.735
damn	くそー	anger	0.735
persecute	迫害	anger	0.734
argue	主張する	anger	0.734
flog	鞭打ち	anger	0.734
revolt	反乱	anger	0.734
thrash	スラッシュ	anger	0.734
deplore	嘆かわしい	anger	0.734
warfare	戦争	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	激しい	anger	0.734
riotous	暴動	anger	0.734
altercation	言論	anger	0.729
warlike	好戦的	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	反乱	anger	0.727
castrate	去勢	anger	0.727
sabotage	サボタージュ	anger	0.727
malevolent	悪質な	anger	0.721
strike	ストライク	anger	0.721
disaster	災害	anger	0.721
disastrous	悲惨な	anger	0.720
tumult	騒乱	anger	0.719
madden	狂人	anger	0.719
devil	悪魔	anger	0.719
scream	悲鳴	anger	0.719
brutal	残忍な	anger	0.719
treachery	裏切り	anger	0.719
scorching	焦げる	anger	0.719
vermin	害虫	anger	0.719
arseholes	アースホール	anger	0.719
horseshit	馬鹿	anger	0.719
aggravates	悪化する	anger	0.719
spiteful	気まずい	anger	0.719
slay	殺す	anger	0.719
disdain	軽蔑	anger	0.719
choke	チョーク	anger	0.719
bastarding	野郎	anger	0.719
mangle	マングル	anger	0.714
anarchism	アナキズム	anger	0.714
mutilation	切除	anger	0.714
criminal	犯罪者	anger	0.714
denunciation	放棄	anger	0.713
punch	パンチ	anger	0.713
crucifixion	十字架	anger	0.712
virulence	毒性	anger	0.712
battled	戦った	anger	0.712
fatal	致命的な	anger	0.712
holocaust	ホロコースト	anger	0.712
blasphemous	冒涜的な	anger	0.712
hurting	傷つける	anger	0.712
dumbasses	ダンバセット	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	混乱した	anger	0.706
atrocious	ひどい	anger	0.706
evil	悪の	anger	0.706
irritated	イライラしている	anger	0.706
assassin	暗殺者	anger	0.703
dicks	巨根	anger	0.703
persecution	迫害	anger	0.703
slayer	殺人者	anger	0.703
kidnap	誘拐する	anger	0.703
scolding	叱る	anger	0.703
intimidation	脅迫	anger	0.703
aggravated	悪化した	anger	0.703
aggression	侵略	anger	0.702
armed	武装した	anger	0.700
poison	毒	anger	0.697
snarling	うんざり	anger	0.697
venom	毒	anger	0.697
battle	戦い	anger	0.697
disgruntled	不満	anger	0.693
insidious	陰気な	anger	0.691
assailant	加害者	anger	0.691
resentment	憤慨	anger	0.691
lynch	リンチ	anger	0.690
contemptuous	軽蔑的な	anger	0.690
temper	気性	anger	0.688
imprisonment	投獄	anger	0.688
disparage	卑劣な	anger	0.688
bully	いじめ	anger	0.688
terrible	ひどい	anger	0.688
lunatic	狂人	anger	0.688
curse	呪い	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	かわいい	anger	0.688
domination	支配	anger	0.688
mad	怒っている	anger	0.688
infanticide	幼児期	anger	0.688
volatility	ボラティリティ	anger	0.687
eradication	根絶	anger	0.685
tantrum	おなか	anger	0.682
devastate	荒廃する	anger	0.682
eradicate	根絶する	anger	0.682
scoundrel	悪党	anger	0.682
aggressively	積極的に	anger	0.680
agitation	攪拌	anger	0.680
dictatorship	独裁	anger	0.676
irritates	刺激する	anger	0.676
profanity	冒涜	anger	0.673
egregious	大変な	anger	0.672
expletive	卑猥な	anger	0.672
nasty	不快な	anger	0.672
shove	突っ込む	anger	0.672
shot	ショット	anger	0.672
harmful	有害な	anger	0.672
aggravation	悪化	anger	0.672
contempt	軽蔑	anger	0.672
poisonous	有毒	anger	0.672
dastardly	荒々しく	anger	0.672
shoot	シュート	anger	0.672
corrupting	腐敗する	anger	0.672
condemnation	非難	anger	0.672
wreak	傷つける	anger	0.672
crushed	破砕されました	anger	0.672
cruelly	残酷に	anger	0.672
crime	犯罪	anger	0.672
maniac	マニアック	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	噴火	anger	0.667
odious	不愉快な	anger	0.667
shooting	射撃	anger	0.667
kick	キック	anger	0.667
aggressive	積極的な	anger	0.667
combat	戦闘	anger	0.667
shout	叫ぶ	anger	0.667
hit	ヒット	anger	0.667
fight	戦い	anger	0.667
cutthroat	卑劣な	anger	0.667
enemy	敵	anger	0.667
irritable	過敏な	anger	0.667
punished	処罰された	anger	0.662
ambush	待ち伏せ	anger	0.661
yell	エール	anger	0.661
harass	ハラス	anger	0.659
malignant	悪性	anger	0.656
aggressor	侵略者	anger	0.656
antichrist	赤ちゃん	anger	0.656
gore	ゴア	anger	0.656
incense	香	anger	0.656
expel	追放	anger	0.656
destruction	破壊	anger	0.656
grudge	恨み	anger	0.656
cranky	不気味な	anger	0.653
offended	怒る	anger	0.652
spank	つまむ	anger	0.652
growl	うなり声	anger	0.652
insurrection	暴動	anger	0.652
reprisal	報復	anger	0.652
slave	スレーブ	anger	0.652
denounce	告発する	anger	0.652
animosity	敵意	anger	0.652
insulting	侮辱	anger	0.652
clashing	衝突	anger	0.652
growls	うなり	anger	0.649
executioner	実行者	anger	0.644
twat	つぶす	anger	0.644
doomsday	最悪の日	anger	0.643
daemon	デーモン	anger	0.641
obscenity	猥褻	anger	0.641
bombard	ボンバード	anger	0.641
spat	吐き出す	anger	0.641
havoc	大混乱	anger	0.641
feud	フェッド	anger	0.641
grr	grr	anger	0.641
arson	放火	anger	0.641
reprimand	戒告	anger	0.641
expulsion	追放	anger	0.641
inexcusable	使えない	anger	0.641
accused	告発された	anger	0.641
indignant	憤慨する	anger	0.641
shackle	足かせ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	創傷	anger	0.636
suicidal	自殺	anger	0.636
poisoned	中毒	anger	0.636
batter	バター	anger	0.636
kicking	蹴る	anger	0.636
hanging	吊るす	anger	0.636
spanking	スパンキング	anger	0.636
disgusting	嫌な	anger	0.636
combatant	戦闘員	anger	0.636
frustrated	挫折した	anger	0.636
anarchy	アナーキー	anger	0.636
glaring	目立つ	anger	0.636
inflict	与える	anger	0.633
wrecked	壊れた	anger	0.633
grievous	悲しい	anger	0.632
prosecute	起訴	anger	0.630
agitated	かき混ぜた	anger	0.630
cheat	カンニング	anger	0.630
swastika	卍	anger	0.627
defamatory	名誉毀損	anger	0.625
suffocation	窒息	anger	0.625
strife	闘争	anger	0.625
provocation	挑発	anger	0.625
injure	けがをする	anger	0.625
harassing	嫌がらせ	anger	0.625
scourge	惨めさ	anger	0.625
cursing	呪い	anger	0.625
betray	裏切る	anger	0.625
indict	起訴	anger	0.625
raid	襲撃	anger	0.625
thundering	雷鳴	anger	0.625
enslaved	奴隷にされた	anger	0.625
arsehole	アーチホール	anger	0.624
insane	狂人	anger	0.621
fiend	悪魔	anger	0.621
irritate	刺激する	anger	0.621
convict	罪を犯す	anger	0.621
jerk	ジャーク	anger	0.621
theft	盗難	anger	0.621
retaliation	報復	anger	0.621
deprivation	剥奪	anger	0.621
cussed	落ち込んだ	anger	0.619
turmoil	混乱	anger	0.618
smack	スマック	anger	0.615
retribution	報復	anger	0.614
twats	つぶやく	anger	0.609
intolerable	耐え難い	anger	0.609
rebellion	反乱	anger	0.609
injurious	有害な	anger	0.609
oppressor	抑圧者	anger	0.609
slavery	奴隷	anger	0.609
irritability	過敏症	anger	0.609
collision	衝突	anger	0.609
bitterly	激しく	anger	0.609
gang	ギャング	anger	0.609
antagonism	拮抗	anger	0.609
battery	電池	anger	0.609
adverse	有害な	anger	0.609
disgraced	恥ずべき	anger	0.608
irritating	刺激	anger	0.606
revolution	革命	anger	0.606
thug	刺客	anger	0.606
diatribe	告発する	anger	0.606
bombardment	砲撃	anger	0.606
blast	爆風	anger	0.606
irks	イークス	anger	0.606
sickening	嫌な	anger	0.606
discrimination	差別	anger	0.606
antagonistic	敵対的	anger	0.606
ranting	怒る	anger	0.606
asshole	下衆野郎	anger	0.606
frustrate	挫折	anger	0.604
manipulation	操作	anger	0.603
tension	テンション	anger	0.603
insult	侮辱	anger	0.603
bigot	ぞんざい	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	傷つける	anger	0.603
oppression	抑圧	anger	0.603
disgust	嫌悪	anger	0.602
spite	邪悪	anger	0.600
intrusive	介入する	anger	0.598
harshness	ハーシュネス	anger	0.597
slur	スラー	anger	0.596
wretch	惨めな	anger	0.594
inferno	インフェルノ	anger	0.594
invasion	侵入	anger	0.594
puncture	穿刺	anger	0.594
miserable	悲惨な	anger	0.594
assail	襲撃	anger	0.594
storming	ストーミング	anger	0.594
casualty	犠牲者	anger	0.594
bitterness	苦味	anger	0.594
morbidity	罹患率	anger	0.594
tempest	嵐	anger	0.594
consternation	驚き	anger	0.592
depraved	堕落した	anger	0.591
raving	狂気	anger	0.591
guillotine	ギロチン	anger	0.591
guilty	有罪	anger	0.591
immoral	不道徳な	anger	0.591
forcibly	強制的に	anger	0.591
overpowering	圧倒	anger	0.591
accursed	呪われた	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	反逆者	anger	0.588
invader	インベーダー	anger	0.588
scare	恐怖	anger	0.588
screwed	ねじ込まれた	anger	0.588
indignation	憤慨	anger	0.587
jealousy	嫉妬	anger	0.587
vexed	怒っている	anger	0.586
confront	対峙する	anger	0.582
brute	ブルート	anger	0.581
throttle	スロットル	anger	0.579
wreck	難破	anger	0.578
revolver	リボルバー	anger	0.578
slut	ふしだらな女	anger	0.578
yousuck	最悪だな	anger	0.578
damage	損傷	anger	0.578
butcher	肉屋	anger	0.578
conflict	紛争	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	犯罪	anger	0.578
bickering	喧嘩	anger	0.578
pillage	略奪	anger	0.578
blaze	燃える	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	クーデター	anger	0.578
contentious	争う	anger	0.578
incarceration	投獄	anger	0.578
defiant	反抗的	anger	0.578
provoking	誘発する	anger	0.578
lash	ラッシュ	anger	0.578
cancer	癌	anger	0.577
frustration	欲求不満	anger	0.576
gory	深刻な	anger	0.576
alienation	疎外	anger	0.576
discord	不和	anger	0.576
disturbance	外乱	anger	0.576
grope	酔う	anger	0.576
condescension	軽蔑	anger	0.576
pernicious	悪性	anger	0.576
blasphemy	冒涜	anger	0.576
discriminate	差別する	anger	0.576
chaotic	混沌としました	anger	0.576
gun	銃	anger	0.576
standoff	スタンドオフ	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	卑しい	anger	0.574
lunacy	狂信	anger	0.574
oppressive	抑圧的な	anger	0.574
death	死	anger	0.574
jab	ジャブ	anger	0.574
cursed	呪われた	anger	0.574
scandalous	スキャンダル	anger	0.574
monstrosity	怪物	anger	0.574
shit	たわごと	anger	0.573
disparaging	卑劣な	anger	0.571
slash	スラッシュ	anger	0.571
unfair	不公正	anger	0.571
gallows	教授	anger	0.570
escalate	エスカレート	anger	0.569
intolerant	寛容な	anger	0.564
lawlessness	無法	anger	0.563
bluddy	ブルディ	anger	0.562
perdition	堕落	anger	0.562
taunt	挑発する	anger	0.562
grouchy	グラッシー	anger	0.562
torpedo	魚雷	anger	0.562
deceived	騙された	anger	0.562
slander	中傷	anger	0.562
retards	遅れる	anger	0.562
bearish	弱気な	anger	0.562
invade	侵入する	anger	0.562
bellows	ベローズ	anger	0.562
beast	獣	anger	0.562
frightful	恐ろしい	anger	0.562
derogatory	侮辱的な	anger	0.562
glare	グレア	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	恐ろしい	anger	0.562
traitor	裏切り者	anger	0.562
malign	悪魔	anger	0.562
wrangling	論争	anger	0.562
dissension	不平	anger	0.561
banshee	バンシー	anger	0.561
shatter	粉砕する	anger	0.561
conflagration	火災	anger	0.561
jeopardize	脅かす	anger	0.561
thief	泥棒	anger	0.561
rave	レイブ	anger	0.561
grating	格子	anger	0.561
devastating	壊滅的な	anger	0.561
idiots	馬鹿	anger	0.561
betrayal	裏切り	anger	0.561
uncontrollable	コントロールできない	anger	0.561
fits	フィット	anger	0.561
cross	クロス	anger	0.561
hurt	傷つける	anger	0.561
disturbed	邪魔された	anger	0.559
subjugation	征服	anger	0.559
stomped	踏ん張られた	anger	0.557
grab	つかむ	anger	0.557
ticked	刻まれた	anger	0.556
masochism	マゾヒズム	anger	0.556
grievance	苦情	anger	0.556
defiance	反抗	anger	0.552
blackmail	脅迫	anger	0.550
