word	Javanese-jw	emotion	emotion-intensity-score
outraged	nyerang	anger	0.964
brutality	brutal	anger	0.959
hatred	gething	anger	0.953
hateful	sengit	anger	0.940
terrorize	terorisme	anger	0.939
violently	kasar	anger	0.938
infuriated	infuriated	anger	0.938
furious	nesu banget	anger	0.929
enraged	marah	anger	0.927
furiously	banget	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	tukang mateni	anger	0.922
fury	mungsuh	anger	0.922
execution	eksekusi	anger	0.917
angered	angered	anger	0.916
savagery	savagery	anger	0.915
slaughtering	nyembelih	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	nggoleki	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	mateni	anger	0.912
rage	nesu	anger	0.911
loathe	sengit	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	ngobati	anger	0.906
furor	furor	anger	0.900
hostile	mungsuh	anger	0.898
annihilate	ngrusak	anger	0.898
murder	mateni	anger	0.897
raging	raging	anger	0.896
vengeful	mbelani	anger	0.894
rape	rudo pekso	anger	0.894
ferocious	seneng banget	anger	0.894
pissed	pissed	anger	0.894
obliterated	dibusak	anger	0.894
infuriates	ngguyu	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplosif	anger	0.894
killing	nyababaken	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	dendam	anger	0.886
torment	nyiksa	anger	0.885
wrath	bebendune	anger	0.885
vicious	jahat	anger	0.884
massacre	pembantaian	anger	0.882
threatening	anceman	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	gelut	anger	0.868
annihilated	annihilated	anger	0.865
attacking	nyerang	anger	0.865
angriest	angriest	anger	0.864
bloodshed	nyebabake getih	anger	0.864
smite	nyenyet	anger	0.862
brawl	brawl	anger	0.861
assault	nyerang	anger	0.859
malicious	angkoro	anger	0.859
strangle	nyuwek	anger	0.859
tirade	nyenyet	anger	0.859
explode	njeblug	anger	0.859
assassination	pembunuhan	anger	0.859
hostility	permusuhan	anger	0.859
loathsome	loathsome	anger	0.857
hell	neraka	anger	0.853
murderous	murderous	anger	0.853
attack	anggempur	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorisme	anger	0.851
beating	ngalahake	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	njobo	anger	0.848
stab	stab	anger	0.844
slaughter	nyembeleh	anger	0.844
violent	kasar	anger	0.844
destroying	ngancurake	anger	0.844
abomination	nistha	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	nesu	anger	0.844
obliterate	mungkasi	anger	0.843
belligerent	mungsuh	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
