word	Kannada-kn	emotion	emotion-intensity-score
outraged	ಅಸಮಾಧಾನಗೊಂಡಿದೆ	anger	0.964
brutality	ಕ್ರೂರತೆ	anger	0.959
hatred	ದ್ವೇಷ	anger	0.953
hateful	ದ್ವೇಷ	anger	0.940
terrorize	ಭಯಹುಟ್ಟಿಸು	anger	0.939
violently	ಹಿಂಸಾತ್ಮಕವಾಗಿ	anger	0.938
infuriated	ಕೋಪಗೊಂಡ	anger	0.938
furious	ಉಗ್ರ	anger	0.929
enraged	ಕೆರಳಿಸಿತು	anger	0.927
furiously	ತೀವ್ರವಾಗಿ	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	ಕೊಲೆಗಾರ	anger	0.922
fury	ಕೋಪ	anger	0.922
execution	ಮರಣದಂಡನೆ	anger	0.917
angered	ಕೋಪಗೊಂಡ	anger	0.916
savagery	ದುಷ್ಟತನ	anger	0.915
slaughtering	ಹತ್ಯೆ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	ಫಕ್ಆಫ್	anger	0.912
annihilation	ಶೂನ್ಯೀಕರಣ	anger	0.912
assassinate	ಹತ್ಯೆ	anger	0.912
rage	ಕ್ರೋಧ	anger	0.911
loathe	ಅಸಹ್ಯ	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	ಖಂಡನೆ	anger	0.906
fucktard	ಫಕ್ಟಾರ್ಡ್	anger	0.906
homicidal	ನರಹತ್ಯೆ	anger	0.906
furor	ಆಘಾತ	anger	0.900
hostile	ಪ್ರತಿಕೂಲ	anger	0.898
annihilate	ನಾಶಮಾಡು	anger	0.898
murder	ಕೊಲೆ	anger	0.897
raging	ರೇಜಿಂಗ್	anger	0.896
vengeful	ಪ್ರತೀಕಾರ	anger	0.894
rape	ಅತ್ಯಾಚಾರ	anger	0.894
ferocious	ಉಗ್ರರು	anger	0.894
pissed	ನಿರುತ್ಸಾಹಗೊಂಡಿದೆ	anger	0.894
obliterated	ತೊಡೆದುಹಾಕುವುದು	anger	0.894
infuriates	ಕೋಪೋದ್ರಿಕ್ತರು	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ಸ್ಫೋಟಕ	anger	0.894
killing	ಕೊಲ್ಲುವುದು	anger	0.893
combative	ಹೋರಾಟ	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	ಪ್ರತೀಕಾರ	anger	0.886
torment	ಹಿಂಸೆ	anger	0.885
wrath	ಕ್ರೋಧ	anger	0.885
vicious	ಕೆಟ್ಟ	anger	0.884
massacre	ಹತ್ಯಾಕಾಂಡ	anger	0.882
threatening	ಬೆದರಿಕೆ	anger	0.882
pissoff	ಪಿಸ್ಸಾಫ್	anger	0.875
abhorrent	ಅಸಹ್ಯ	anger	0.875
bloodthirsty	ರಕ್ತಪಿಪಾಸು	anger	0.875
fighting	ಹೋರಾಟ	anger	0.868
annihilated	ನಾಶಪಡಿಸಿತು	anger	0.865
attacking	ದಾಳಿ	anger	0.865
angriest	ಕೋಪ	anger	0.864
bloodshed	ರಕ್ತಪಾತ	anger	0.864
smite	ಹೊಡೆ	anger	0.862
brawl	ಕಾದಾಟ	anger	0.861
assault	ದಾಳಿ	anger	0.859
malicious	ದುರುದ್ದೇಶಪೂರಿತ	anger	0.859
strangle	ಕೊಳೆತ	anger	0.859
tirade	ತಿರಸ್ಕಾರ	anger	0.859
explode	ಸ್ಫೋಟಿಸಿ	anger	0.859
assassination	ಹತ್ಯೆ	anger	0.859
hostility	ಹಗೆತನ	anger	0.859
loathsome	ಅಸಹ್ಯ	anger	0.857
hell	ನರಕ	anger	0.853
murderous	ಕೊಲೆಗಾರ	anger	0.853
attack	ದಾಳಿ	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ಭಯೋತ್ಪಾದನೆ	anger	0.851
beating	ಸೋಲಿಸುವುದು	anger	0.849
desecration	ಅಪವಿತ್ರತೆ	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ಆಕ್ರೋಶ	anger	0.848
stab	ಇರಿತ	anger	0.844
slaughter	ವಧೆ	anger	0.844
violent	ಹಿಂಸಾತ್ಮಕ	anger	0.844
destroying	ನಾಶಪಡಿಸುತ್ತದೆ	anger	0.844
abomination	ಅಬೊಮಿನೇಷನ್	anger	0.844
tumultuous	ಪ್ರಕ್ಷುಬ್ಧ	anger	0.844
irate	ಕೆರಳಿಸು	anger	0.844
infuriate	ಕೋಪೋದ್ರಿಕ್ತರು	anger	0.844
obliterate	ತೊಡೆದುಹಾಕು	anger	0.843
belligerent	ಯುದ್ಧಮಾಡುವಿಕೆ	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ದ್ವೇಷಿಸು	anger	0.838
hostilities	ಯುದ್ಧಗಳು	anger	0.837
prick	ಚುಚ್ಚು	anger	0.835
torture	ಚಿತ್ರಹಿಂಸೆ	anger	0.833
rabid	ಕ್ರೂರ	anger	0.833
horrid	ಘೋರ	anger	0.833
rampage	ಹಾರಾಡು	anger	0.833
cruelty	ಕ್ರೌರ್ಯ	anger	0.833
hate	ದ್ವೇಷ	anger	0.828
demonic	ರಾಕ್ಷಸ	anger	0.828
hating	ದ್ವೇಷಿಸುವುದು	anger	0.828
satanic	ಸೈತಾನ	anger	0.828
tyrannical	ದಬ್ಬಾಳಿಕೆಯ	anger	0.828
ragemode	ರೇಜ್ಮೋಡ್	anger	0.828
despicable	ತುಚ್ಛ	anger	0.828
