word	Kazakh-kk	emotion	emotion-intensity-score
outraged	наразылық білдірді	anger	0.964
brutality	қатыгездік	anger	0.959
hatred	өшпенділік	anger	0.953
hateful	жексұрын	anger	0.940
terrorize	терроризм	anger	0.939
violently	зорлықпен	anger	0.938
infuriated	қызғылықты	anger	0.938
furious	ашуланған	anger	0.929
enraged	ашуланған	anger	0.927
furiously	қызықтырды	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	өлтіруші	anger	0.922
fury	қасірет	anger	0.922
execution	орындау	anger	0.917
angered	ашуланды	anger	0.916
savagery	сұмдық	anger	0.915
slaughtering	сою	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	ұрып-соғу	anger	0.912
annihilation	аннигиляция	anger	0.912
assassinate	өлтіру	anger	0.912
rage	ярость	anger	0.911
loathe	нашар	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	лаңкестік	anger	0.906
fucktard	порты	anger	0.906
homicidal	кісі өлтіру	anger	0.906
furor	фурор	anger	0.900
hostile	дұшпандық	anger	0.898
annihilate	жою	anger	0.898
murder	өлтіру	anger	0.897
raging	қарқынды	anger	0.896
vengeful	қарсылық	anger	0.894
rape	зорлау	anger	0.894
ferocious	түршігерлік	anger	0.894
pissed	жұмсалған	anger	0.894
obliterated	жойылған	anger	0.894
infuriates	қызықтырады	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	жарылғыш зат	anger	0.894
killing	өлтіру	anger	0.893
combative	күресуші	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	кек алу	anger	0.886
torment	азаптау	anger	0.885
wrath	ашу	anger	0.885
vicious	қатал	anger	0.884
massacre	қырғын	anger	0.882
threatening	қауіпті	anger	0.882
pissoff	писсоф	anger	0.875
abhorrent	жексұрын	anger	0.875
bloodthirsty	қантөгісті	anger	0.875
fighting	күрес	anger	0.868
annihilated	жойылған	anger	0.865
attacking	шабуылдау	anger	0.865
angriest	бақытсыздық	anger	0.864
bloodshed	қантөгісті	anger	0.864
smite	соққы	anger	0.862
brawl	жанжал	anger	0.861
assault	шабуыл	anger	0.859
malicious	зиянды	anger	0.859
strangle	шегеді	anger	0.859
tirade	триада	anger	0.859
explode	жарылуы	anger	0.859
assassination	өлтіру	anger	0.859
hostility	қастық	anger	0.859
loathsome	лас	anger	0.857
hell	тозақ	anger	0.853
murderous	өлтіруші	anger	0.853
attack	шабуыл	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	терроризм	anger	0.851
beating	ұрып-соғу	anger	0.849
desecration	құрметтеу	anger	0.848
pissingmeoff	жұмсарту	anger	0.848
outrage	наразылық	anger	0.848
stab	стеб	anger	0.844
slaughter	сою	anger	0.844
violent	зорлық-зомбылық	anger	0.844
destroying	бұзады	anger	0.844
abomination	жындыру	anger	0.844
tumultuous	қасіретін	anger	0.844
irate	қарғыс	anger	0.844
infuriate	қызғылықты	anger	0.844
obliterate	жояды	anger	0.843
belligerent	соғысушы	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	жәбірлеу	anger	0.838
hostilities	қақтығыстар	anger	0.837
prick	таяқша	anger	0.835
torture	азаптау	anger	0.833
rabid	рабид	anger	0.833
horrid	түршігерлік	anger	0.833
rampage	күлімсіреу	anger	0.833
cruelty	қатыгездік	anger	0.833
hate	жек көру	anger	0.828
demonic	жынды	anger	0.828
hating	жек көру	anger	0.828
satanic	шайтан	anger	0.828
tyrannical	зұлымдық	anger	0.828
ragemode	ragemode	anger	0.828
despicable	жалған	anger	0.828
ruinous	қасірет шеккен	anger	0.825
condemn	айыптаймыз	anger	0.825
riots	тәртіпсіздіктер	anger	0.824
