word	Korean-ko	emotion	emotion-intensity-score
outraged	격분한	anger	0.964
brutality	야만성	anger	0.959
hatred	증오	anger	0.953
hateful	증오심이 많은	anger	0.940
terrorize	겁 먹게하다	anger	0.939
violently	맹렬히	anger	0.938
infuriated	격노 한	anger	0.938
furious	맹렬한	anger	0.929
enraged	성나게 하는	anger	0.927
furiously	격렬히	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	살인자	anger	0.922
fury	격노	anger	0.922
execution	실행	anger	0.917
angered	분노한	anger	0.916
savagery	야만 상태	anger	0.915
slaughtering	도살	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	망할 놈	anger	0.912
annihilation	전멸	anger	0.912
assassinate	암살하다	anger	0.912
rage	격노	anger	0.911
loathe	싫어하다	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	저주	anger	0.906
fucktard	망할 놈	anger	0.906
homicidal	살인	anger	0.906
furor	격렬한 감격	anger	0.900
hostile	적의	anger	0.898
annihilate	억누르다	anger	0.898
murder	살인	anger	0.897
raging	성난	anger	0.896
vengeful	복수심에 찬	anger	0.894
rape	강간	anger	0.894
ferocious	사나운	anger	0.894
pissed	성난	anger	0.894
obliterated	말살 된	anger	0.894
infuriates	폭음하다	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	폭발물	anger	0.894
killing	죽이는	anger	0.893
combative	싸우는	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	복수	anger	0.886
torment	고통	anger	0.885
wrath	격노	anger	0.885
vicious	나쁜	anger	0.884
massacre	대학살	anger	0.882
threatening	험악한	anger	0.882
pissoff	화나게	anger	0.875
abhorrent	혐오스러운	anger	0.875
bloodthirsty	피에 굶주린	anger	0.875
fighting	싸움	anger	0.868
annihilated	멸종 된	anger	0.865
attacking	공격의	anger	0.865
angriest	애국자	anger	0.864
bloodshed	유혈	anger	0.864
smite	강타	anger	0.862
brawl	말다툼	anger	0.861
assault	폭행	anger	0.859
malicious	악의 있는	anger	0.859
strangle	목을 졸라 매다	anger	0.859
tirade	장황한 연설	anger	0.859
explode	터지다	anger	0.859
assassination	암살	anger	0.859
hostility	적의	anger	0.859
loathsome	기분 나쁜	anger	0.857
hell	지옥	anger	0.853
murderous	살인적인	anger	0.853
attack	공격	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	테러	anger	0.851
beating	고동	anger	0.849
desecration	신성 모독	anger	0.848
pissingmeoff	짜증나게 군다	anger	0.848
outrage	격분	anger	0.848
stab	찌르다	anger	0.844
slaughter	학살	anger	0.844
violent	격렬한	anger	0.844
destroying	파괴하는	anger	0.844
abomination	질색	anger	0.844
tumultuous	떠들썩한	anger	0.844
irate	침을 뱉다	anger	0.844
infuriate	격분하게하는	anger	0.844
obliterate	말살하다	anger	0.843
belligerent	교전국	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
