word	Kurdish-ku	emotion	emotion-intensity-score
outraged	berbiçav	anger	0.964
brutality	bêwîjdanî	anger	0.959
hatred	nefret	anger	0.953
hateful	nifretane	anger	0.940
terrorize	terorkirin	anger	0.939
violently	binpêkirin	anger	0.938
infuriated	şewitandin	anger	0.938
furious	hêrshat	anger	0.929
enraged	nerazîbûn	anger	0.927
furiously	hêrs	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	kuştin	anger	0.922
fury	hêrs	anger	0.922
execution	birêverbirî	anger	0.917
angered	hêrs	anger	0.916
savagery	dirûşm	anger	0.915
slaughtering	kuştinê	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	dawiyê	anger	0.912
annihilation	qirkirinî	anger	0.912
assassinate	kûştin	anger	0.912
rage	hêrs	anger	0.911
loathe	bimînin	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	windakirinê	anger	0.906
fucktard	paşê	anger	0.906
homicidal	mirovî	anger	0.906
furor	furor	anger	0.900
hostile	neyar	anger	0.898
annihilate	qirkirin	anger	0.898
murder	kûştin	anger	0.897
raging	çerm	anger	0.896
vengeful	vengeful	anger	0.894
rape	bazserdanî	anger	0.894
ferocious	hişk	anger	0.894
pissed	xelet	anger	0.894
obliterated	bête kirin	anger	0.894
infuriates	nehêle	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	teqîn	anger	0.894
killing	kuştin	anger	0.893
combative	hevpeymaniyê	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	heyf	anger	0.886
torment	tade	anger	0.885
wrath	xezebê	anger	0.885
vicious	xerab	anger	0.884
massacre	qirkirin	anger	0.882
threatening	tehdît kirin	anger	0.882
pissoff	hesta hevbeş	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	xwînê	anger	0.875
fighting	şerê	anger	0.868
annihilated	hilweşandin	anger	0.865
attacking	êrîş kirin	anger	0.865
angriest	dijwar	anger	0.864
bloodshed	xwînrêjî	anger	0.864
smite	kişandin	anger	0.862
brawl	brawl	anger	0.861
assault	êriş	anger	0.859
malicious	xerab	anger	0.859
strangle	xeniqandin	anger	0.859
tirade	tirade	anger	0.859
explode	teqîn	anger	0.859
assassination	mêrkûjî	anger	0.859
hostility	neyarî	anger	0.859
loathsome	bêhêz	anger	0.857
hell	cehnem	anger	0.853
murderous	kuştin	anger	0.853
attack	êriş	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorîzm	anger	0.851
beating	lêdan	anger	0.849
desecration	neheq	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	acizî	anger	0.848
stab	têrekirin	anger	0.844
slaughter	serjêkirin	anger	0.844
violent	cebrî	anger	0.844
destroying	tunekirin	anger	0.844
abomination	hilweşandin	anger	0.844
tumultuous	şaş	anger	0.844
irate	nehêle	anger	0.844
infuriate	qeherandin	anger	0.844
obliterate	vebigere	anger	0.843
belligerent	şerxwaz	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	binçavkirin	anger	0.838
hostilities	dijmin	anger	0.837
prick	bikişînin	anger	0.835
torture	îşkence	anger	0.833
rabid	rabid	anger	0.833
horrid	hêrs	anger	0.833
rampage	tengahî	anger	0.833
cruelty	zordariyê	anger	0.833
hate	nifret	anger	0.828
demonic	cinan	anger	0.828
hating	hîna	anger	0.828
satanic	satanîk	anger	0.828
tyrannical	zordar	anger	0.828
ragemode	ragemode	anger	0.828
despicable	neheq	anger	0.828
ruinous	xirab	anger	0.825
condemn	mehkûmkirin	anger	0.825
riots	serhildanan	anger	0.824
demolish	hilweşînin	anger	0.824
angry	hêrsbû	anger	0.824
extermination	qelihandinî	anger	0.824
dickhead	dickhead	anger	0.824
livid	şewitandin	anger	0.821
madman	madman	anger	0.820
vindictive	serhevdekir	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferziyê	anger	0.818
venomous	zehmet	anger	0.818
threaten	çavtirsandin	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorîst	anger	0.818
abhor	abhor	anger	0.816
savage	bejî	anger	0.814
atrocity	zordariyê	anger	0.814
carnage	kûjarî	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	nebaşkaranî	anger	0.812
tyrant	zordariyê	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	rojbûna te kengê ye	anger	0.812
vendetta	vendetta	anger	0.812
fierce	hêrsane	anger	0.812
destroyer	wêrankar	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	bejîtî	anger	0.812
anger	hêrs	anger	0.811
pieceofshit	piçûk	anger	0.810
slam	slam	anger	0.803
fights	şev	anger	0.803
punched	şewitandin	anger	0.803
bitch	dêlik	anger	0.803
punching	xiftanê	anger	0.803
homicide	kûştinî	anger	0.803
destructive	hilweşîn	anger	0.797
ruthless	bêbal	anger	0.797
villainous	xemgîn	anger	0.797
slap	lêxistin	anger	0.791
slaughterhouse	kuştinê	anger	0.788
punishing	cezakirin	anger	0.788
destroyed	rûxandin	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	tevketî	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	qîrîn	anger	0.788
growthefuckup	mezin	anger	0.788
diabolical	dîplomalî	anger	0.788
manslaughter	derba kûştinê	anger	0.783
clash	hevketinî	anger	0.783
bloody	xûnî	anger	0.781
hellish	şaş	anger	0.781
loath	dorpêç	anger	0.781
detonation	teqandin	anger	0.781
quarrel	şer	anger	0.781
sinister	neheq	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	sûcdar	anger	0.779
treacherous	xerîb	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	veguhestin	anger	0.773
revulsion	revulsion	anger	0.773
madder	şîn	anger	0.773
horrific	tirsnak	anger	0.773
scorn	veşartî	anger	0.769
deplorable	xemgîn	anger	0.766
bomb	bimbe	anger	0.766
anarchist	anarchist	anger	0.765
devastation	tunekirin	anger	0.765
resent	başnedîtin	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	riswane	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	hovane	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mirarî	anger	0.758
smash	zorbirin	anger	0.758
rant	rant	anger	0.758
outburst	hilweşandin	anger	0.757
snarl	snarl	anger	0.754
profane	profane	anger	0.750
offend	êşandin	anger	0.750
douchebags	qeleb	anger	0.750
growling	mezinbûnê	anger	0.750
stfu	stfu	anger	0.750
vulgarity	zilamê	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	çepelkirin	anger	0.750
horror	xof	anger	0.750
aggravating	acizker	anger	0.750
revolting	revolting	anger	0.750
fuckedoff	xistin	anger	0.742
threat	tirsavêtinî	anger	0.742
erupt	revîn	anger	0.742
screaming	qîrîn	anger	0.742
violence	cebr	anger	0.742
horrible	xofane	anger	0.742
molestation	şikandin	anger	0.742
bastards	berevanan	anger	0.741
revenge	heyf	anger	0.738
catastrophe	hetik	anger	0.735
menacing	menacing	anger	0.735
demon	xerfît	anger	0.735
crushing	qirêj	anger	0.735
damn	xemgîn	anger	0.735
persecute	şopketin	anger	0.734
argue	şerkirin	anger	0.734
flog	şewitandin	anger	0.734
revolt	rabûn	anger	0.734
thrash	şewitandin	anger	0.734
deplore	derxistin	anger	0.734
warfare	şerê	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	veguhestin	anger	0.734
riotous	hêrs	anger	0.734
altercation	guhertin	anger	0.729
warlike	şer	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	bêdeng	anger	0.727
castrate	xesîn	anger	0.727
sabotage	hilweşîn	anger	0.727
malevolent	neheq	anger	0.721
strike	karberdan	anger	0.721
disaster	filaket	anger	0.721
disastrous	filakten	anger	0.720
tumult	şaş	anger	0.719
madden	madden	anger	0.719
devil	şeytan	anger	0.719
scream	qîrîn	anger	0.719
brutal	wehşîyane	anger	0.719
treachery	betaliyê	anger	0.719
scorching	xemgîn	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	direş	anger	0.719
slay	kuştin	anger	0.719
disdain	neheq	anger	0.719
choke	xeniqandin	anger	0.719
bastarding	bastard	anger	0.719
mangle	xemgîn	anger	0.714
anarchism	anarchist	anger	0.714
mutilation	nerazîbûnê	anger	0.714
criminal	emelxirab	anger	0.714
denunciation	şermezar	anger	0.713
punch	pûç	anger	0.713
crucifixion	xaçkirinê	anger	0.712
virulence	nexweşî	anger	0.712
battled	şer kirin	anger	0.712
fatal	kûşte	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	neheq	anger	0.712
hurting	xemgîniyê	anger	0.712
dumbasses	dûr	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	dereng kirin	anger	0.706
atrocious	dijwar	anger	0.706
evil	nebaş	anger	0.706
irritated	xistin	anger	0.706
assassin	mêrkûj	anger	0.703
dicks	dicks	anger	0.703
persecution	şopketinî	anger	0.703
slayer	slayer	anger	0.703
kidnap	revandin	anger	0.703
scolding	ditirsin	anger	0.703
intimidation	tirsavêtinî	anger	0.703
aggravated	bêhtir	anger	0.703
aggression	êrişbazî	anger	0.702
armed	çekkirî	anger	0.700
poison	axû	anger	0.697
snarling	şaş	anger	0.697
venom	venom	anger	0.697
battle	şer	anger	0.697
disgruntled	bêhtir	anger	0.693
insidious	bêhêz	anger	0.691
assailant	xerîb	anger	0.691
resentment	sergêjanî	anger	0.691
lynch	lynch	anger	0.690
contemptuous	nefret	anger	0.690
temper	bitrî	anger	0.688
imprisonment	ceza sicnê	anger	0.688
disparage	nakokî	anger	0.688
bully	zordariyê	anger	0.688
terrible	tirsgiran	anger	0.688
lunatic	lunatic	anger	0.688
curse	nifir	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	hilweşandin	anger	0.688
domination	serdestiyê	anger	0.688
mad	bêbawer	anger	0.688
infanticide	zarok	anger	0.688
volatility	bêhtir	anger	0.687
eradication	hilweşandin	anger	0.685
tantrum	tantrum	anger	0.682
devastate	xopankirin	anger	0.682
eradicate	hilweşînin	anger	0.682
scoundrel	xemgîn	anger	0.682
aggressively	dijwar	anger	0.680
agitation	agitation	anger	0.680
dictatorship	dîktatorî	anger	0.676
irritates	xemgîn	anger	0.676
profanity	dilsoz	anger	0.673
egregious	berbiçav	anger	0.672
expletive	berbiçav	anger	0.672
nasty	bed	anger	0.672
shove	dafdan	anger	0.672
shot	gûlle	anger	0.672
harmful	zirarane	anger	0.672
aggravation	xirabbûyî	anger	0.672
contempt	riswa	anger	0.672
poisonous	jarî	anger	0.672
dastardly	xemgîn	anger	0.672
shoot	gûleberdan	anger	0.672
corrupting	berbiçav	anger	0.672
condemnation	cezadanî	anger	0.672
wreak	wreak	anger	0.672
crushed	qirêj	anger	0.672
cruelly	zordariyê	anger	0.672
crime	nebaşî	anger	0.672
maniac	manîac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	jêrevî	anger	0.667
odious	xemgîn	anger	0.667
shooting	teqîn	anger	0.667
kick	peîn	anger	0.667
aggressive	êrşişbaz	anger	0.667
combat	şer	anger	0.667
shout	qîrîn	anger	0.667
hit	lêxistin	anger	0.667
fight	şer	anger	0.667
cutthroat	dirûşm	anger	0.667
enemy	dijmin	anger	0.667
irritable	hêcber	anger	0.667
punished	cezakirin	anger	0.662
ambush	paşî	anger	0.661
yell	qîrîn	anger	0.661
harass	nerehetkirin	anger	0.659
malignant	dilnexwaz	anger	0.656
aggressor	êrişkir	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	dixana bînxweş	anger	0.656
expel	qewitandin	anger	0.656
destruction	wêrankirin	anger	0.656
grudge	hişk	anger	0.656
cranky	cranky	anger	0.653
offended	xeyîd	anger	0.652
spank	spank	anger	0.652
growl	qûrqûrkirin	anger	0.652
insurrection	serhildanê	anger	0.652
reprisal	heyf	anger	0.652
slave	xûlam	anger	0.652
denounce	îxbarkirin	anger	0.652
animosity	dijminatî	anger	0.652
insulting	kêmkir	anger	0.652
clashing	pevçûn	anger	0.652
growls	mezin	anger	0.649
executioner	darizandin	anger	0.644
twat	qalikê	anger	0.644
doomsday	rojan	anger	0.643
daemon	daemon	anger	0.641
obscenity	xerabî	anger	0.641
bombard	bombebaran	anger	0.641
spat	spat	anger	0.641
havoc	wêrankirinî	anger	0.641
feud	şer	anger	0.641
grr	grr	anger	0.641
arson	agirpêxistinî	anger	0.641
reprimand	lome	anger	0.641
expulsion	derxistin	anger	0.641
inexcusable	neheq	anger	0.641
accused	gilîdar	anger	0.641
indignant	neheq	anger	0.641
shackle	şaş	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	kûl	anger	0.636
suicidal	xwekujî	anger	0.636
poisoned	jehrê	anger	0.636
batter	batter	anger	0.636
kicking	kişandin	anger	0.636
hanging	darizandin	anger	0.636
spanking	spanking	anger	0.636
disgusting	girêze	anger	0.636
combatant	şervanê	anger	0.636
frustrated	xemgîn	anger	0.636
anarchy	anarşî	anger	0.636
glaring	şaş	anger	0.636
inflict	lêzêdekirin	anger	0.633
wrecked	hilweşandin	anger	0.633
grievous	zehmet	anger	0.632
prosecute	şopajotin	anger	0.630
agitated	veguherandin	anger	0.630
cheat	xapandin	anger	0.630
swastika	swastika	anger	0.627
defamatory	betalkirinê	anger	0.625
suffocation	fetis	anger	0.625
strife	tengahiyê	anger	0.625
provocation	provêkirinê	anger	0.625
injure	birînkirin	anger	0.625
harassing	tengahiyê	anger	0.625
scourge	xemgîniyê	anger	0.625
cursing	cursing	anger	0.625
betray	xîyanetkirin	anger	0.625
indict	gilîkirin	anger	0.625
raid	êriş	anger	0.625
thundering	qirêj	anger	0.625
enslaved	dagirker	anger	0.625
arsehole	arsehole	anger	0.624
insane	rûhnexweş	anger	0.621
fiend	berbiçav	anger	0.621
irritate	şeqitandin	anger	0.621
convict	girtîya sucdar	anger	0.621
jerk	jerk	anger	0.621
theft	dizîn	anger	0.621
retaliation	heyf	anger	0.621
deprivation	betalbûnê	anger	0.621
cussed	cûda	anger	0.619
turmoil	serrakirinî	anger	0.618
smack	smack	anger	0.615
retribution	heyf	anger	0.614
twats	tûşî	anger	0.609
intolerable	nakêş	anger	0.609
rebellion	şoreş	anger	0.609
injurious	tund	anger	0.609
oppressor	zordar	anger	0.609
slavery	xulamî	anger	0.609
irritability	xemgîniyê	anger	0.609
collision	bingûhhevketinî	anger	0.609
bitterly	hêrs	anger	0.609
gang	pêxwas	anger	0.609
antagonism	dijminatî	anger	0.609
