word	Lao-lo	emotion	emotion-intensity-score
outraged	outraged	anger	0.964
brutality	brutality	anger	0.959
hatred	ຄວາມກຽດຊັງ	anger	0.953
hateful	hateful	anger	0.940
terrorize	terrorize	anger	0.939
violently	ຢ່າງຮຸນແຮງ	anger	0.938
infuriated	ໃຈຮ້າຍ	anger	0.938
furious	furious	anger	0.929
enraged	ຂີ້ຮ້າຍ	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	murderer	anger	0.922
fury	fury	anger	0.922
execution	ການປະຕິບັດ	anger	0.917
angered	ໃຈຮ້າຍ	anger	0.916
savagery	savagery	anger	0.915
slaughtering	ການຂ້າສັດ	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	ການທໍາລາຍ	anger	0.912
assassinate	ລອບສັງຫານ	anger	0.912
rage	rage	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	hostile	anger	0.898
annihilate	annihilate	anger	0.898
murder	murder	anger	0.897
raging	raging	anger	0.896
vengeful	vengeful	anger	0.894
rape	ການຂົ່ມຂືນ	anger	0.894
ferocious	ຮ້າຍແຮງ	anger	0.894
pissed	pissed	anger	0.894
obliterated	ລົບກວນ	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	ລະເບີດ	anger	0.894
killing	ຂ້າຕາຍ	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	ການແກ້ແຄ້ນ	anger	0.886
torment	ການທໍລະມານ	anger	0.885
wrath	wrath	anger	0.885
vicious	ໂຫດຮ້າຍ	anger	0.884
massacre	massacre	anger	0.882
threatening	ໄພຂົ່ມຂູ່	anger	0.882
pissoff	ໃຈ​ຮ້າຍ	anger	0.875
abhorrent	ຫນ້າກຽດຊັງ	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	ສູ້ກັນ	anger	0.868
annihilated	annihilated	anger	0.865
attacking	attacking	anger	0.865
angriest	angriest	anger	0.864
bloodshed	bloodshed	anger	0.864
smite	smite	anger	0.862
brawl	brawl	anger	0.861
assault	ການໂຈມຕີ	anger	0.859
malicious	ອັນຕະລາຍ	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	explode	anger	0.859
assassination	ການລອບສັງຫານ	anger	0.859
hostility	hostility	anger	0.859
loathsome	ຂີ້ກຽດ	anger	0.857
hell	hell	anger	0.853
murderous	murderous	anger	0.853
attack	ການໂຈມຕີ	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorism	anger	0.851
beating	ຕີ	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	outrage	anger	0.848
stab	stab	anger	0.844
slaughter	ການຂ້າສັດ	anger	0.844
violent	ຮຸນແຮງ	anger	0.844
destroying	ທໍາລາຍ	anger	0.844
abomination	ຄວາມຫນ້າກຽດຊັງ	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	ລົບກວນ	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	hostilities	anger	0.837
prick	prick	anger	0.835
torture	ການທໍລະມານ	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	cruelty	anger	0.833
hate	hate	anger	0.828
demonic	demonic	anger	0.828
hating	ກຽດຊັງ	anger	0.828
satanic	ຊາຕານ	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	ຫນ້າກຽດຊັງ	anger	0.828
ruinous	ruinous	anger	0.825
condemn	condemn	anger	0.825
riots	ການກະບົດ	anger	0.824
demolish	ທໍາລາຍ	anger	0.824
angry	ໃຈຮ້າຍ	anger	0.824
extermination	extermination	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ຄວາມລົ້ມເຫຼວ	anger	0.818
venomous	venomous	anger	0.818
threaten	ໄພຄຸກຄາມ	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	ຂີ້ລັກ	anger	0.816
savage	savage	anger	0.814
atrocity	ຮ້າຍແຮງ	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ການຂົ່ມເຫັງ	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ຮ້າຍແຮງ	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	ຄວາມໃຈຮ້າຍ	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	ສູ້ກັນ	anger	0.803
punched	punched	anger	0.803
bitch	bitch	anger	0.803
punching	punching	anger	0.803
homicide	homicide	anger	0.803
destructive	destructive	anger	0.797
ruthless	ruthless	anger	0.797
villainous	villainous	anger	0.797
slap	slap	anger	0.791
slaughterhouse	slaughterhouse	anger	0.788
punishing	ການລົງໂທດ	anger	0.788
destroyed	ຖືກທໍາລາຍ	anger	0.788
retaliatory	ການແກ້ແຄ້ນ	anger	0.788
riot	ການກະບົດ	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ຮ້ອງໄຫ້	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	ການລ່ວງລະເມີດ	anger	0.783
clash	ການຕໍ່ສູ້	anger	0.783
bloody	ເລືອດ	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	ການລະເບີດ	anger	0.781
quarrel	quarrel	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ການກ່າວຫາ	anger	0.779
treacherous	treacherous	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ຕອບໂຕ້	anger	0.773
revulsion	revulsion	anger	0.773
madder	madder	anger	0.773
horrific	horrific	anger	0.773
scorn	scorn	anger	0.769
deplorable	deplorable	anger	0.766
bomb	ລູກລະເບີດ	anger	0.766
anarchist	anarchist	anger	0.765
devastation	devastation	anger	0.765
resent	resent	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	ເບິ່ງບໍ່ເຫັນ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ໂຫດຮ້າຍ	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ຕາຍ	anger	0.758
smash	ເກມຕີໃຫ້ແຕກ	anger	0.758
rant	rant	anger	0.758
outburst	outburst	anger	0.757
snarl	snarl	anger	0.754
profane	ຂີ້ກຽດ	anger	0.750
offend	ກະເຮັດຜິດ	anger	0.750
douchebags	douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	despise	anger	0.750
horror	horror	anger	0.750
aggravating	ເພີ່ມເຕີມ	anger	0.750
revolting	ປະທ້ວງ	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ໄພຂົ່ມຂູ່ຕໍ່	anger	0.742
erupt	erupt	anger	0.742
screaming	screaming	anger	0.742
violence	ຄວາມຮຸນແຮງ	anger	0.742
horrible	horrible	anger	0.742
molestation	ການຂົ່ມເຫັງ	anger	0.742
bastards	bastards	anger	0.741
revenge	revenge	anger	0.738
catastrophe	catastrophe	anger	0.735
menacing	menacing	anger	0.735
demon	demon	anger	0.735
crushing	ລົບກວນ	anger	0.735
damn	damn	anger	0.735
persecute	persecute	anger	0.734
argue	ການໂຕ້ຖຽງ	anger	0.734
flog	flog	anger	0.734
revolt	revolt	anger	0.734
thrash	thrash	anger	0.734
deplore	ຂີ້ກຽດ	anger	0.734
warfare	ສົງຄາມ	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	ກັງວົນ	anger	0.734
altercation	altercation	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	malevolent	anger	0.721
strike	ປະທ້ວງ	anger	0.721
disaster	ໄພພິບັດ	anger	0.721
disastrous	ຮ້າຍແຮງ	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	devil	anger	0.719
scream	scream	anger	0.719
brutal	brutal	anger	0.719
treachery	ການລ່ວງລະເມີດ	anger	0.719
scorching	ກະເທີຍ	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	ເພີ່ມເຕີມ	anger	0.719
spiteful	ເປັນຕາຢ້ານ	anger	0.719
slay	slay	anger	0.719
disdain	disdain	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	mutilation	anger	0.714
criminal	ຄະດີອາຍາ	anger	0.714
denunciation	ການລົງໂທດ	anger	0.713
punch	punch	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	virulence	anger	0.712
battled	ສູ້ຮົບ	anger	0.712
fatal	fatal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	ຂົ່ມເຫັງ	anger	0.712
hurting	ເຈັບປວດ	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	evil	anger	0.706
irritated	ລະຄາຍເຄືອງ	anger	0.706
assassin	ນັກ​ຂ້າ	anger	0.703
dicks	dicks	anger	0.703
persecution	ການຂົ່ມເຫັງ	anger	0.703
slayer	slayer	anger	0.703
kidnap	kidnap	anger	0.703
scolding	scolding	anger	0.703
intimidation	ການຂົ່ມຂູ່	anger	0.703
aggravated	aggravated	anger	0.703
aggression	ການຮຸກຮານ	anger	0.702
armed	ປະກອບອາວຸດ	anger	0.700
poison	ພິດ	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	ຮົບ	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidious	anger	0.691
assailant	assailant	anger	0.691
resentment	ຄວາມອຸກໃຈ	anger	0.691
lynch	lynch	anger	0.690
contemptuous	ຂີ້ກຽດ	anger	0.690
temper	ອົດທົນ	anger	0.688
imprisonment	ການຈໍາຄຸກ	anger	0.688
disparage	disparage	anger	0.688
bully	ຂົ່ມຂູ່	anger	0.688
terrible	ຂີ້ຮ້າຍ	anger	0.688
lunatic	lunatic	anger	0.688
curse	ສາບແຊ່ງ	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	ການເດັ່ນ	anger	0.688
mad	mad	anger	0.688
infanticide	infanticide	anger	0.688
volatility	volatility	anger	0.687
eradication	eradication	anger	0.685
tantrum	tantrum	anger	0.682
devastate	devastate	anger	0.682
eradicate	ລົບລ້າງ	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	ຢ່າງຮຸນແຮງ	anger	0.680
agitation	agitation	anger	0.680
dictatorship	dictatorship	anger	0.676
irritates	irritates	anger	0.676
profanity	profanity	anger	0.673
egregious	ຢ່າງຮຸນແຮງ	anger	0.672
expletive	expletive	anger	0.672
nasty	nasty	anger	0.672
shove	shove	anger	0.672
shot	ຍິງເປົ້າ	anger	0.672
harmful	ເປັນອັນຕະລາຍ	anger	0.672
aggravation	aggravation	anger	0.672
contempt	contempt	anger	0.672
poisonous	poisonous	anger	0.672
dastardly	dastardly	anger	0.672
shoot	ຫນໍ່ໄມ້ສ່ວນຫຼາຍ	anger	0.672
corrupting	ເສຍຫາຍ	anger	0.672
condemnation	condemnation	anger	0.672
wreak	wreak	anger	0.672
crushed	ຂັດຂວາງ	anger	0.672
cruelly	ອັນຕະລາຍ	anger	0.672
crime	ອາຊະຍາກໍາ	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	eruption	anger	0.667
odious	odious	anger	0.667
shooting	ຍິງ	anger	0.667
kick	ເຕະ	anger	0.667
aggressive	ຮຸກຮານ	anger	0.667
combat	ການຕໍ່ສູ້	anger	0.667
shout	shout	anger	0.667
hit	ຕີ	anger	0.667
fight	ຕໍ່​ສູ້	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	enemy	anger	0.667
irritable	ອຸກອັ່ງ	anger	0.667
punished	ຖືກລົງໂທດ	anger	0.662
ambush	ambush	anger	0.661
yell	ຮ້ອງໄຫ້	anger	0.661
harass	ລົບກວນ	anger	0.659
malignant	ຮ້າຍແຮງ	anger	0.656
aggressor	ຜູ້ຮຸກຮານ	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	ທູບ	anger	0.656
expel	expel	anger	0.656
destruction	ການທໍາລາຍ	anger	0.656
grudge	ຄວາມຂົມຂື່ນ	anger	0.656
cranky	cranky	anger	0.653
offended	ກະທໍາຜິດ	anger	0.652
spank	spank	anger	0.652
growl	growl	anger	0.652
insurrection	insurrection	anger	0.652
reprisal	reprisal	anger	0.652
slave	ຂ້າທາດ	anger	0.652
denounce	ປະຕິເສດ	anger	0.652
animosity	ຄວາມກຽດຊັງ	anger	0.652
insulting	insulting	anger	0.652
clashing	clashing	anger	0.652
growls	growls	anger	0.649
executioner	executioner	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenity	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	ການເຜົາໄຫມ້	anger	0.641
reprimand	reprimand	anger	0.641
expulsion	expulsion	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	ຖືກກ່າວຫາ	anger	0.641
indignant	indignant	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ບາດແຜ	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	poisoned	anger	0.636
batter	batter	anger	0.636
kicking	ການເຕະບານ	anger	0.636
hanging	ຫ້ອຍ	anger	0.636
spanking	spanking	anger	0.636
disgusting	ຫນ້າກຽດຊັງ	anger	0.636
combatant	combatant	anger	0.636
frustrated	ຫນ້າເສຍໃຈ	anger	0.636
anarchy	anarchy	anger	0.636
glaring	glaring	anger	0.636
inflict	inflict	anger	0.633
wrecked	wrecked	anger	0.633
grievous	grievous	anger	0.632
prosecute	ດໍາເນີນຄະດີ	anger	0.630
agitated	agitated	anger	0.630
cheat	cheat	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	suffocation	anger	0.625
strife	strife	anger	0.625
provocation	provocation	anger	0.625
injure	ບາດເຈັບ	anger	0.625
harassing	harassing	anger	0.625
scourge	scourge	anger	0.625
cursing	cursing	anger	0.625
betray	betray	anger	0.625
indict	indict	anger	0.625
raid	raid	anger	0.625
thundering	thundering	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	arsehole	anger	0.624
insane	insane	anger	0.621
fiend	ຈິນຕະນາການ	anger	0.621
irritate	irritate	anger	0.621
convict	convict	anger	0.621
jerk	jerk	anger	0.621
theft	ການລ່ວງລະເມີດ	anger	0.621
retaliation	ການແກ້ແຄ້ນ	anger	0.621
deprivation	ການຂາດແຄນ	anger	0.621
cussed	cussed	anger	0.619
turmoil	turmoil	anger	0.618
smack	smack	anger	0.615
retribution	ການແກ້ແຄ້ນ	anger	0.614
twats	twats	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	rebellion	anger	0.609
injurious	ອັນຕະລາຍ	anger	0.609
oppressor	oppressor	anger	0.609
slavery	ຂ້າທາດ	anger	0.609
irritability	irritability	anger	0.609
collision	collision	anger	0.609
bitterly	ຂົມຂື່ນ	anger	0.609
gang	gang	anger	0.609
antagonism	antagonism	anger	0.609
battery	ຫມໍ້ໄຟ	anger	0.609
adverse	ເປັນທາງລົບ	anger	0.609
disgraced	ຂັດຂວາງ	anger	0.608
irritating	irritating	anger	0.606
revolution	ການປະຕິວັດ	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	blast	anger	0.606
irks	irks	anger	0.606
sickening	ການເຈັບປ່ວຍ	anger	0.606
discrimination	ການຈໍາແນກ	anger	0.606
antagonistic	antagonistic	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrate	anger	0.604
manipulation	ການຫມູນໃຊ້	anger	0.603
tension	ຄວາມເຄັ່ງຕຶງ	anger	0.603
insult	insult	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	hurtful	anger	0.603
oppression	oppression	anger	0.603
disgust	ເຮັດໃຫ້ກຽດຊັງ	anger	0.602
spite	ເຖິງວ່າຈະມີ	anger	0.600
intrusive	intrusive	anger	0.598
harshness	ຄວາມຍາກລໍາບາກ	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	ການບຸກລຸກ	anger	0.594
puncture	puncture	anger	0.594
miserable	ຄວາມທຸກທໍລະມານ	anger	0.594
assail	assail	anger	0.594
storming	storming	anger	0.594
casualty	casualty	anger	0.594
bitterness	ຄວາມຂົມຂື່ນ	anger	0.594
morbidity	ຄວາມເຈັບປ່ວຍ	anger	0.594
tempest	tempest	anger	0.594
consternation	consternation	anger	0.592
depraved	depraved	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	ມີຄວາມຜິດ	anger	0.591
immoral	immoral	anger	0.591
forcibly	ບັງຄັບໃຫ້	anger	0.591
overpowering	overpowering	anger	0.591
accursed	ຖືກກຽດຊັງ	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	invader	anger	0.588
scare	ຢ້ານ	anger	0.588
screwed	screwed	anger	0.588
indignation	indignation	anger	0.587
jealousy	jealousy	anger	0.587
vexed	vexed	anger	0.586
confront	confront	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	wreck	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	ເຈົ້າ​ຫ່ວຍ	anger	0.578
damage	ຄວາມເສຍຫາຍ	anger	0.578
butcher	butcher	anger	0.578
conflict	ການຂັດແຍ້ງ	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ຄະດີອາຍາ	anger	0.578
bickering	bickering	anger	0.578
pillage	ການລ່ວງລະເມີດ	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	ຮ້າຍແຮງ	anger	0.578
incarceration	ການຄຸມຂັງ	anger	0.578
defiant	defiant	anger	0.578
provoking	provoking	anger	0.578
lash	lash	anger	0.578
cancer	ມະເລັງ	anger	0.577
frustration	ຄວາມອຸກອັ່ງໃຈ	anger	0.576
gory	gory	anger	0.576
alienation	alienation	anger	0.576
discord	discord	anger	0.576
disturbance	ການລົບກວນ	anger	0.576
grope	grope	anger	0.576
condescension	condescension	anger	0.576
pernicious	ອັນຕະລາຍ	anger	0.576
blasphemy	blasphemy	anger	0.576
discriminate	ການຈໍາແນກ	anger	0.576
