word	Latin-la	emotion	emotion-intensity-score
outraged	dehonestatur nouae	anger	0.964
brutality	saevitia,	anger	0.959
hatred	odium	anger	0.953
hateful	detestabilis	anger	0.940
terrorize	terrendosque metu,	anger	0.939
violently	vim inferentes	anger	0.938
infuriated	iratus est	anger	0.938
furious	furore,	anger	0.929
enraged	iratus est	anger	0.927
furiously	accincta	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	homicidam donari	anger	0.922
fury	furore	anger	0.922
execution	supplicium	anger	0.917
angered	ad iracundiam provocares	anger	0.916
savagery	immanitas	anger	0.915
slaughtering	caedes	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	aliguis inpenem	anger	0.912
annihilation	caenum platearum	anger	0.912
assassinate	volueruntque insurgere	anger	0.912
rage	ira	anger	0.911
loathe	nauseae habent	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnatio	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidam	anger	0.906
furor	furorem	anger	0.900
hostile	adversum	anger	0.898
annihilate	in nihilum redigere	anger	0.898
murder	occidendum	anger	0.897
raging	Cum fureres	anger	0.896
vengeful	multantes vindice	anger	0.894
rape	stuprum	anger	0.894
ferocious	feroces	anger	0.894
pissed	irata	anger	0.894
obliterated	obliterata	anger	0.894
infuriates	furit	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosive	anger	0.894
killing	occisio	anger	0.893
combative	pugnax	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	vindicta	anger	0.886
torment	tormentum	anger	0.885
wrath	ira	anger	0.885
vicious	vitiosus	anger	0.884
massacre	caedem	anger	0.882
threatening	comminationem	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	in vexationem adflictionemque	anger	0.875
bloodthirsty	viri sanguinum	anger	0.875
fighting	pugnatum	anger	0.868
annihilated	exstinguere;	anger	0.865
attacking	impetum	anger	0.865
angriest	simam recipit	anger	0.864
bloodshed	caedes	anger	0.864
smite	percutiat	anger	0.862
brawl	militesque regales	anger	0.861
assault	impetum	anger	0.859
malicious	malicious	anger	0.859
strangle	virgines strangulari,	anger	0.859
tirade	ELOGIUM	anger	0.859
explode	praemium	anger	0.859
assassination	perpetrata caede pergere	anger	0.859
hostility	figet tabernacula	anger	0.859
loathsome	nunc prae angustia	anger	0.857
hell	infernum	anger	0.853
murderous	caedes	anger	0.853
attack	impetus	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorism	anger	0.851
beating	percutere Paulum	anger	0.849
desecration	polluerent eam	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	flagitium	anger	0.848
stab	confodere	anger	0.844
slaughter	caedes	anger	0.844
violent	vehementi	anger	0.844
destroying	exitio	anger	0.844
abomination	abominationem facientem	anger	0.844
tumultuous	cum tumultu	anger	0.844
irate	irati	anger	0.844
infuriate	ambire furentem audeat	anger	0.844
obliterate	delendis rit conferatur	anger	0.843
belligerent	more ageret	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	eaque detestor	anger	0.838
hostilities	statim belli,	anger	0.837
prick	idest	anger	0.835
torture	cruciatu	anger	0.833
rabid	rabido	anger	0.833
horrid	horribile dictu	anger	0.833
rampage	aliumque	anger	0.833
cruelty	cruelty	anger	0.833
hate	odium	anger	0.828
demonic	daemonibus inita	anger	0.828
hating	odium	anger	0.828
satanic	incúrsio	anger	0.828
tyrannical	dominationis tyrannicae spoliatio	anger	0.828
ragemode	ragemode	anger	0.828
despicable	, acque reprobandum	anger	0.828
ruinous	in ruina	anger	0.825
condemn	damnant	anger	0.825
riots	seditiones	anger	0.824
demolish	destruam	anger	0.824
angry	Iratus	anger	0.824
extermination	exterminium	anger	0.824
dickhead	dickhead	anger	0.824
livid	caeruleosque implexae	anger	0.821
madman	demens,	anger	0.820
vindictive	vindicativa	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocitas	anger	0.818
venomous	talia audeant facere	anger	0.818
threaten	remittentes minas	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terroristis	anger	0.818
abhor	abhorrent,	anger	0.816
savage	fero	anger	0.814
atrocity	flagitium	anger	0.814
carnage	caedes	anger	0.814
berserk	saeva	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abuse	anger	0.812
tyrant	tyrannus	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	LXXIV	anger	0.812
fierce	ferox	anger	0.812
destroyer	praedo	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumantem	anger	0.812
barbaric	barbara	anger	0.812
anger	furorem	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	pugnat	anger	0.803
punched	impugnamur	anger	0.803
bitch	bitch	anger	0.803
punching	placebat ei pulsare	anger	0.803
homicide	caedis	anger	0.803
destructive	perniciosius	anger	0.797
ruthless	torrente propaginem fortium	anger	0.797
villainous	scelesto	anger	0.797
slap	palmis caedebat	anger	0.791
slaughterhouse	MACELLUM	anger	0.788
punishing	reddens iniquitatem	anger	0.788
destroyed	destrui	anger	0.788
retaliatory	retribuebat,	anger	0.788
riot	luxuria	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	vociferantibus	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolicum	anger	0.788
manslaughter	homicidium profugus	anger	0.783
clash	armorum sonitum	anger	0.783
bloody	cruento	anger	0.781
hellish	infernales	anger	0.781
loath	tenuisque piget	anger	0.781
detonation	detonation	anger	0.781
quarrel	iurgium	anger	0.781
sinister	deum placamentis decedebat	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	accusantium	anger	0.779
treacherous	prævaricatrix	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	cum indulgentiam praemisisset;	anger	0.773
revulsion	noua uocato senatu	anger	0.773
madder	ilia fremens	anger	0.773
horrific	seipsa horribilia	anger	0.773
scorn	sibilum	anger	0.769
deplorable	miserabilis prorsus infirmitas	anger	0.766
bomb	bomb	anger	0.766
anarchist	CIVIS SEDITIOSUS ET TURBULENTUS	anger	0.765
devastation	devastatio	anger	0.765
resent	offenditur	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	despecta est	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	saeva	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortiferum	anger	0.758
smash	Frangit	anger	0.758
rant	rant	anger	0.758
outburst	iracundia	anger	0.757
snarl	mordicus arripere	anger	0.754
profane	profana	anger	0.750
offend	offendimus	anger	0.750
douchebags	douchebags	anger	0.750
growling	comminus	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	hunc amens gerit	anger	0.750
despise	dominationemque contemnunt	anger	0.750
horror	horror	anger	0.750
aggravating	aggravantes,	anger	0.750
revolting	talibusque indecentibus	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	periculum	anger	0.742
erupt	erupt	anger	0.742
screaming	murmurationis	anger	0.742
violence	violentiam	anger	0.742
horrible	horribilis	anger	0.742
molestation	otium	anger	0.742
bastards	nothi	anger	0.741
revenge	vindicta	anger	0.738
catastrophe	malum	anger	0.735
menacing	terret minantes	anger	0.735
demon	daemonium	anger	0.735
crushing	tritura areae	anger	0.735
damn	damnare	anger	0.735
persecute	persequeris	anger	0.734
argue	arguere	anger	0.734
flog	flagellabunt	anger	0.734
revolt	tumultuari	anger	0.734
thrash	serrantia triturabis	anger	0.734
deplore	deplorare,	anger	0.734
warfare	bellica	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehementem	anger	0.734
riotous	luxuriose	anger	0.734
altercation	disceptatione irritarentur	anger	0.729
warlike	bellicus	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	seditionem coeptabat	anger	0.727
castrate	CASTRO	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	status malus	anger	0.721
strike	percutiens	anger	0.721
disaster	clade	anger	0.721
disastrous	exitiosius	anger	0.720
tumult	grandis interitu	anger	0.719
madden	madden	anger	0.719
devil	diabolus	anger	0.719
scream	Clamo	anger	0.719
brutal	feris	anger	0.719
treachery	perfidiae	anger	0.719
scorching	flagrantissimo	anger	0.719
vermin	vermes	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	auget;	anger	0.719
spiteful	perverse	anger	0.719
slay	ne occidas,	anger	0.719
disdain	in fastu negas	anger	0.719
choke	suffocant	anger	0.719
bastarding	bastarding	anger	0.719
mangle	colluvione prognati	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	truncatione	anger	0.714
criminal	criminalis	anger	0.714
