word	Latvian-lv	emotion	emotion-intensity-score
outraged	sašutums	anger	0.964
brutality	brutalitāte	anger	0.959
hatred	naids	anger	0.953
hateful	naids	anger	0.940
terrorize	terorizēt	anger	0.939
violently	vardarbīgi	anger	0.938
infuriated	sajukums	anger	0.938
furious	niknās	anger	0.929
enraged	sašutums	anger	0.927
furiously	nikni	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	slepkava	anger	0.922
fury	dusmas	anger	0.922
execution	izpilde	anger	0.917
angered	dusmīgs	anger	0.916
savagery	savādība	anger	0.915
slaughtering	kaušana	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fukkofs	anger	0.912
annihilation	iznīcināšana	anger	0.912
assassinate	nogalināt	anger	0.912
rage	dusmas	anger	0.911
loathe	nelaimīgs	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	nolādēšana	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	slepkavība	anger	0.906
furor	furors	anger	0.900
hostile	naidīgs	anger	0.898
annihilate	iznīcināt	anger	0.898
murder	slepkavība	anger	0.897
raging	nikns	anger	0.896
vengeful	atriebīgs	anger	0.894
rape	izvarošana	anger	0.894
ferocious	mežonīgs	anger	0.894
pissed	pissed	anger	0.894
obliterated	iznīcināts	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	sprādzienbīstams	anger	0.894
killing	nogalinot	anger	0.893
combative	kaujinieks	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	atriebība	anger	0.886
torment	mokas	anger	0.885
wrath	dusmas	anger	0.885
vicious	ļaunais	anger	0.884
massacre	masu slepkavība	anger	0.882
threatening	draudīgs	anger	0.882
pissoff	atšujies	anger	0.875
abhorrent	negodīgi	anger	0.875
bloodthirsty	asprātīgs	anger	0.875
fighting	kaujas	anger	0.868
annihilated	iznīcināts	anger	0.865
attacking	uzbrukt	anger	0.865
angriest	angriest	anger	0.864
bloodshed	asinsizliešana	anger	0.864
smite	sita	anger	0.862
brawl	sacelšanās	anger	0.861
assault	uzbrukums	anger	0.859
malicious	ļaunprātīga	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	eksplodēt	anger	0.859
assassination	slepkavība	anger	0.859
hostility	naidīgums	anger	0.859
loathsome	nelaimīgs	anger	0.857
hell	ellē	anger	0.853
murderous	slepkavīgs	anger	0.853
attack	uzbrukums	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorisms	anger	0.851
beating	sišana	anger	0.849
desecration	apvainojums	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	sašutums	anger	0.848
stab	stab	anger	0.844
slaughter	kaušana	anger	0.844
violent	vardarbīgs	anger	0.844
destroying	iznīcināt	anger	0.844
abomination	abominācija	anger	0.844
tumultuous	satraucošs	anger	0.844
irate	irate	anger	0.844
infuriate	satraukt	anger	0.844
obliterate	iznīcināt	anger	0.843
belligerent	karojošs	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	kaitē	anger	0.838
hostilities	karadarbības	anger	0.837
prick	krīt	anger	0.835
torture	spīdzināšana	anger	0.833
rabid	traks	anger	0.833
horrid	briesmīgs	anger	0.833
rampage	trakot	anger	0.833
cruelty	nežēlība	anger	0.833
hate	ienīst	anger	0.828
demonic	dēmonisks	anger	0.828
hating	ienīst	anger	0.828
satanic	sātanisks	anger	0.828
tyrannical	tirānisks	anger	0.828
ragemode	ragemode	anger	0.828
despicable	nicināms	anger	0.828
ruinous	postoša	anger	0.825
condemn	nosodīt	anger	0.825
riots	nemieri	anger	0.824
demolish	nojaukt	anger	0.824
angry	dusmīgs	anger	0.824
extermination	iznīcināšana	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	trakais	anger	0.820
vindictive	apvainojošs	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	trakums	anger	0.818
venomous	indīgs	anger	0.818
threaten	apdraudēt	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorists	anger	0.818
abhor	niknums	anger	0.816
savage	savāds	anger	0.814
atrocity	zvērība	anger	0.814
carnage	asinis	anger	0.814
berserk	Berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ļaunprātīgi izmantot	anger	0.812
tyrant	tirāns	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	nokaitināts	anger	0.812
vendetta	vendetta	anger	0.812
fierce	sīva	anger	0.812
destroyer	iznīcinātājs	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	dūmojošs	anger	0.812
barbaric	barbarisks	anger	0.812
anger	dusmas	anger	0.811
pieceofshit	gabofshit	anger	0.810
slam	slaids	anger	0.803
fights	cīņas	anger	0.803
punched	perforēts	anger	0.803
bitch	kuce	anger	0.803
punching	caurumošana	anger	0.803
homicide	slepkavība	anger	0.803
destructive	destruktīvs	anger	0.797
ruthless	nežēlīgs	anger	0.797
villainous	nelaimīgs	anger	0.797
slap	lāpīt	anger	0.791
slaughterhouse	kautuve	anger	0.788
punishing	sodīt	anger	0.788
destroyed	iznīcina	anger	0.788
retaliatory	atbildes reakcija	anger	0.788
riot	nemieri	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	kliedza	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	velnišķīgs	anger	0.788
manslaughter	slepkavība	anger	0.783
clash	sadursme	anger	0.783
bloody	asinis	anger	0.781
hellish	ellišķīgs	anger	0.781
loath	nepatika	anger	0.781
detonation	detonācija	anger	0.781
quarrel	strīdēties	anger	0.781
sinister	draudīgs	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	apsūdzot	anger	0.779
treacherous	nodevīgs	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	pretdarbība	anger	0.773
revulsion	atgrūšana	anger	0.773
madder	vecs	anger	0.773
horrific	šausminoši	anger	0.773
scorn	nicinājums	anger	0.769
deplorable	nožēlojams	anger	0.766
bomb	bumba	anger	0.766
anarchist	anarhists	anger	0.765
devastation	izpostīšana	anger	0.765
resent	atspēkoties	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	nicināms	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	nežēlīgs	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	nāvējošs	anger	0.758
smash	sagraut	anger	0.758
rant	rant	anger	0.758
outburst	uzliesmojums	anger	0.757
snarl	snarl	anger	0.754
profane	profāns	anger	0.750
offend	apvainot	anger	0.750
douchebags	douchebags	anger	0.750
growling	rūkšana	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaritāte	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	traks	anger	0.750
despise	nicināt	anger	0.750
horror	šausmas	anger	0.750
aggravating	pastiprinošs	anger	0.750
revolting	sacelšanās	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	draudi	anger	0.742
erupt	izlauzties	anger	0.742
screaming	kliedz	anger	0.742
violence	vardarbība	anger	0.742
horrible	briesmīgs	anger	0.742
molestation	nepatīkamība	anger	0.742
bastards	bastardi	anger	0.741
revenge	atriebties	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	draudīgs	anger	0.735
demon	dēmons	anger	0.735
crushing	saspiešana	anger	0.735
damn	nopelt	anger	0.735
persecute	vajāt	anger	0.734
argue	apgalvo	anger	0.734
flog	flog	anger	0.734
revolt	sacelšanās	anger	0.734
thrash	trrash	anger	0.734
deplore	nožēlu	anger	0.734
warfare	kaujas	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vieglums	anger	0.734
riotous	satraucošs	anger	0.734
altercation	pārlikšanās	anger	0.729
warlike	kareivīgs	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	sacelšanās	anger	0.727
castrate	kastrēts	anger	0.727
sabotage	sabotāža	anger	0.727
malevolent	ļaunprātīgs	anger	0.721
strike	streikot	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	katastrofāls	anger	0.720
tumult	drūms	anger	0.719
madden	madden	anger	0.719
devil	velns	anger	0.719
scream	kliegt	anger	0.719
brutal	brutāls	anger	0.719
treachery	nodevība	anger	0.719
scorching	apdegums	anger	0.719
vermin	kaitēkļi	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	zirgs	anger	0.719
aggravates	pasliktina	anger	0.719
spiteful	spītīgs	anger	0.719
slay	nogalini	anger	0.719
disdain	padevība	anger	0.719
choke	aizrīties	anger	0.719
bastarding	bustarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarhisms	anger	0.714
mutilation	kropļošana	anger	0.714
criminal	noziedznieks	anger	0.714
denunciation	denonsēšana	anger	0.713
punch	perforators	anger	0.713
crucifixion	krustā sišana	anger	0.712
virulence	virulence	anger	0.712
battled	cīnījās	anger	0.712
fatal	letāls	anger	0.712
holocaust	holokausts	anger	0.712
blasphemous	zaimojošs	anger	0.712
hurting	cietis	anger	0.712
dumbasses	zibens	anger	0.712
