word	Lithuanian-lt	emotion	emotion-intensity-score
outraged	pasipiktinęs	anger	0.964
brutality	brutalumas	anger	0.959
hatred	neapykanta	anger	0.953
hateful	žiaurus	anger	0.940
terrorize	terorizuoti	anger	0.939
violently	smarkiai	anger	0.938
infuriated	susierzinęs	anger	0.938
furious	įsiutę	anger	0.929
enraged	susierzino	anger	0.927
furiously	niūrus	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	žudikas	anger	0.922
fury	įniršis	anger	0.922
execution	vykdymas	anger	0.917
angered	pyktis	anger	0.916
savagery	žiaurumas	anger	0.915
slaughtering	skerdimas	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	sunaikinimas	anger	0.912
assassinate	nužudyti	anger	0.912
rage	pyktis	anger	0.911
loathe	nepastebimas	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	pasmerkimas	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	žmogžudys	anger	0.906
furor	furoras	anger	0.900
hostile	priešiškas	anger	0.898
annihilate	sunaikinti	anger	0.898
murder	nužudymas	anger	0.897
raging	siaubti	anger	0.896
vengeful	kerštingas	anger	0.894
rape	išžaginimas	anger	0.894
ferocious	žiaurus	anger	0.894
pissed	pissed	anger	0.894
obliterated	sunaikinta	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	sprogi	anger	0.894
killing	žudymas	anger	0.893
combative	kareiviškas	anger	0.891
gofuckyourself	eikit sau	anger	0.886
vengeance	kerštas	anger	0.886
torment	kankinimai	anger	0.885
wrath	rūstybė	anger	0.885
vicious	piktas	anger	0.884
massacre	žudynes	anger	0.882
threatening	grasinanti	anger	0.882
pissoff	atsiknisk	anger	0.875
abhorrent	nepatogus	anger	0.875
bloodthirsty	kraujo įsivertinimas	anger	0.875
fighting	kovos	anger	0.868
annihilated	sunaikintas	anger	0.865
attacking	puola	anger	0.865
angriest	angriest	anger	0.864
bloodshed	kraujo praliejimas	anger	0.864
smite	smite	anger	0.862
brawl	sumušimas	anger	0.861
assault	puolimas	anger	0.859
malicious	kenksminga	anger	0.859
strangle	pasislėpti	anger	0.859
tirade	tirade	anger	0.859
explode	sprogti	anger	0.859
assassination	nužudymas	anger	0.859
hostility	priešiškumas	anger	0.859
loathsome	apgailėtinas	anger	0.857
hell	pragaras	anger	0.853
murderous	nužudantis	anger	0.853
attack	ataka	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorizmas	anger	0.851
beating	plakimas	anger	0.849
desecration	nusivylimas	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	pasipiktinimas	anger	0.848
stab	stab	anger	0.844
slaughter	skerdimas	anger	0.844
violent	smurtinis	anger	0.844
destroying	sunaikinti	anger	0.844
abomination	bjaurystė	anger	0.844
tumultuous	audringas	anger	0.844
irate	irate	anger	0.844
infuriate	sužlugdyti	anger	0.844
obliterate	sunaikinti	anger	0.843
belligerent	karingasis	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	gėda	anger	0.838
hostilities	karo veiksmai	anger	0.837
prick	traukti	anger	0.835
torture	kankinimas	anger	0.833
rabid	bjaurus	anger	0.833
horrid	siaubingas	anger	0.833
rampage	rampa	anger	0.833
cruelty	žiaurumas	anger	0.833
hate	nekenčiu	anger	0.828
demonic	demoniškas	anger	0.828
hating	nekenčiu	anger	0.828
satanic	sataniškas	anger	0.828
tyrannical	tironiškas	anger	0.828
ragemode	ragemode	anger	0.828
despicable	niekingas	anger	0.828
ruinous	griovus	anger	0.825
condemn	pasmerkti	anger	0.825
riots	riaušės	anger	0.824
demolish	nugriauti	anger	0.824
angry	piktas	anger	0.824
extermination	naikinimas	anger	0.824
dickhead	Dickhead	anger	0.824
livid	gyvas	anger	0.821
madman	beprotis	anger	0.820
vindictive	kaltinamasis	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	žiaurumas	anger	0.818
venomous	nuodingas	anger	0.818
threaten	grasinti	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	teroristas	anger	0.818
abhor	šmeižti	anger	0.816
savage	laukinis	anger	0.814
atrocity	žiaurumas	anger	0.814
carnage	skerdynės	anger	0.814
berserk	Berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	piktnaudžiavimas	anger	0.812
tyrant	tyrantas	anger	0.812
fucksake	nulupti	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	aštri	anger	0.812
destroyer	sunaikintojas	anger	0.812
pissesmeoff	nervina	anger	0.812
fuming	dumbliai	anger	0.812
barbaric	barbariškas	anger	0.812
anger	pyktis	anger	0.811
pieceofshit	gabalasshit	anger	0.810
slam	slam	anger	0.803
fights	kovoja	anger	0.803
punched	perforuotas	anger	0.803
bitch	kalė	anger	0.803
punching	perforavimas	anger	0.803
homicide	žmogžudystė	anger	0.803
destructive	destruktyvus	anger	0.797
ruthless	negailestingas	anger	0.797
villainous	piktasis	anger	0.797
slap	slap	anger	0.791
slaughterhouse	skerdykloje	anger	0.788
punishing	bausti	anger	0.788
destroyed	sunaikinta	anger	0.788
retaliatory	atsakomoji priemonė	anger	0.788
riot	riaušės	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	šaukti	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	velniškas	anger	0.788
manslaughter	žmogžudystė	anger	0.783
clash	susidūrimas	anger	0.783
bloody	kruvinas	anger	0.781
hellish	pragaras	anger	0.781
loath	nepasitenkinimas	anger	0.781
detonation	detonacija	anger	0.781
quarrel	ginčytis	anger	0.781
sinister	žiaurus	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	kaltinamas	anger	0.779
treacherous	klastingas	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	atsakomoji priemonė	anger	0.773
revulsion	pasipiktinimas	anger	0.773
madder	madderas	anger	0.773
horrific	siaubingas	anger	0.773
scorn	nusivylimas	anger	0.769
deplorable	apgailėtinas	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchistas	anger	0.765
devastation	nuniokojimas	anger	0.765
resent	pasipiktinęs	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	panieka	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	žiaurus	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mirtini	anger	0.758
smash	sumušė	anger	0.758
rant	skalauti	anger	0.758
outburst	sprogimas	anger	0.757
snarl	snarl	anger	0.754
profane	apgaulingas	anger	0.750
offend	įžeisti	anger	0.750
douchebags	douchebags	anger	0.750
growling	Groti	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarumas	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	Crazed	anger	0.750
despise	niekinti	anger	0.750
horror	siaubas	anger	0.750
aggravating	sunkinantis	anger	0.750
revolting	maištingas	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	grėsmė	anger	0.742
erupt	išsiveržti	anger	0.742
screaming	rėkia	anger	0.742
violence	smurtas	anger	0.742
horrible	siaubingas	anger	0.742
molestation	tvirkinimas	anger	0.742
bastards	bastards	anger	0.741
revenge	kerštas	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	grėsmingas	anger	0.735
demon	demonas	anger	0.735
crushing	griovimas	anger	0.735
damn	prakeiktas	anger	0.735
persecute	persekioti	anger	0.734
argue	ginčytis	anger	0.734
flog	flogas	anger	0.734
revolt	sukilimas	anger	0.734
thrash	Thrash	anger	0.734
deplore	apgailestauju	anger	0.734
warfare	karas	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	kupinas	anger	0.734
riotous	neramus	anger	0.734
altercation	pasikeitimas	anger	0.729
warlike	kareiviškas	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	maištas	anger	0.727
castrate	kastruoti	anger	0.727
sabotage	sabotažas	anger	0.727
malevolent	piktas	anger	0.721
strike	streikuoti	anger	0.721
disaster	nelaimė	anger	0.721
disastrous	katastrofiškas	anger	0.720
tumult	triukšmas	anger	0.719
madden	maddenas	anger	0.719
devil	velnias	anger	0.719
scream	šaukti	anger	0.719
brutal	brutalus	anger	0.719
treachery	išdavystė	anger	0.719
