word	Macedonian-mk	emotion	emotion-intensity-score
outraged	навреден	anger	0.964
brutality	бруталност	anger	0.959
hatred	омраза	anger	0.953
hateful	омраза	anger	0.940
terrorize	тероризирам	anger	0.939
violently	насилно	anger	0.938
infuriated	лути	anger	0.938
furious	бесен	anger	0.929
enraged	разбеснето	anger	0.927
furiously	бесно	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	убиец	anger	0.922
fury	бес	anger	0.922
execution	извршување	anger	0.917
angered	лути	anger	0.916
savagery	дивјаштво	anger	0.915
slaughtering	колење	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	аннигилација	anger	0.912
assassinate	атентат	anger	0.912
rage	бес	anger	0.911
loathe	лути	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	проклетство	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	убиствени	anger	0.906
furor	фурор	anger	0.900
hostile	непријателски	anger	0.898
annihilate	уништува	anger	0.898
murder	убиство	anger	0.897
raging	беснее	anger	0.896
vengeful	Одмазднички	anger	0.894
rape	силување	anger	0.894
ferocious	жесток	anger	0.894
pissed	изнервирани	anger	0.894
obliterated	избришани	anger	0.894
infuriates	нервира	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	експлозивни	anger	0.894
killing	убиство	anger	0.893
combative	борбена	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	одмазда	anger	0.886
torment	маки	anger	0.885
wrath	гнев	anger	0.885
vicious	злобни	anger	0.884
massacre	масакр	anger	0.882
threatening	заканувачки	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	одвратни	anger	0.875
bloodthirsty	жедните	anger	0.875
fighting	борба	anger	0.868
annihilated	уништен	anger	0.865
attacking	напад	anger	0.865
angriest	најжесток	anger	0.864
bloodshed	крвопролевање	anger	0.864
smite	порази	anger	0.862
brawl	тепачка	anger	0.861
assault	напад	anger	0.859
malicious	злонамерни	anger	0.859
strangle	задуши	anger	0.859
tirade	тирада	anger	0.859
explode	експлодираат	anger	0.859
assassination	атентат	anger	0.859
hostility	непријателство	anger	0.859
loathsome	омразен	anger	0.857
hell	пекол	anger	0.853
murderous	убиствен	anger	0.853
attack	напад	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	тероризам	anger	0.851
beating	тепа	anger	0.849
desecration	сквернавење	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	бес	anger	0.848
stab	прободе	anger	0.844
slaughter	колење	anger	0.844
violent	насилни	anger	0.844
destroying	уништување	anger	0.844
abomination	мерзост	anger	0.844
tumultuous	бурни	anger	0.844
irate	гневен	anger	0.844
infuriate	лути	anger	0.844
obliterate	Бришење	anger	0.843
belligerent	воинствена	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	одврати	anger	0.838
hostilities	непријателства	anger	0.837
prick	измамник	anger	0.835
torture	мачење	anger	0.833
rabid	бесни	anger	0.833
horrid	грозни	anger	0.833
rampage	дивеење	anger	0.833
cruelty	суровост	anger	0.833
hate	омраза	anger	0.828
demonic	демонски	anger	0.828
hating	мразеше	anger	0.828
satanic	сатански	anger	0.828
tyrannical	тирански	anger	0.828
ragemode	ragemode	anger	0.828
despicable	злобен	anger	0.828
ruinous	руини	anger	0.825
condemn	осуди	anger	0.825
riots	немири	anger	0.824
demolish	уривање	anger	0.824
angry	лути	anger	0.824
extermination	истребување	anger	0.824
dickhead	dickhead	anger	0.824
livid	бледо	anger	0.821
madman	лудак	anger	0.820
vindictive	кривичен	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	жестокост	anger	0.818
venomous	отровно	anger	0.818
threaten	се закануваат	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	терористички	anger	0.818
abhor	одвратам	anger	0.816
savage	дивјак	anger	0.814
atrocity	злосторство	anger	0.814
carnage	масакр	anger	0.814
berserk	бесрамно	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	злоупотреба	anger	0.812
tyrant	тиранин	anger	0.812
fucksake	фукшак	anger	0.812
pissedoff	изнервиран	anger	0.812
vendetta	одмазда	anger	0.812
fierce	жестока	anger	0.812
destroyer	уништувач	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	варварски	anger	0.812
anger	лутина	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	слем	anger	0.803
fights	се бори	anger	0.803
punched	удрен	anger	0.803
bitch	кучка	anger	0.803
punching	удирање	anger	0.803
homicide	убиство	anger	0.803
destructive	деструктивни	anger	0.797
ruthless	безмилосен	anger	0.797
villainous	злобно	anger	0.797
slap	шлаканица	anger	0.791
slaughterhouse	кланица	anger	0.788
punishing	казнување	anger	0.788
destroyed	уништени	anger	0.788
