word	Malagasy-mg	emotion	emotion-intensity-score
outraged	tezitra	anger	0.964
brutality	herisetra	anger	0.959
hatred	fankahalana	anger	0.953
hateful	feno fankahalana	anger	0.940
terrorize	hampihorohoro	anger	0.939
violently	-keriny	anger	0.938
infuriated	tezitra	anger	0.938
furious	tezitra	anger	0.929
enraged	tezitra	anger	0.927
furiously	adala	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	mpamono olona	anger	0.922
fury	fahatezerana	anger	0.922
execution	famonoana	anger	0.917
angered	tezitra	anger	0.916
savagery	savagery	anger	0.915
slaughtering	famonoana	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	fandringanana	anger	0.912
assassinate	hamono	anger	0.912
rage	fahatezerana	anger	0.911
loathe	Maharikoriko	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	fanamelohana	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	nahatezitra	anger	0.900
hostile	fahavalo	anger	0.898
annihilate	handringana	anger	0.898
murder	vonoan-olona	anger	0.897
raging	nisamboaravoara	anger	0.896
vengeful	valifaty	anger	0.894
rape	fanolanana	anger	0.894
ferocious	masiaka	anger	0.894
pissed	pissed	anger	0.894
obliterated	voafafa mandrakizay	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	mipoaka	anger	0.894
killing	famonoana	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	valifaty	anger	0.886
torment	fijaliana	anger	0.885
wrath	fahatezerana	anger	0.885
vicious	masiaka	anger	0.884
massacre	fandripahana	anger	0.882
threatening	fandrahonana	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	maharikoriko	anger	0.875
bloodthirsty	mpandatsa-drà	anger	0.875
fighting	ady	anger	0.868
annihilated	ringana	anger	0.865
attacking	manafika	anger	0.865
angriest	angriest	anger	0.864
bloodshed	ny fandatsahan-dra	anger	0.864
smite	mameleza	anger	0.862
brawl	brawl	anger	0.861
assault	fanafihana	anger	0.859
malicious	ratsy toetra	anger	0.859
strangle	hahasempotra	anger	0.859
tirade	tirade	anger	0.859
explode	nipoaka	anger	0.859
assassination	famonoana	anger	0.859
hostility	fankahalana	anger	0.859
loathsome	maharikoriko	anger	0.857
hell	helo	anger	0.853
murderous	mpamono olona	anger	0.853
attack	fanafihana	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	fampihorohoroana	anger	0.851
beating	daroka	anger	0.849
desecration	fanimbazimbana	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	hatezerana	anger	0.848
stab	manindrona	anger	0.844
slaughter	famonoana	anger	0.844
violent	mahery setra	anger	0.844
destroying	mandringana	anger	0.844
abomination	fahavetavetana	anger	0.844
tumultuous	tabataba	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	tia ady	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	mankahala	anger	0.838
hostilities	fankahalana	anger	0.837
prick	mampahory koa	anger	0.835
torture	fampijaliana	anger	0.833
rabid	romotra	anger	0.833
horrid	nahatsiravina	anger	0.833
rampage	rampage	anger	0.833
cruelty	habibiana	anger	0.833
hate	mankahala	anger	0.828
demonic	demonia	anger	0.828
hating	mankahala	anger	0.828
satanic	Satana	anger	0.828
tyrannical	lozabe	anger	0.828
ragemode	ragemode	anger	0.828
despicable	maharikoriko	anger	0.828
ruinous	mpandringana	anger	0.825
condemn	manameloka	anger	0.825
riots	korontana	anger	0.824
demolish	handrava	anger	0.824
angry	tezitra	anger	0.824
extermination	fandringanana	anger	0.824
dickhead	dickhead	anger	0.824
livid	Tezitra be mihitsy	anger	0.821
madman	adala	anger	0.820
vindictive	hamaly faty	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	kabibiana	anger	0.818
venomous	bibilava	anger	0.818
threaten	mandrahona	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	mpampihorohoro	anger	0.818
abhor	mankahalà	anger	0.816
savage	Savage	anger	0.814
atrocity	habibiana	anger	0.814
carnage	fandripahana	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	fanararaotana	anger	0.812
tyrant	mpanao jadona	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	sosotra	anger	0.812
vendetta	Vendetta	anger	0.812
fierce	masiaka	anger	0.812
destroyer	mpandringana	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	feno habibiana	anger	0.812
anger	fahatezerana	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	Slam	anger	0.803
fights	ady	anger	0.803
punched	totohondry	anger	0.803
bitch	Bitch	anger	0.803
punching	punching	anger	0.803
homicide	vono olona	anger	0.803
destructive	manimba	anger	0.797
ruthless	masiaka	anger	0.797
villainous	villainous	anger	0.797
slap	tehamaina	anger	0.791
slaughterhouse	slaughterhouse	anger	0.788
punishing	manasazy	anger	0.788
destroyed	rava	anger	0.788
retaliatory	retaliatory	anger	0.788
riot	rotaka	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	mivazavaza	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	devoly	anger	0.788
manslaughter	tsy nahy	anger	0.783
clash	fifandonana	anger	0.783
bloody	ra mandriaka	anger	0.781
hellish	hellish	anger	0.781
loath	Halan'izy	anger	0.781
detonation	detonation	anger	0.781
quarrel	mifanditra	anger	0.781
sinister	Zavaboary Ratsy	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	niampanga	anger	0.779
treacherous	mamitaka	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	hamaly faty	anger	0.773
revulsion	tsy tiako maizina àry	anger	0.773
madder	madder	anger	0.773
horrific	mampihoron-koditra	anger	0.773
scorn	baraka	anger	0.769
deplorable	trangan-javatra mampalahelo	anger	0.766
bomb	baomba	anger	0.766
anarchist	fanjakan'i Baroa	anger	0.765
devastation	fandravana	anger	0.765
resent	sosotra	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	tsinontsinona	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	lozabe	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mahafaty	anger	0.758
smash	hamotipotika	anger	0.758
rant	Mitabataba	anger	0.758
outburst	fipoahan'ny	anger	0.757
snarl	snarl	anger	0.754
profane	manaja ny masina	anger	0.750
offend	hanafintohina	anger	0.750
douchebags	douchebags	anger	0.750
growling	nierona	anger	0.750
stfu	stfu	anger	0.750
vulgarity	baranahina fanaony hatrizay	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	adalana	anger	0.750
despise	tsinontsinona	anger	0.750
horror	horohoro	anger	0.750
aggravating	mampitombo	anger	0.750
revolting	maditra	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	fandrahonana	anger	0.742
erupt	hipoaka	anger	0.742
screaming	nikiakiaka	anger	0.742
violence	herisetra	anger	0.742
horrible	mahatsiravina	anger	0.742
molestation	fametavetana	anger	0.742
bastards	bastards	anger	0.741
revenge	valifaty	anger	0.738
catastrophe	loza	anger	0.735
menacing	menacing	anger	0.735
demon	demonia	anger	0.735
crushing	nanorotoro	anger	0.735
damn	Tss	anger	0.735
persecute	manenjika	anger	0.734
argue	miady hevitra	anger	0.734
flog	flog	anger	0.734
revolt	fikomiana	anger	0.734
thrash	thrash	anger	0.734
deplore	Mampahonena	anger	0.734
warfare	ady	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	mahamay	anger	0.734
riotous	baranahiny	anger	0.734
altercation	fifamaliana	anger	0.729
warlike	tia ady	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	fikomiana	anger	0.727
castrate	castrate	anger	0.727
sabotage	nanelingelina	anger	0.727
malevolent	malevolent	anger	0.721
strike	fitokonana	anger	0.721
disaster	loza	anger	0.721
disastrous	loza	anger	0.720
tumult	tabataba	anger	0.719
madden	Madden	anger	0.719
devil	Devoly	anger	0.719
scream	mikiakiaka	anger	0.719
brutal	mahery vaika	anger	0.719
treachery	fitaka	anger	0.719
scorching	mahamay	anger	0.719
vermin	bibikely	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	spiteful	anger	0.719
slay	hamono	anger	0.719
disdain	tsinontsinona	anger	0.719
choke	mangeja	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	fanapahana rantsambatana	anger	0.714
criminal	mpanao heloka bevava	anger	0.714
denunciation	fanamelohana	anger	0.713
punch	totohondriny	anger	0.713
crucifixion	fanomboana	anger	0.712
virulence	virulence	anger	0.712
battled	niady	anger	0.712
fatal	mahafaty	anger	0.712
holocaust	Famonoana Tambabe	anger	0.712
blasphemous	fitenenan-dratsy	anger	0.712
hurting	mandratra	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	mahatsiravina	anger	0.706
evil	ratsy	anger	0.706
irritated	sosotra	anger	0.706
assassin	mpamono	anger	0.703
dicks	dicks	anger	0.703
persecution	fanenjehana	anger	0.703
slayer	an'izay nahafaty olona	anger	0.703
kidnap	fakàna an-keriny	anger	0.703
scolding	nibedy	anger	0.703
intimidation	fampitahorana	anger	0.703
aggravated	mainka manasaro	anger	0.703
aggression	herisetra	anger	0.702
armed	mitam-piadiana	anger	0.700
poison	poizina	anger	0.697
snarling	snarling	anger	0.697
venom	poizina	anger	0.697
battle	ady	anger	0.697
disgruntled	taraina tao amin'ilay fiangonana	anger	0.693
insidious	mampidi-doza	anger	0.691
assailant	notafihina	anger	0.691
resentment	lolom-po	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	contemptuous	anger	0.690
temper	tezitra	anger	0.688
imprisonment	am-ponja	anger	0.688
disparage	hitsikera	anger	0.688
bully	mpihetraketraka	anger	0.688
terrible	mahatsiravina	anger	0.688
lunatic	adala	anger	0.688
curse	ozona	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	hifehy	anger	0.688
mad	very saina	anger	0.688
infanticide	zazalahy hebreo	anger	0.688
volatility	volatility	anger	0.687
eradication	fanafoanana	anger	0.685
tantrum	fipoahan'ny hatezerana	anger	0.682
devastate	handrava	anger	0.682
eradicate	hamongorana ny	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	mahery vaika	anger	0.680
agitation	pahoriana	anger	0.680
dictatorship	didy jadona	anger	0.676
irritates	tiako	anger	0.676
profanity	ratsy	anger	0.673
egregious	egregious	anger	0.672
expletive	expletive	anger	0.672
nasty	ratsy	anger	0.672
shove	manisy tahamaina	anger	0.672
shot	tifitra	anger	0.672
harmful	mampidi-doza	anger	0.672
aggravation	aggravation	anger	0.672
contempt	fanamavoana	anger	0.672
