word	Malay-ms	emotion	emotion-intensity-score
outraged	marah	anger	0.964
brutality	kekejaman	anger	0.959
hatred	kebencian	anger	0.953
hateful	kebencian	anger	0.940
terrorize	keganasan	anger	0.939
violently	ganas	anger	0.938
infuriated	marah	anger	0.938
furious	marah	anger	0.929
enraged	marah	anger	0.927
furiously	marah	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	pembunuh	anger	0.922
fury	kemarahan	anger	0.922
execution	pelaksanaan	anger	0.917
angered	marah	anger	0.916
savagery	kekejaman	anger	0.915
slaughtering	penyembelihan	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	pemusnahan	anger	0.912
assassinate	membunuh	anger	0.912
rage	kemarahan	anger	0.911
loathe	benci	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	kutukan	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	pembunuhan	anger	0.906
furor	keganasan	anger	0.900
hostile	bermusuhan	anger	0.898
annihilate	memusnahkan	anger	0.898
murder	pembunuhan	anger	0.897
raging	mengamuk	anger	0.896
vengeful	bersalah	anger	0.894
rape	rogol	anger	0.894
ferocious	ganas	anger	0.894
pissed	marah	anger	0.894
obliterated	dimatikan	anger	0.894
infuriates	menyebalkan	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	letupan	anger	0.894
killing	membunuh	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	balas dendam	anger	0.886
torment	azab	anger	0.885
wrath	kemurkaan	anger	0.885
vicious	jahat	anger	0.884
massacre	pembunuhan beramai-ramai	anger	0.882
threatening	mengancam	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	dahagakan darah	anger	0.875
fighting	berjuang	anger	0.868
annihilated	dihapuskan	anger	0.865
attacking	menyerang	anger	0.865
angriest	yang paling angan	anger	0.864
bloodshed	pertumpahan darah	anger	0.864
smite	pukulan	anger	0.862
brawl	pergaduhan	anger	0.861
assault	serangan	anger	0.859
malicious	berniat jahat	anger	0.859
strangle	mencekik	anger	0.859
tirade	tirade	anger	0.859
explode	meletup	anger	0.859
assassination	pembunuhan	anger	0.859
hostility	permusuhan	anger	0.859
loathsome	menakutkan	anger	0.857
hell	neraka	anger	0.853
murderous	pembunuh	anger	0.853
attack	serang	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	keganasan	anger	0.851
beating	mengalahkan	anger	0.849
desecration	penodaan	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kemarahan	anger	0.848
stab	menikam	anger	0.844
slaughter	penyembelihan	anger	0.844
violent	ganas	anger	0.844
destroying	memusnahkan	anger	0.844
abomination	kekejian	anger	0.844
tumultuous	tergesa-gesa	anger	0.844
irate	marah	anger	0.844
infuriate	marah	anger	0.844
obliterate	pemadaman	anger	0.843
belligerent	berperang	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	dendam	anger	0.838
hostilities	permusuhan	anger	0.837
prick	tusukan	anger	0.835
torture	penyeksaan	anger	0.833
rabid	rabun	anger	0.833
horrid	mengerikan	anger	0.833
rampage	mengamuk	anger	0.833
cruelty	kekejaman	anger	0.833
hate	benci	anger	0.828
demonic	syaitan	anger	0.828
hating	membenci	anger	0.828
satanic	syaitan	anger	0.828
tyrannical	kejam	anger	0.828
ragemode	ragemode	anger	0.828
despicable	hina	anger	0.828
ruinous	merosakkan	anger	0.825
condemn	mengutuk	anger	0.825
riots	rusuhan	anger	0.824
demolish	merobohkan	anger	0.824
angry	marah	anger	0.824
extermination	pemusnahan	anger	0.824
dickhead	dickhead	anger	0.824
livid	teruk	anger	0.821
madman	gila	anger	0.820
vindictive	balas dendam	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	keganasan	anger	0.818
venomous	berbisa	anger	0.818
threaten	mengancam	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	pengganas	anger	0.818
abhor	abhor	anger	0.816
savage	ganas	anger	0.814
atrocity	kekejaman	anger	0.814
carnage	pembunuhan beramai-ramai	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	penyalahgunaan	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	bengang	anger	0.812
vendetta	vendetta	anger	0.812
fierce	sengit	anger	0.812
destroyer	pemusnah	anger	0.812
pissesmeoff	membuatkan saya marah	anger	0.812
fuming	fuming	anger	0.812
