word	Maltese-mt	emotion	emotion-intensity-score
outraged	imriegħex	anger	0.964
brutality	brutalità	anger	0.959
hatred	mibegħda	anger	0.953
hateful	mibegħda	anger	0.940
terrorize	terriforzja	anger	0.939
violently	b'mod vjolenti	anger	0.938
infuriated	infuriated	anger	0.938
furious	furious	anger	0.929
enraged	enraged	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	qattiel	anger	0.922
fury	fury	anger	0.922
execution	eżekuzzjoni	anger	0.917
angered	irrabjat	anger	0.916
savagery	savagery	anger	0.915
slaughtering	qatla	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	annihilation	anger	0.912
assassinate	assassinate	anger	0.912
rage	Rage	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	dannu	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	ostili	anger	0.898
annihilate	annihilate	anger	0.898
murder	qtil	anger	0.897
raging	qalb	anger	0.896
vengeful	vengeful	anger	0.894
rape	stupru	anger	0.894
ferocious	ferotiku	anger	0.894
pissed	pissed	anger	0.894
obliterated	jinqerdu	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	splussiv	anger	0.894
killing	qtil	anger	0.893
combative	kombinattiv	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	vengeance	anger	0.886
torment	torment	anger	0.885
wrath	rabja	anger	0.885
vicious	vizzjuż	anger	0.884
massacre	massakru	anger	0.882
threatening	theddid	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	ġlied	anger	0.868
annihilated	annihilated	anger	0.865
attacking	attakk	anger	0.865
angriest	l-aktar rrabjata	anger	0.864
bloodshed	tbattal tad-demm	anger	0.864
smite	smite	anger	0.862
brawl	Brawl	anger	0.861
assault	attakk	anger	0.859
malicious	malizzjuż	anger	0.859
strangle	strangle	anger	0.859
tirade	tirade	anger	0.859
explode	jisplodu	anger	0.859
assassination	qtil	anger	0.859
hostility	ostilità	anger	0.859
loathsome	loathsome	anger	0.857
hell	infern	anger	0.853
murderous	qattiela	anger	0.853
attack	attakk	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terroriżmu	anger	0.851
beating	swat	anger	0.849
desecration	drawwiet ta 'drawwiet	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	għarrieda	anger	0.848
stab	stab	anger	0.844
slaughter	qatla	anger	0.844
violent	vjolenti	anger	0.844
destroying	qerda	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	tinqered	anger	0.843
belligerent	belġjanti	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	ostilitajiet	anger	0.837
prick	prick	anger	0.835
torture	tortura	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rivoluzzjoni	anger	0.833
cruelty	krudeltà	anger	0.833
hate	mibegħda	anger	0.828
demonic	demonic	anger	0.828
hating	hating	anger	0.828
satanic	sataniku	anger	0.828
tyrannical	tirranġiku	anger	0.828
ragemode	ragemode	anger	0.828
despicable	pjaċevoli	anger	0.828
ruinous	ruinous	anger	0.825
condemn	jikkundannaw	anger	0.825
riots	rewwixti	anger	0.824
demolish	jitwaqqa '	anger	0.824
angry	rrabjata	anger	0.824
extermination	sterminazzjoni	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	velenuż	anger	0.818
threaten	jheddu	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terroristiku	anger	0.818
abhor	abhor	anger	0.816
savage	savage	anger	0.814
atrocity	atroċita	anger	0.814
carnage	carnage	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abbuż	anger	0.812
tyrant	Tirana	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ħarxa	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	rabja	anger	0.811
pieceofshit	biċċa ta 'xifer	anger	0.810
slam	slam	anger	0.803
fights	jiġġieled	anger	0.803
punched	ippanċjat	anger	0.803
bitch	kelba	anger	0.803
punching	ippanċjar	anger	0.803
homicide	omiċidju	anger	0.803
destructive	distruttivi	anger	0.797
ruthless	bla ħniena	anger	0.797
villainous	villainous	anger	0.797
slap	slap	anger	0.791
slaughterhouse	biċċerija	anger	0.788
punishing	jikkastigaw	anger	0.788
destroyed	meqruda	anger	0.788
retaliatory	ritaljazzjoni	anger	0.788
riot	rewwixta	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diaboliku	anger	0.788
manslaughter	omiċidju	anger	0.783
clash	kunflitt	anger	0.783
bloody	imdemmi	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonazzjoni	anger	0.781
quarrel	quarrel	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akkuża	anger	0.779
treacherous	treacherous	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	jirritaljaw	anger	0.773
revulsion	revulsjoni	anger	0.773
madder	madder	anger	0.773
horrific	orribbli	anger	0.773
scorn	scorn	anger	0.769
deplorable	deplorevoli	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarkista	anger	0.765
devastation	devastazzjoni	anger	0.765
resent	resent	anger	0.765
firestorm	Firestorm	anger	0.765
contemptible	kontestabbli	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	krudili	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	fatali	anger	0.758
smash	smash	anger	0.758
rant	arrestat	anger	0.758
outburst	splużjoni	anger	0.757
snarl	snarl	anger	0.754
profane	profane	anger	0.750
offend	toffendi	anger	0.750
douchebags	douchebags	anger	0.750
growling	tkissir	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarità	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	mintix	anger	0.750
horror	orrur	anger	0.750
aggravating	aggravanti	anger	0.750
revolting	rewwixti	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	theddida	anger	0.742
erupt	erupt	anger	0.742
screaming	screaming	anger	0.742
violence	vjolenza	anger	0.742
horrible	horrible	anger	0.742
molestation	molestation	anger	0.742
bastards	bniet	anger	0.741
revenge	revenge	anger	0.738
catastrophe	diżastru	anger	0.735
menacing	menacing	anger	0.735
demon	demon	anger	0.735
crushing	tgħaffiġ	anger	0.735
damn	kkritikat	anger	0.735
persecute	jippersegwitaw	anger	0.734
argue	argumenta	anger	0.734
flog	flog	anger	0.734
revolt	rewwixta	anger	0.734
thrash	thrash	anger	0.734
deplore	jiddeplora	anger	0.734
warfare	gwerra	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	qawwi	anger	0.734
riotous	riotous	anger	0.734
altercation	altercation	anger	0.729
warlike	gwerra	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	kastrati	anger	0.727
sabotage	sabotaġġ	anger	0.727
malevolent	malizzjuż	anger	0.721
strike	strajk	anger	0.721
disaster	diżastru	anger	0.721
disastrous	diżastruż	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	devil	anger	0.719
scream	scream	anger	0.719
brutal	brutali	anger	0.719
treachery	treachery	anger	0.719
scorching	xkat	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horsehit	anger	0.719
aggravates	taggrava	anger	0.719
spiteful	minkejja	anger	0.719
slay	slay	anger	0.719
disdain	disdain	anger	0.719
choke	ċowk	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	Anarkiżmu	anger	0.714
mutilation	mutilazzjoni	anger	0.714
criminal	kriminali	anger	0.714
denunciation	denunzja	anger	0.713
punch	punch	anger	0.713
crucifixion	crucifixion	anger	0.712
virulence	virulenza	anger	0.712
battled	battalja	anger	0.712
fatal	fatali	anger	0.712
holocaust	olokawstu	anger	0.712
blasphemous	blasfema	anger	0.712
hurting	jagħmel ħsara	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atrocious	anger	0.706
evil	ħażen	anger	0.706
irritated	irritata	anger	0.706
assassin	assassin	anger	0.703
dicks	dicks	anger	0.703
persecution	persekuzzjoni	anger	0.703
slayer	slayer	anger	0.703
kidnap	ħtif	anger	0.703
scolding	scolding	anger	0.703
intimidation	intimidazzjoni	anger	0.703
aggravated	aggravat	anger	0.703
aggression	aggressjoni	anger	0.702
armed	armati	anger	0.700
poison	velenu	anger	0.697
snarling	snarling	anger	0.697
venom	velenu	anger	0.697
battle	battalja	anger	0.697
disgruntled	diżappuntat	anger	0.693
insidious	insidjuż	anger	0.691
assailant	assailant	anger	0.691
resentment	riżentiment	anger	0.691
lynch	lynch	anger	0.690
contemptuous	disprezzabbli	anger	0.690
temper	temper	anger	0.688
imprisonment	priġunerija	anger	0.688
disparage	nieqes	anger	0.688
bully	buli	anger	0.688
terrible	terribbli	anger	0.688
lunatic	lunatic	anger	0.688
curse	curse	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	imqaxxar	anger	0.688
domination	dominazzjoni	anger	0.688
mad	ġenn	anger	0.688
infanticide	infanticid	anger	0.688
volatility	volatilità	anger	0.687
eradication	eradikazzjoni	anger	0.685
tantrum	tantrum	anger	0.682
devastate	devastate	anger	0.682
eradicate	eradikazzjoni	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	aggressiv	anger	0.680
agitation	aġitazzjoni	anger	0.680
dictatorship	dittatorjat	anger	0.676
irritates	jirrita	anger	0.676
