word	Maori-mi	emotion	emotion-intensity-score
outraged	he riri	anger	0.964
brutality	kino	anger	0.959
hatred	kino	anger	0.953
hateful	kino	anger	0.940
terrorize	whakawehi	anger	0.939
violently	pakari	anger	0.938
infuriated	ka riri	anger	0.938
furious	riri	anger	0.929
enraged	haurangi	anger	0.927
furiously	nui whakaharahara	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	kaikohuru	anger	0.922
fury	riri	anger	0.922
execution	Tuhinga	anger	0.917
angered	riri	anger	0.916
savagery	tawhito	anger	0.915
slaughtering	patu	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Tuhinga o mua	anger	0.912
annihilation	Tuhinga o mua	anger	0.912
assassinate	kohuru	anger	0.912
rage	riri	anger	0.911
loathe	kino	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	Tuhinga o mua	anger	0.906
fucktard	Tuhinga o mua	anger	0.906
homicidal	Tuhinga o mua	anger	0.906
furor	Tuhinga o mua	anger	0.900
hostile	hoariri	anger	0.898
annihilate	Tuhinga o mua	anger	0.898
murder	kohuru	anger	0.897
raging	te riri	anger	0.896
vengeful	utu	anger	0.894
rape	rape	anger	0.894
ferocious	haurangi	anger	0.894
pissed	pangia	anger	0.894
obliterated	whakakorea	anger	0.894
infuriates	ka riri	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	pupuhi	anger	0.894
killing	kohuru	anger	0.893
combative	Tuhinga	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	rapu utu	anger	0.886
torment	whakamamae	anger	0.885
wrath	riri	anger	0.885
vicious	kino	anger	0.884
massacre	te patu	anger	0.882
threatening	whakawehi	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	whakahiahia	anger	0.875
bloodthirsty	te toto	anger	0.875
fighting	whawhai	anger	0.868
annihilated	ngarohia	anger	0.865
attacking	whakaeke	anger	0.865
angriest	Tuhinga o mua	anger	0.864
bloodshed	te toto	anger	0.864
smite	patu	anger	0.862
brawl	Tuhinga o mua	anger	0.861
assault	whakaeke	anger	0.859
malicious	kino	anger	0.859
strangle	taatai	anger	0.859
tirade	Tuhinga o mua	anger	0.859
explode	pakaru	anger	0.859
assassination	kohuru	anger	0.859
hostility	hoariri	anger	0.859
loathsome	kino	anger	0.857
hell	he reinga	anger	0.853
murderous	kohuru	anger	0.853
attack	whakaeke	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	pakanga	anger	0.851
beating	whiua	anger	0.849
desecration	haukore	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	te riri	anger	0.848
stab	papa	anger	0.844
slaughter	patu	anger	0.844
violent	te tutu	anger	0.844
destroying	whakangaro	anger	0.844
abomination	mea whakarihariha	anger	0.844
tumultuous	pakanga	anger	0.844
irate	irate	anger	0.844
infuriate	infuriate	anger	0.844
