word	Mongolian-mn	emotion	emotion-intensity-score
outraged	гомдох	anger	0.964
brutality	харгислал	anger	0.959
hatred	үзэн ядалт	anger	0.953
hateful	үзэн яддаг	anger	0.940
terrorize	терроризм	anger	0.939
violently	хүчтэй	anger	0.938
infuriated	уурлав	anger	0.938
furious	галзуу	anger	0.929
enraged	уурлав	anger	0.927
furiously	аймшигтай	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	алуурчин	anger	0.922
fury	уур хилэн	anger	0.922
execution	гүйцэтгэх	anger	0.917
angered	гунигтай байна	anger	0.916
savagery	харгислал	anger	0.915
slaughtering	нядлах	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	устгах	anger	0.912
assassinate	алуурчин	anger	0.912
rage	уур хилэн	anger	0.911
loathe	үзэн яддаг	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	шийтгэл	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	Гэмт хэрэг	anger	0.906
furor	Аймшигтай	anger	0.900
hostile	дайсагнасан	anger	0.898
annihilate	устгах	anger	0.898
murder	аллага	anger	0.897
raging	ноцож байна	anger	0.896
vengeful	Уучлаарай	anger	0.894
rape	хүчингийн хэрэг	anger	0.894
ferocious	харгис хэрцгий	anger	0.894
pissed	тэнүүлчин	anger	0.894
obliterated	устгасан	anger	0.894
infuriates	уурлав	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	тэсрэх бодис	anger	0.894
killing	хөнөөсөн	anger	0.893
combative	самнах	anger	0.891
gofuckyourself	Надад таалагдаж байна	anger	0.886
vengeance	өшөө авах	anger	0.886
torment	тарчлал	anger	0.885
wrath	уур хилэн	anger	0.885
vicious	харгис	anger	0.884
massacre	аллага үйлдсэн	anger	0.882
threatening	аюул заналхийлж байна	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	бузар юм	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	тэмцэх	anger	0.868
annihilated	устгасан	anger	0.865
attacking	довтолж байна	anger	0.865
angriest	хамгийн агуу	anger	0.864
bloodshed	цус урсгалт	anger	0.864
smite	цохих	anger	0.862
brawl	маргалдах	anger	0.861
assault	Дайралт	anger	0.859
malicious	хортой	anger	0.859
strangle	тархи	anger	0.859
tirade	залхуурал	anger	0.859
explode	дэлбэрсэн	anger	0.859
assassination	аллага	anger	0.859
hostility	дайсагнал	anger	0.859
loathsome	бузар юм	anger	0.857
hell	там	anger	0.853
murderous	алуурчин	anger	0.853
attack	халдлага	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	терроризм	anger	0.851
beating	зодох	anger	0.849
desecration	гутаан доромжилдог	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	харгислал	anger	0.848
stab	шархлав	anger	0.844
slaughter	нядлах	anger	0.844
violent	хүчирхийлэл	anger	0.844
destroying	устгах	anger	0.844
abomination	жигшүүрт юм	anger	0.844
tumultuous	үймээнтэй	anger	0.844
irate	цочирдол	anger	0.844
infuriate	уурлав	anger	0.844
obliterate	устгах	anger	0.843
belligerent	дайтагч	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	хорлон сүйтгэх	anger	0.838
hostilities	дайтах ажиллагаа	anger	0.837
prick	prick	anger	0.835
torture	эрүүдэн шүүх	anger	0.833
rabid	галзуу	anger	0.833
horrid	аймшигтай	anger	0.833
rampage	авирах	anger	0.833
cruelty	харгислал	anger	0.833
hate	үзэн ядалт	anger	0.828
demonic	чөтгөр	anger	0.828
hating	үзэн яддаг	anger	0.828
satanic	satanic	anger	0.828
tyrannical	харгислал	anger	0.828
ragemode	ragemode	anger	0.828
despicable	жигшмээр юм	anger	0.828
ruinous	хор уршигтай	anger	0.825
condemn	буруутгана	anger	0.825
riots	бослого	anger	0.824
demolish	буулгах	anger	0.824
angry	уурлаж байна	anger	0.824
extermination	устгах	anger	0.824
dickhead	dickhead	anger	0.824
livid	хортой	anger	0.821
madman	галзуу	anger	0.820
vindictive	Өшөө авалт	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	харгис хэрцгий байдал	anger	0.818
venomous	хортой	anger	0.818
threaten	заналхийлж байна	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	террорист	anger	0.818
abhor	жигшин зэвүүцэх	anger	0.816
savage	зэрлэг амьтан	anger	0.814
atrocity	харгис хэрцгий байдал	anger	0.814
carnage	аллага	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	хүчирхийлэл	anger	0.812
tyrant	дарангуйлагч	anger	0.812
fucksake	яриач	anger	0.812
pissedoff	уурлах	anger	0.812
vendetta	худалдах	anger	0.812
fierce	догшин	anger	0.812
destroyer	устгагч	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	Барбари муутай	anger	0.812
anger	уур хилэн	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	тулаан	anger	0.803
punched	цоолсон	anger	0.803
bitch	гичий	anger	0.803
punching	олшрох	anger	0.803
homicide	хүн амины хэрэг	anger	0.803
destructive	хор хөнөөлтэй	anger	0.797
ruthless	харгис хэрцгий	anger	0.797
villainous	муу санаатай	anger	0.797
slap	Завсар	anger	0.791
slaughterhouse	нядалгааны газар	anger	0.788
punishing	шийтгэх	anger	0.788
destroyed	устгагдсан	anger	0.788
retaliatory	хариу арга хэмжээ авах	anger	0.788
riot	бослого	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	хашгирах	anger	0.788
growthefuckup	өсөх болно	anger	0.788
diabolical	бүдүүлэг юм	anger	0.788
