word	Norwegian-no	emotion	emotion-intensity-score
outraged	rasende	anger	0.964
brutality	brutalitet	anger	0.959
hatred	hat	anger	0.953
hateful	hatsk	anger	0.940
terrorize	terror	anger	0.939
violently	voldelig	anger	0.938
infuriated	rasende	anger	0.938
furious	rasende	anger	0.929
enraged	rasende	anger	0.927
furiously	rasende	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	morder	anger	0.922
fury	raseri	anger	0.922
execution	henrettelse	anger	0.917
angered	sint	anger	0.916
savagery	villskap	anger	0.915
slaughtering	slakting	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	utslettelse	anger	0.912
assassinate	myrde	anger	0.912
rage	raseri	anger	0.911
loathe	avsky	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	fortapelse	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	morderisk	anger	0.906
furor	furor	anger	0.900
hostile	fiendtlig	anger	0.898
annihilate	utslette	anger	0.898
murder	mord	anger	0.897
raging	rasende	anger	0.896
vengeful	hevngjerrig	anger	0.894
rape	voldtekt	anger	0.894
ferocious	glupsk	anger	0.894
pissed	forbannet	anger	0.894
obliterated	utslettet	anger	0.894
infuriates	rasende	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplosiv	anger	0.894
killing	drap	anger	0.893
combative	stridslystne	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	hevn	anger	0.886
torment	pine	anger	0.885
wrath	vrede	anger	0.885
vicious	ond	anger	0.884
massacre	massakre	anger	0.882
threatening	truende	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	avskyelig	anger	0.875
bloodthirsty	blodtørstig	anger	0.875
fighting	slåssing	anger	0.868
annihilated	utslettet	anger	0.865
attacking	angripe	anger	0.865
angriest	angriest	anger	0.864
bloodshed	blodsutgytelse	anger	0.864
smite	slå	anger	0.862
brawl	slåsskamp	anger	0.861
assault	overfall	anger	0.859
malicious	skadelig	anger	0.859
strangle	kvele	anger	0.859
tirade	tirade	anger	0.859
explode	eksplodere	anger	0.859
assassination	attentat	anger	0.859
hostility	fiendtlighet	anger	0.859
loathsome	motbydelig	anger	0.857
hell	helvete	anger	0.853
murderous	morderisk	anger	0.853
attack	angrep	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	slår	anger	0.849
desecration	skjending	anger	0.848
pissingmeoff	gjør meg forbanna	anger	0.848
outrage	raseri	anger	0.848
stab	stikke	anger	0.844
slaughter	slakte	anger	0.844
violent	voldelig	anger	0.844
destroying	ødelegge	anger	0.844
abomination	styggedom	anger	0.844
tumultuous	stormende	anger	0.844
irate	rasende	anger	0.844
infuriate	gjøre rasende	anger	0.844
obliterate	utslette	anger	0.843
belligerent	Fiendtlig	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	avsky	anger	0.838
hostilities	fiendtlighetene	anger	0.837
prick	stikk	anger	0.835
torture	tortur	anger	0.833
rabid	rabiat	anger	0.833
horrid	vemmelig	anger	0.833
rampage	rampage	anger	0.833
cruelty	grusomhet	anger	0.833
hate	hat	anger	0.828
demonic	demoniske	anger	0.828
hating	hating	anger	0.828
satanic	satanisk	anger	0.828
tyrannical	tyranniske	anger	0.828
ragemode	ragemode	anger	0.828
despicable	avskyelig	anger	0.828
ruinous	ødeleggende	anger	0.825
condemn	fordømme	anger	0.825
riots	opptøyer	anger	0.824
demolish	rive	anger	0.824
angry	sint	anger	0.824
extermination	utryddelse	anger	0.824
dickhead	kødd	anger	0.824
livid	Bleik	anger	0.821
madman	galning	anger	0.820
vindictive	hevngjerrig	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	grusomhet	anger	0.818
venomous	giftig	anger	0.818
threaten	true	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	avsky	anger	0.816
savage	villmann	anger	0.814
atrocity	grusomhet	anger	0.814
carnage	blodbad	anger	0.814
berserk	Berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misbruke	anger	0.812
tyrant	tyrann	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	voldsom	anger	0.812
destroyer	ødelegger	anger	0.812
pissesmeoff	gjør meg sint	anger	0.812
fuming	illsint	anger	0.812
barbaric	barbariske	anger	0.812
anger	sinne	anger	0.811
pieceofshit	pieceofshit	anger	0.810
