word	Nyanja (Chichewa)-ny	emotion	emotion-intensity-score
outraged	wokwiya	anger	0.964
brutality	nkhanza	anger	0.959
hatred	chidani	anger	0.953
hateful	chidani	anger	0.940
terrorize	kuopseza	anger	0.939
violently	mwachiwawa	anger	0.938
infuriated	atakwiya	anger	0.938
furious	wokwiya	anger	0.929
enraged	wokwiya	anger	0.927
furiously	mwaukali	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	wakupha	anger	0.922
fury	ukali	anger	0.922
execution	kuphedwa	anger	0.917
angered	anakwiya	anger	0.916
savagery	zosokoneza	anger	0.915
slaughtering	kupha	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	chiwonongeko	anger	0.912
assassinate	kupha	anger	0.912
rage	mkwiyo	anger	0.911
loathe	zonyansa	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	chiwonongeko	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	kudzipha	anger	0.906
furor	furor	anger	0.900
hostile	nkhanza	anger	0.898
annihilate	chiwonongeko	anger	0.898
murder	kupha	anger	0.897
raging	wokwiya	anger	0.896
vengeful	kubwezera	anger	0.894
rape	kugwirira	anger	0.894
ferocious	zoopsa	anger	0.894
pissed	adanyozedwa	anger	0.894
obliterated	ochotsedwa	anger	0.894
infuriates	amakwiya	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	kuphulika	anger	0.894
killing	kupha	anger	0.893
combative	kuphwanya	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	kubwezera	anger	0.886
torment	kuzunzika	anger	0.885
wrath	mkwiyo	anger	0.885
vicious	zoipa	anger	0.884
massacre	kupha	anger	0.882
threatening	kuopseza	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	zonyansa	anger	0.875
bloodthirsty	magazi	anger	0.875
fighting	kumenyana	anger	0.868
annihilated	anawonongedwa	anger	0.865
attacking	kuwukira	anger	0.865
angriest	zowawa	anger	0.864
bloodshed	kukhetsa mwazi	anger	0.864
smite	kanthe	anger	0.862
brawl	chisokonezo	anger	0.861
assault	chiwawa	anger	0.859
malicious	zoipa	anger	0.859
strangle	sungani	anger	0.859
tirade	tirade	anger	0.859
explode	phuluka	anger	0.859
assassination	kuphedwa	anger	0.859
hostility	chidani	anger	0.859
loathsome	zonyansa	anger	0.857
hell	gehena	anger	0.853
murderous	wakupha	anger	0.853
attack	kuukira	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	uchigawenga	anger	0.851
beating	kumenya	anger	0.849
desecration	kusokoneza	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	mkwiyo	anger	0.848
stab	mbola	anger	0.844
slaughter	kuphedwa	anger	0.844
violent	wachiwawa	anger	0.844
destroying	kuwononga	anger	0.844
abomination	chonyansa	anger	0.844
tumultuous	chisokonezo	anger	0.844
irate	kukwiya	anger	0.844
infuriate	wokwiya	anger	0.844
obliterate	kuwononga	anger	0.843
belligerent	nkhanza	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	zonyansa	anger	0.838
hostilities	nkhanza	anger	0.837
prick	choyamba	anger	0.835
torture	kuzunza	anger	0.833
rabid	kukwiya	anger	0.833
horrid	zovuta	anger	0.833
rampage	kusokoneza	anger	0.833
cruelty	nkhanza	anger	0.833
hate	kudana	anger	0.828
demonic	ziwanda	anger	0.828
hating	kudana	anger	0.828
satanic	satana	anger	0.828
tyrannical	achiwawa	anger	0.828
ragemode	ragemode	anger	0.828
despicable	zonyansa	anger	0.828
ruinous	zopweteka	anger	0.825
condemn	kutsutsa	anger	0.825
riots	ziwawa	anger	0.824
demolish	kuwononga	anger	0.824
angry	wokwiya	anger	0.824
extermination	kutha	anger	0.824
dickhead	mutu wamutu	anger	0.824
livid	zovuta	anger	0.821
madman	wamisala	anger	0.820
vindictive	kutsutsa	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	zonyansa	anger	0.818
venomous	zowopsa	anger	0.818
threaten	kuopseza	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	zigawenga	anger	0.818
abhor	kudana	anger	0.816
savage	zoopsa	anger	0.814
atrocity	nkhanza	anger	0.814
carnage	kukupha	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	nkhanza	anger	0.812
tyrant	wozunza	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	kwiyitsa	anger	0.812
vendetta	vendetta	anger	0.812
fierce	woopsa	anger	0.812
destroyer	wowononga	anger	0.812
