word	Pashto-ps	emotion	emotion-intensity-score
outraged	ناڅاپه	anger	0.964
brutality	ظلم	anger	0.959
hatred	نفرت	anger	0.953
hateful	نفرت	anger	0.940
terrorize	تروریزم کول	anger	0.939
violently	سرغړونه	anger	0.938
infuriated	خپور شوی	anger	0.938
furious	ناڅاپه	anger	0.929
enraged	غصب شوی	anger	0.927
furiously	په درنښت	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	قاتل	anger	0.922
fury	غصب	anger	0.922
execution	اعدام	anger	0.917
angered	غوسه شوی	anger	0.916
savagery	سپکاوی	anger	0.915
slaughtering	وژنه	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	پایه	anger	0.912
annihilation	تخفیف	anger	0.912
assassinate	وژنه	anger	0.912
rage	غصب	anger	0.911
loathe	لوټی	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	اختطاف	anger	0.906
fucktard	ټوټریټ	anger	0.906
homicidal	کورنی	anger	0.906
furor	څراغ	anger	0.900
hostile	دښمنان	anger	0.898
annihilate	ړنګول	anger	0.898
murder	وژنه	anger	0.897
raging	زنګونه	anger	0.896
vengeful	انتقالي	anger	0.894
rape	جنسي تیري	anger	0.894
ferocious	غصب	anger	0.894
pissed	خندا	anger	0.894
obliterated	لغوه شوی	anger	0.894
infuriates	تیریږي	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	چاودیدونکي توکي	anger	0.894
killing	وژنه	anger	0.893
combative	ملګري	anger	0.891
gofuckyourself	خپل ځان	anger	0.886
vengeance	انتقام	anger	0.886
torment	عذاب	anger	0.885
wrath	غضب	anger	0.885
vicious	شیطان	anger	0.884
massacre	وژنې	anger	0.882
threatening	ګواښول	anger	0.882
pissoff	ووځه بهرته	anger	0.875
abhorrent	خوندور	anger	0.875
bloodthirsty	وینې	anger	0.875
fighting	جګړه	anger	0.868
annihilated	ضیاع شوی	anger	0.865
attacking	برید کول	anger	0.865
angriest	زاړه	anger	0.864
bloodshed	وینې وینې	anger	0.864
smite	سپو	anger	0.862
brawl	شخړه	anger	0.861
assault	حمله	anger	0.859
malicious	ناوړه	anger	0.859
strangle	اجنډا	anger	0.859
tirade	ټیرډ	anger	0.859
explode	چاودنه	anger	0.859
assassination	وژنه	anger	0.859
hostility	دښمنۍ	anger	0.859
loathsome	لوېدیځ	anger	0.857
hell	دوزخ	anger	0.853
murderous	وژنه	anger	0.853
attack	برید	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ترهګري	anger	0.851
beating	وهل	anger	0.849
desecration	توپان	anger	0.848
pissingmeoff	پیسینګیف	anger	0.848
outrage	غوسه	anger	0.848
stab	پټه	anger	0.844
slaughter	وژنه	anger	0.844
violent	تاوتریخوالی	anger	0.844
destroying	تباه کول	anger	0.844
abomination	ککړتيا	anger	0.844
tumultuous	خوندور	anger	0.844
irate	مغل	anger	0.844
infuriate	ناڅاپه	anger	0.844
obliterate	له منځه ځي	anger	0.843
belligerent	بېځايه	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ویرول	anger	0.838
hostilities	جنګيالي	anger	0.837
prick	پيچل	anger	0.835
torture	شکنجې	anger	0.833
rabid	سپکاوی	anger	0.833
horrid	خندا	anger	0.833
rampage	غصب	anger	0.833
cruelty	ظلم	anger	0.833
hate	نفرت	anger	0.828
demonic	شیطان	anger	0.828
hating	نفرت	anger	0.828
satanic	شیان	anger	0.828
tyrannical	ظالمانه	anger	0.828
ragemode	Ragemode	anger	0.828
despicable	ناڅاپه	anger	0.828
ruinous	ویجاړونکی	anger	0.825
condemn	غندل	anger	0.825
riots	فساد	anger	0.824
demolish	ړنګول	anger	0.824
angry	غوسه	anger	0.824
extermination	ړنګول	anger	0.824
dickhead	ډکریډ	anger	0.824
livid	لطفا	anger	0.821
madman	لېونی	anger	0.820
vindictive	وحشیانه	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	تنفس	anger	0.818
venomous	ناڅاپه	anger	0.818
threaten	ګواښول	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ترهګر	anger	0.818
abhor	خوره	anger	0.816
savage	وحشي	anger	0.814
atrocity	ظلم	anger	0.814
carnage	غصب	anger	0.814
berserk	ناڅاپه	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ناوړه ګټه اخیستنه	anger	0.812
tyrant	ظالم	anger	0.812
fucksake	ورزش	anger	0.812
pissedoff	قهریدل	anger	0.812
vendetta	ویډیټا	anger	0.812
fierce	سخته	anger	0.812
destroyer	ویجاړونکی	anger	0.812
pissesmeoff	پسيسايم	anger	0.812
fuming	خوله کول	anger	0.812
barbaric	وحشي	anger	0.812
anger	غوسه	anger	0.811
pieceofshit	نقشه	anger	0.810
slam	سلیم	anger	0.803
fights	جګړه	anger	0.803
punched	سوځیدلی	anger	0.803
bitch	کښته	anger	0.803
punching	پوند کول	anger	0.803
homicide	وژنه	anger	0.803
destructive	ویجاړونکی	anger	0.797
ruthless	بې رحمه	anger	0.797
villainous	ناڅاپه	anger	0.797
slap	تڼۍ	anger	0.791
slaughterhouse	وژنه	anger	0.788
punishing	سزا ورکول	anger	0.788
destroyed	ویجاړ شوی	anger	0.788
retaliatory	انتقالي	anger	0.788
riot	فساد	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ژړل	anger	0.788
growthefuckup	پرمختللی	anger	0.788
diabolical	ډابوليکي	anger	0.788
manslaughter	لاسي	anger	0.783
clash	جګړه	anger	0.783
bloody	وینې	anger	0.781
hellish	هیلوش	anger	0.781
loath	لوټ	anger	0.781
detonation	تاوان	anger	0.781
quarrel	تاوان	anger	0.781
sinister	سګرټ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	تورونه	anger	0.779
treacherous	خیانت	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	بیا کتل	anger	0.773
revulsion	تاوان	anger	0.773
madder	مدیر	anger	0.773
horrific	افسوس	anger	0.773
scorn	ټوټه شوه	anger	0.769
deplorable	ناڅاپه	anger	0.766
bomb	بم	anger	0.766
anarchist	انارشاست	anger	0.765
devastation	تباه	anger	0.765
resent	غصب	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	حساس	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ظالمانه	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	وژنه	anger	0.758
smash	خوله	anger	0.758
rant	رینټ	anger	0.758
outburst	غلا	anger	0.757
snarl	انځور	anger	0.754
profane	ګران	anger	0.750
offend	تیریدل	anger	0.750
douchebags	دوچبغ	anger	0.750
growling	کرنه کول	anger	0.750
stfu	سټیف	anger	0.750
vulgarity	ناڅاپه	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	ټوټه شوی	anger	0.750
despise	ناڅاپه	anger	0.750
horror	ډار	anger	0.750
aggravating	زغم	anger	0.750
revolting	بغاوت کول	anger	0.750
fuckedoff	سرلیک	anger	0.742
threat	ګواښ	anger	0.742
erupt	د	anger	0.742
screaming	چيغې وهل	anger	0.742
violence	تاوتریخوالی	anger	0.742
horrible	ډارونکی	anger	0.742
molestation	تاوان	anger	0.742
bastards	بوټان	anger	0.741
revenge	انتقالي	anger	0.738
catastrophe	آفت وژونکی	anger	0.735
menacing	نارینه	anger	0.735
demon	شیطان	anger	0.735
crushing	کرشنگ	anger	0.735
damn	لعنت پر	anger	0.735
persecute	ځورول	anger	0.734
argue	بحث وکړئ	anger	0.734
flog	بوی	anger	0.734
revolt	بغاوت	anger	0.734
thrash	غلا کول	anger	0.734
deplore	بې ځایه شوی	anger	0.734
warfare	جګړه	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ټوټه	anger	0.734
riotous	ډاريږي	anger	0.734
altercation	تکرار	anger	0.729
warlike	جنګیالي	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	متقابل	anger	0.727
castrate	کاستریټ	anger	0.727
sabotage	سباوټ	anger	0.727
malevolent	کمزوری	anger	0.721
strike	حمله	anger	0.721
disaster	ناورین	anger	0.721
disastrous	ناورین	anger	0.720
tumult	خوله	anger	0.719
madden	مډن	anger	0.719
devil	شیطان	anger	0.719
scream	چیغه	anger	0.719
brutal	ظالمانه	anger	0.719
treachery	خیانت	anger	0.719
scorching	ډک	anger	0.719
vermin	واټن	anger	0.719
arseholes	arseholes	anger	0.719
