word	Persian-fa	emotion	emotion-intensity-score
outraged	خشمگین	anger	0.964
brutality	وحشیگری	anger	0.959
hatred	نفرت	anger	0.953
hateful	نفرت انگیز	anger	0.940
terrorize	ترور کردن	anger	0.939
violently	خشونت آمیز	anger	0.938
infuriated	خشمگین	anger	0.938
furious	خشمگین	anger	0.929
enraged	خشمگین	anger	0.927
furiously	خشمگین	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	قاتل	anger	0.922
fury	خشم	anger	0.922
execution	اجرا	anger	0.917
angered	خشمگین	anger	0.916
savagery	وحشیگری	anger	0.915
slaughtering	کشتار	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	فوکوف	anger	0.912
annihilation	نابودی	anger	0.912
assassinate	ترور	anger	0.912
rage	خشم	anger	0.911
loathe	لعنتی	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	لعنت	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	قاتل	anger	0.906
furor	خنده	anger	0.900
hostile	خصومت آمیز	anger	0.898
annihilate	نابود کردن	anger	0.898
murder	آدم کشی	anger	0.897
raging	مهاجم	anger	0.896
vengeful	انتقام	anger	0.894
rape	تجاوز به عنف	anger	0.894
ferocious	وحشی	anger	0.894
pissed	ترسناک	anger	0.894
obliterated	نابود شد	anger	0.894
infuriates	عصبانی می شود	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	انفجاری	anger	0.894
killing	کشتن	anger	0.893
combative	مبارز	anger	0.891
gofuckyourself	برو	anger	0.886
vengeance	انتقام	anger	0.886
torment	عذاب	anger	0.885
wrath	خشم	anger	0.885
vicious	شریر، بدجنس، حیوان صفت	anger	0.884
massacre	قتل عام	anger	0.882
threatening	تهدید کننده	anger	0.882
pissoff	پیزوف	anger	0.875
abhorrent	غم انگیز	anger	0.875
bloodthirsty	خون آشام	anger	0.875
fighting	دعوا کردن	anger	0.868
annihilated	نابود شد	anger	0.865
attacking	هجوم بردن	anger	0.865
angriest	خشمگین	anger	0.864
bloodshed	خونریزی	anger	0.864
smite	ضربه بزنید	anger	0.862
brawl	نزاع	anger	0.861
assault	حمله	anger	0.859
malicious	مخرب	anger	0.859
strangle	خفه شدن	anger	0.859
tirade	تیراد	anger	0.859
explode	منفجر شود	anger	0.859
assassination	ترور	anger	0.859
hostility	خصومت	anger	0.859
loathsome	لعنتی	anger	0.857
hell	جهنم	anger	0.853
murderous	مرگبار	anger	0.853
attack	حمله	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	تروریسم	anger	0.851
beating	كتك زدن	anger	0.849
desecration	بی رحمانه	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	خشم	anger	0.848
stab	خم شدن	anger	0.844
slaughter	کشتار	anger	0.844
violent	خشن	anger	0.844
destroying	از بین بردن	anger	0.844
abomination	بی حوصلگی	anger	0.844
tumultuous	پر سر و صدا	anger	0.844
