word	Polish-pl	emotion	emotion-intensity-score
outraged	oburzony	anger	0.964
brutality	brutalność	anger	0.959
hatred	nienawiść	anger	0.953
hateful	nienawistny	anger	0.940
terrorize	terroryzować	anger	0.939
violently	gwałtownie	anger	0.938
infuriated	rozwścieczony	anger	0.938
furious	wściekły	anger	0.929
enraged	rozwścieczony	anger	0.927
furiously	wściekle	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	morderca	anger	0.922
fury	Furia	anger	0.922
execution	wykonanie	anger	0.917
angered	rozgniewany	anger	0.916
savagery	dzikość	anger	0.915
slaughtering	ubój	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	kurwa	anger	0.912
annihilation	unicestwienie	anger	0.912
assassinate	dokonać zamachu	anger	0.912
rage	wściekłość	anger	0.911
loathe	brzydzić	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	potępienie	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	morderczy	anger	0.906
furor	furora	anger	0.900
hostile	wrogi	anger	0.898
annihilate	zniszczyć	anger	0.898
murder	morderstwo	anger	0.897
raging	wściekły	anger	0.896
vengeful	mściwy	anger	0.894
rape	rzepak	anger	0.894
ferocious	srogi	anger	0.894
pissed	zalany	anger	0.894
obliterated	zatarte	anger	0.894
infuriates	doprowadza do furii	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	materiał wybuchowy	anger	0.894
killing	zabicie	anger	0.893
combative	wojowniczy	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	zemsta	anger	0.886
torment	dręczyć	anger	0.885
wrath	gniew	anger	0.885
vicious	złośliwy	anger	0.884
massacre	masakra	anger	0.882
threatening	groźny	anger	0.882
pissoff	odwal się	anger	0.875
abhorrent	odrażający	anger	0.875
bloodthirsty	krwiożerczy	anger	0.875
fighting	walczący	anger	0.868
annihilated	unicestwiony	anger	0.865
attacking	napadający	anger	0.865
angriest	bardziej angriest	anger	0.864
bloodshed	rozlew krwi	anger	0.864
smite	porazić	anger	0.862
brawl	bijatyka	anger	0.861
assault	atak	anger	0.859
malicious	złośliwy	anger	0.859
strangle	udusić	anger	0.859
tirade	tyrada	anger	0.859
explode	eksplodować	anger	0.859
assassination	zamach	anger	0.859
hostility	wrogość	anger	0.859
loathsome	odrażający	anger	0.857
hell	piekło	anger	0.853
murderous	morderczy	anger	0.853
attack	atak	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terroryzm	anger	0.851
