word	Portuguese (Portugal, Brazil)-pt	emotion	emotion-intensity-score
outraged	indignado	anger	0.964
brutality	brutalidade	anger	0.959
hatred	ódio	anger	0.953
hateful	odioso	anger	0.940
terrorize	aterrorizar	anger	0.939
violently	violentamente	anger	0.938
infuriated	enfurecido	anger	0.938
furious	furioso	anger	0.929
enraged	enfurecido	anger	0.927
furiously	furiosamente	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	assassino	anger	0.922
fury	fúria	anger	0.922
execution	execução	anger	0.917
angered	irritado	anger	0.916
savagery	selvageria	anger	0.915
slaughtering	abate	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	idiota	anger	0.912
annihilation	aniquilação	anger	0.912
assassinate	assassinar	anger	0.912
rage	raiva	anger	0.911
loathe	detestar	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	condenação	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicida	anger	0.906
furor	furor	anger	0.900
hostile	hostil	anger	0.898
annihilate	aniquilar	anger	0.898
murder	assassinato	anger	0.897
raging	enfurecido	anger	0.896
vengeful	vingativo	anger	0.894
rape	estupro	anger	0.894
ferocious	feroz	anger	0.894
pissed	puto	anger	0.894
obliterated	obliterado	anger	0.894
infuriates	enfurece	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosivo	anger	0.894
killing	matando	anger	0.893
combative	combativo	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	vingança	anger	0.886
torment	tormento	anger	0.885
wrath	ira	anger	0.885
vicious	vicioso	anger	0.884
massacre	massacre	anger	0.882
threatening	ameaçador	anger	0.882
pissoff	não me chateies	anger	0.875
abhorrent	repugnante	anger	0.875
bloodthirsty	sanguinário	anger	0.875
fighting	combate	anger	0.868
annihilated	aniquilado	anger	0.865
attacking	atacante	anger	0.865
angriest	mais raivoso	anger	0.864
bloodshed	derramamento de sangue	anger	0.864
smite	desbaratar	anger	0.862
brawl	briga	anger	0.861
assault	assalto	anger	0.859
malicious	malicioso	anger	0.859
strangle	estrangular	anger	0.859
tirade	tirada	anger	0.859
explode	explodir	anger	0.859
assassination	assassinato	anger	0.859
hostility	hostilidade	anger	0.859
loathsome	repugnante	anger	0.857
hell	inferno	anger	0.853
murderous	assassino	anger	0.853
attack	ataque	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorismo	anger	0.851
beating	espancamento	anger	0.849
desecration	profanação	anger	0.848
pissingmeoff	mijandomeoff	anger	0.848
outrage	ultraje	anger	0.848
stab	facada	anger	0.844
slaughter	abate	anger	0.844
violent	violento	anger	0.844
destroying	destruindo	anger	0.844
abomination	abominação	anger	0.844
tumultuous	tumultuado	anger	0.844
irate	irado	anger	0.844
infuriate	enfurecer	anger	0.844
