word	Samoan-sm	emotion	emotion-intensity-score
outraged	ita	anger	0.964
brutality	saua	anger	0.959
hatred	inoino	anger	0.953
hateful	inoino	anger	0.940
terrorize	fefefe	anger	0.939
violently	ma le sauā	anger	0.938
infuriated	ita tele	anger	0.938
furious	ita tele	anger	0.929
enraged	ita	anger	0.927
furiously	ita tele	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	fasioti tagata	anger	0.922
fury	toʻasā	anger	0.922
execution	fasioti tagata	anger	0.917
angered	ita	anger	0.916
savagery	faʻasologa	anger	0.915
slaughtering	fasiotia	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	faʻaumatia	anger	0.912
assassinate	fasioti tagata	anger	0.912
rage	ita	anger	0.911
loathe	ita	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	faʻasalaga	anger	0.906
fucktard	fuckardard	anger	0.906
homicidal	faʻatau	anger	0.906
furor	uila	anger	0.900
hostile	ita	anger	0.898
annihilate	faʻaumatia	anger	0.898
murder	fasioti tagata	anger	0.897
raging	osofaʻi	anger	0.896
vengeful	faʻasalaga	anger	0.894
rape	faʻailoga	anger	0.894
ferocious	feʻai	anger	0.894
pissed	feʻai	anger	0.894
obliterated	faʻaumatia	anger	0.894
infuriates	ita tele	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	mea pāpā	anger	0.894
killing	fasiotia	anger	0.893
combative	sosoʻo	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	tauimasui	anger	0.886
torment	mafatiaga	anger	0.885
wrath	ita	anger	0.885
vicious	mataʻutia	anger	0.884
massacre	fasioti tagata	anger	0.882
threatening	taufaamatau	anger	0.882
pissoff	kaoga ese	anger	0.875
abhorrent	inoino	anger	0.875
bloodthirsty	toto	anger	0.875
fighting	taua	anger	0.868
annihilated	faʻaumatia	anger	0.865
attacking	osofaia	anger	0.865
angriest	faʻamasino	anger	0.864
bloodshed	toto masaa	anger	0.864
smite	taia	anger	0.862
brawl	faʻailoga	anger	0.861
assault	osofaʻiga	anger	0.859
malicious	leaga	anger	0.859
strangle	strangle	anger	0.859
tirade	taimi	anger	0.859
explode	faʻalavelave	anger	0.859
assassination	fasioti tagata	anger	0.859
hostility	ita	anger	0.859
loathsome	mea inosia	anger	0.857
hell	seoli	anger	0.853
murderous	fasioti tagata	anger	0.853
attack	osofaʻiga	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	faiga faatupu faalavelave	anger	0.851
beating	sasaina	anger	0.849
desecration	leaga	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ita	anger	0.848
stab	toso	anger	0.844
slaughter	fasiga	anger	0.844
violent	vevesi	anger	0.844
destroying	faʻaumatia	anger	0.844
abomination	mea inosia	anger	0.844
tumultuous	vevesi	anger	0.844
irate	irate	anger	0.844
infuriate	ita tele	anger	0.844
obliterate	faʻaumatia	anger	0.843
belligerent	faʻanunununu	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	inoino	anger	0.838
hostilities	osofaiga	anger	0.837
prick	prick	anger	0.835
torture	faʻaleagaina	anger	0.833
rabid	fabid	anger	0.833
horrid	mataʻutia	anger	0.833
rampage	faʻailoga	anger	0.833
cruelty	saua	anger	0.833
hate	inoino	anger	0.828
demonic	temoni	anger	0.828
hating	inoino	anger	0.828
satanic	satanic	anger	0.828
tyrannical	amio pulea	anger	0.828
ragemode	ita tele	anger	0.828
despicable	inoino	anger	0.828
ruinous	leaga	anger	0.825
condemn	tausalaina	anger	0.825
riots	vevesi	anger	0.824
demolish	talepe	anger	0.824
angry	ita	anger	0.824
extermination	faʻaumatia	anger	0.824
dickhead	toso	anger	0.824
livid	livid	anger	0.821
madman	valea	anger	0.820
vindictive	faʻamaonia	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	feololo	anger	0.818
venomous	gaʻo	anger	0.818
threaten	taufaamatau	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	tagata faatupu faalavelave	anger	0.818
abhor	inoino	anger	0.816
savage	leaga	anger	0.814
atrocity	toilalo	anger	0.814
carnage	tagata oti	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	faʻaleagaina	anger	0.812
tyrant	ita	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	alu ese ia	anger	0.812
vendetta	tagata faʻatau	anger	0.812
fierce	leaga	anger	0.812
destroyer	faʻaumatia	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fufulu	anger	0.812
barbaric	feʻai	anger	0.812
anger	ita	anger	0.811
pieceofshit	lapoʻa	anger	0.810
slam	slam	anger	0.803
fights	taua	anger	0.803
punched	puno	anger	0.803
bitch	fasipolo	anger	0.803
punching	tosoina	anger	0.803
homicide	fasioti tagata	anger	0.803
destructive	faʻaumatia	anger	0.797
ruthless	leai se tasi	anger	0.797
villainous	tagata leaga	anger	0.797
slap	tui	anger	0.791
slaughterhouse	fale fasimanu	anger	0.788
punishing	faʻasalaga	anger	0.788
destroyed	faʻaumatia	anger	0.788
retaliatory	toe taui	anger	0.788
riot	fouvalega	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	tagi	anger	0.788
growthefuckup	Growthefuckup	anger	0.788
diabolical	tiapolo	anger	0.788
manslaughter	fasioti tagata	anger	0.783
clash	feteenaʻiga	anger	0.783
bloody	toto	anger	0.781
hellish	seoli	anger	0.781
loath	ita	anger	0.781
detonation	faʻasalaga	anger	0.781
quarrel	finau	anger	0.781
sinister	agasala	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	molia	anger	0.779
treacherous	taufaaleaga	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	taui ma sui	anger	0.773
revulsion	osofaiga	anger	0.773
madder	madder	anger	0.773
horrific	mataʻutia	anger	0.773
scorn	ulavale	anger	0.769
deplorable	mea leaga	anger	0.766
bomb	pomu	anger	0.766
anarchist	anarchist	anger	0.765
devastation	faʻaleagaga	anger	0.765
resent	ita	anger	0.765
firestorm	mu	anger	0.765
contemptible	taufaaleaga	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	saua	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	oti	anger	0.758
smash	talepe	anger	0.758
rant	rant	anger	0.758
outburst	ita	anger	0.757
snarl	sulu	anger	0.754
profane	leaga	anger	0.750
offend	ita	anger	0.750
douchebags	douchebags	anger	0.750
growling	sosolo	anger	0.750
stfu	stfu	anger	0.750
