word	Serbian-sr	emotion	emotion-intensity-score
outraged	узнемирени	anger	0.964
brutality	бруталност	anger	0.959
hatred	мржња	anger	0.953
hateful	хатефул	anger	0.940
terrorize	терроризе	anger	0.939
violently	насилно	anger	0.938
infuriated	инфициран	anger	0.938
furious	бесан	anger	0.929
enraged	узнемирен	anger	0.927
furiously	фуриозно	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	убица	anger	0.922
fury	бес	anger	0.922
execution	извршење	anger	0.917
angered	љутито	anger	0.916
savagery	савагери	anger	0.915
slaughtering	клање	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	фуцкофф	anger	0.912
annihilation	анихилација	anger	0.912
assassinate	атентат	anger	0.912
rage	бес	anger	0.911
loathe	лоатхе	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	проклетство	anger	0.906
fucktard	фуцктард	anger	0.906
homicidal	убиство	anger	0.906
furor	фурор	anger	0.900
hostile	непријатељски	anger	0.898
annihilate	уништити	anger	0.898
murder	убиство	anger	0.897
raging	бесни	anger	0.896
vengeful	осветољубив	anger	0.894
rape	силовање	anger	0.894
ferocious	свесно	anger	0.894
pissed	љут	anger	0.894
obliterated	избрисана	anger	0.894
infuriates	инфурира	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	експлозивно	anger	0.894
killing	убијање	anger	0.893
combative	борбена	anger	0.891
gofuckyourself	гофуцкиоурселф	anger	0.886
vengeance	освета	anger	0.886
torment	мучење	anger	0.885
wrath	гњев	anger	0.885
vicious	покварен	anger	0.884
massacre	масакр	anger	0.882
threatening	претња	anger	0.882
pissoff	одјеби	anger	0.875
abhorrent	одвратан	anger	0.875
bloodthirsty	крволочно	anger	0.875
fighting	борбе	anger	0.868
annihilated	уништен	anger	0.865
attacking	нападају	anger	0.865
angriest	љутито	anger	0.864
bloodshed	крвопролиће	anger	0.864
smite	смите	anger	0.862
brawl	бравл	anger	0.861
assault	напад	anger	0.859
malicious	злонамерни	anger	0.859
strangle	задавити	anger	0.859
tirade	тираде	anger	0.859
explode	експлодира	anger	0.859
assassination	атентат	anger	0.859
hostility	непријатељство	anger	0.859
loathsome	одвратно	anger	0.857
hell	пакао	anger	0.853
murderous	убилачки	anger	0.853
attack	напад	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	тероризам	anger	0.851
beating	премлаћивање	anger	0.849
desecration	скрнављење	anger	0.848
pissingmeoff	писсингмеофф	anger	0.848
outrage	бесни	anger	0.848
stab	убод	anger	0.844
slaughter	клање	anger	0.844
violent	насилан	anger	0.844
destroying	уништавајући	anger	0.844
abomination	абоминатион	anger	0.844
tumultuous	бурно	anger	0.844
irate	бесмислено	anger	0.844
infuriate	инфурирај	anger	0.844
obliterate	обрисати	anger	0.843
belligerent	ратно	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	одвратите	anger	0.838
hostilities	непријатељства	anger	0.837
prick	прицк	anger	0.835
torture	мучење	anger	0.833
rabid	рабид	anger	0.833
horrid	ужасно	anger	0.833
rampage	разјареност	anger	0.833
cruelty	окрутност	anger	0.833
hate	мрзим	anger	0.828
demonic	демонска	anger	0.828
hating	мрзити	anger	0.828
satanic	сатаниц	anger	0.828
tyrannical	тирански	anger	0.828
ragemode	рагемоде	anger	0.828
despicable	одвратан	anger	0.828
ruinous	руиноус	anger	0.825
condemn	осудити	anger	0.825
riots	немири	anger	0.824
demolish	рушити	anger	0.824
angry	љут	anger	0.824
extermination	истребљење	anger	0.824
dickhead	дицкхеад	anger	0.824
livid	ливид	anger	0.821
madman	лудак	anger	0.820
vindictive	виндицтиве	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	фероцити	anger	0.818
venomous	отровни	anger	0.818
threaten	претити	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	терориста	anger	0.818
abhor	узнемири се	anger	0.816
savage	дивљач	anger	0.814
atrocity	грозот	anger	0.814
carnage	царнаге	anger	0.814
berserk	берсерк	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	злоупотреба	anger	0.812
tyrant	тиран	anger	0.812
fucksake	фуцксаке	anger	0.812
pissedoff	бесан	anger	0.812
vendetta	вендетта	anger	0.812
fierce	жестоко	anger	0.812
destroyer	разарач	anger	0.812
pissesmeoff	писсесмеофф	anger	0.812
fuming	фуминг	anger	0.812
barbaric	варварски	anger	0.812
anger	бес	anger	0.811
pieceofshit	пиецеофсхит	anger	0.810
slam	слам	anger	0.803
fights	борбе	anger	0.803
punched	пуњен	anger	0.803
bitch	кучка	anger	0.803
punching	пробијање	anger	0.803
homicide	убиство	anger	0.803
destructive	деструктивна	anger	0.797
ruthless	немилосрдно	anger	0.797
villainous	лоше	anger	0.797
slap	шамар	anger	0.791
slaughterhouse	кланица	anger	0.788
punishing	казни	anger	0.788
destroyed	уништено	anger	0.788
retaliatory	повредљив	anger	0.788
riot	немири	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	виче	anger	0.788
growthefuckup	гајити јебу	anger	0.788
diabolical	дијаболик	anger	0.788
manslaughter	убиство	anger	0.783
clash	сукоб	anger	0.783
bloody	крваво	anger	0.781
hellish	пакао	anger	0.781
loath	лоат	anger	0.781
detonation	детонација	anger	0.781
quarrel	свађа	anger	0.781
sinister	Злочин	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	оптужујући	anger	0.779
treacherous	издајнички	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	одмазити	anger	0.773
revulsion	револуција	anger	0.773
madder	маддер	anger	0.773
horrific	ужасно	anger	0.773
scorn	презир	anger	0.769
deplorable	жалосно	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархиста	anger	0.765
devastation	девастација	anger	0.765
resent	ресент	anger	0.765
firestorm	ватра	anger	0.765
contemptible	сумњиво	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	окрутно	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	смртоносно	anger	0.758
smash	смасх	anger	0.758
rant	рант	anger	0.758
outburst	избацивање	anger	0.757
snarl	снарл	anger	0.754
profane	профане	anger	0.750
offend	увреде	anger	0.750
douchebags	доуцхебагс	anger	0.750
growling	кретен	anger	0.750
stfu	стфу	anger	0.750
vulgarity	вулгарност	anger	0.750
dontmesswithme	донтмессвитхме	anger	0.750
crazed	цразед	anger	0.750
despise	презирати	anger	0.750
horror	хорор	anger	0.750
aggravating	отежавајуће	anger	0.750
revolting	револтинг	anger	0.750
fuckedoff	фуцкедофф	anger	0.742
threat	претња	anger	0.742
erupt	ерупт	anger	0.742
screaming	вришти	anger	0.742
violence	насиље	anger	0.742
horrible	ужасно	anger	0.742
molestation	злостављање	anger	0.742
bastards	гадови	anger	0.741
revenge	освета	anger	0.738
catastrophe	катастрофа	anger	0.735
menacing	претећи	anger	0.735
demon	демон	anger	0.735
crushing	дробљење	anger	0.735
damn	проклети	anger	0.735
persecute	прогони	anger	0.734
argue	аргуе	anger	0.734
flog	флог	anger	0.734
revolt	побуна	anger	0.734
thrash	трх	anger	0.734
deplore	оштро	anger	0.734
warfare	ратовање	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	вехемент	anger	0.734
riotous	риотно	anger	0.734
altercation	алтерцатион	anger	0.729
warlike	ратно	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	побуна	anger	0.727
castrate	цастрат	anger	0.727
sabotage	саботажа	anger	0.727
malevolent	малеволент	anger	0.721
strike	ударац	anger	0.721
disaster	катастрофа	anger	0.721
disastrous	катастрофалан	anger	0.720
tumult	мутант	anger	0.719
madden	мадден	anger	0.719
devil	ђаво	anger	0.719
scream	вриштати	anger	0.719
brutal	брутално	anger	0.719
treachery	издајство	anger	0.719
scorching	гори	anger	0.719
vermin	вермин	anger	0.719
