word	Shona-sn	emotion	emotion-intensity-score
outraged	akatsamwa	anger	0.964
brutality	utsinye	anger	0.959
hatred	ruvengo	anger	0.953
hateful	vanovenga	anger	0.940
terrorize	kutyisa	anger	0.939
violently	zvine utsinye	anger	0.938
infuriated	kutsamwa	anger	0.938
furious	hasha	anger	0.929
enraged	akatsamwa	anger	0.927
furiously	nekutsamwa	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	muurayi	anger	0.922
fury	hasha	anger	0.922
execution	kuurayiwa	anger	0.917
angered	akatsamwa	anger	0.916
savagery	savagery	anger	0.915
slaughtering	kuuraya	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	kuparadza	anger	0.912
assassinate	kuuraya	anger	0.912
rage	hasha	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	hostile	anger	0.898
annihilate	kuparadza	anger	0.898
murder	kuuraya	anger	0.897
raging	raging	anger	0.896
vengeful	kutsiva	anger	0.894
rape	kubata	anger	0.894
ferocious	zvinotyisa	anger	0.894
pissed	pissed	anger	0.894
obliterated	zvakaparadzwa	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	kuputika	anger	0.894
killing	kuuraya	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	kutsiva	anger	0.886
torment	kutambudzika	anger	0.885
wrath	hasha	anger	0.885
vicious	vane utsinye	anger	0.884
massacre	kuuraya	anger	0.882
threatening	kutyisidzira	anger	0.882
pissoff	ibvapo	anger	0.875
abhorrent	zvinonyangadza	anger	0.875
bloodthirsty	ropa	anger	0.875
fighting	kurwisana	anger	0.868
annihilated	kuparadzwa	anger	0.865
attacking	kurwisa	anger	0.865
angriest	angriest	anger	0.864
bloodshed	kuteura ropa	anger	0.864
smite	smite	anger	0.862
