word	Slovak-sk	emotion	emotion-intensity-score
outraged	pobúrený	anger	0.964
brutality	brutalita	anger	0.959
hatred	nenávisť	anger	0.953
hateful	nenávistný	anger	0.940
terrorize	terorizovať	anger	0.939
violently	násilne	anger	0.938
infuriated	rozzúrený	anger	0.938
furious	zúrivý	anger	0.929
enraged	rozzúrený	anger	0.927
furiously	zúrivo	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	vrah	anger	0.922
fury	zúrivosť	anger	0.922
execution	poprava	anger	0.917
angered	hneval	anger	0.916
savagery	barbar	anger	0.915
slaughtering	porážanie	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	zničenie	anger	0.912
assassinate	zavraždiť	anger	0.912
rage	zlosť	anger	0.911
loathe	ošklivit si	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	zatratenie	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	vražedný	anger	0.906
furor	zúrivosť	anger	0.900
hostile	nepriateľský	anger	0.898
annihilate	vyhladiť	anger	0.898
murder	vražda	anger	0.897
raging	zúriacej	anger	0.896
vengeful	pomstychtivý	anger	0.894
rape	znásilnenia	anger	0.894
ferocious	zúrivý	anger	0.894
pissed	nahnevaný	anger	0.894
obliterated	vyhladené	anger	0.894
infuriates	privádza k zúrivosti	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	výbušný	anger	0.894
killing	zabitie	anger	0.893
combative	bojovný	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	pomsta	anger	0.886
torment	trápenie	anger	0.885
wrath	hnev	anger	0.885
vicious	brutálny	anger	0.884
massacre	masaker	anger	0.882
threatening	hrozivý	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	odporný	anger	0.875
bloodthirsty	krvilačný	anger	0.875
fighting	bojovanie	anger	0.868
annihilated	zničený	anger	0.865
attacking	útočiace	anger	0.865
angriest	nejrozzlobenější	anger	0.864
bloodshed	krviprelievania	anger	0.864
smite	zničiť	anger	0.862
brawl	hádka	anger	0.861
assault	prepadnutia	anger	0.859
malicious	zlomyseľný	anger	0.859
strangle	uškrtiť	anger	0.859
tirade	tiráda	anger	0.859
explode	explodovať	anger	0.859
assassination	vražda	anger	0.859
hostility	nepriateľstvo	anger	0.859
loathsome	odporný	anger	0.857
hell	peklo	anger	0.853
murderous	vražedný	anger	0.853
attack	útok	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorizmus	anger	0.851
beating	bitie	anger	0.849
desecration	znesvätenie	anger	0.848
pissingmeoff	vytočiť ma	anger	0.848
outrage	rozhorčenie	anger	0.848
stab	bodnutie	anger	0.844
slaughter	porážka	anger	0.844
violent	násilný	anger	0.844
destroying	zničenie	anger	0.844
abomination	ohavnosť	anger	0.844
tumultuous	búrlivý	anger	0.844
irate	nahnevaný	anger	0.844
infuriate	rozzúriť	anger	0.844
obliterate	vyhladiť	anger	0.843
belligerent	agresívne	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	nenávidieť	anger	0.838
hostilities	nepriateľské akcie	anger	0.837
prick	bodnutie	anger	0.835
torture	mučenia	anger	0.833
rabid	spupný	anger	0.833
horrid	děsný	anger	0.833
rampage	besnenie	anger	0.833
cruelty	krutosť	anger	0.833
hate	nenávidieť	anger	0.828
demonic	démonický	anger	0.828
hating	nenávidieť	anger	0.828
satanic	diabolský	anger	0.828
tyrannical	tyranský	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	opovrhnutiahodný	anger	0.828
ruinous	zhubný	anger	0.825
condemn	odsúdiť	anger	0.825
riots	nepokoje	anger	0.824
demolish	strhnúť	anger	0.824
angry	nahnevaný	anger	0.824
extermination	vyhubenie	anger	0.824
dickhead	blbec	anger	0.824
livid	rozčúlený	anger	0.821
madman	šialenec	anger	0.820
vindictive	pomstychtivý	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	zúrivosť	anger	0.818
venomous	jedovatý	anger	0.818
threaten	hroziť	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	hroziť sa	anger	0.816
savage	krutý	anger	0.814
atrocity	krutosť	anger	0.814
carnage	krviprelievania	anger	0.814
berserk	šialený	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	zneužívanie	anger	0.812
tyrant	tyran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	nahnevaný	anger	0.812
vendetta	vendeta	anger	0.812
fierce	divoký	anger	0.812
destroyer	torpédoborec	anger	0.812
pissesmeoff	štve ma	anger	0.812
fuming	dymiaci	anger	0.812
barbaric	barbarský	anger	0.812
anger	hnev	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	bojuje	anger	0.803
punched	dierované	anger	0.803
bitch	fena	anger	0.803
punching	dierovanie	anger	0.803
homicide	zabitie	anger	0.803
destructive	deštruktívne	anger	0.797
ruthless	nemilosrdný	anger	0.797
villainous	podlý	anger	0.797
slap	pohlavok	anger	0.791
slaughterhouse	bitúnok	anger	0.788
punishing	trestanie	anger	0.788
destroyed	zničený	anger	0.788
retaliatory	odvetný	anger	0.788
riot	povstanie	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	revať	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolský	anger	0.788
manslaughter	zabitie	anger	0.783
clash	zrážka	anger	0.783
bloody	krvavý	anger	0.781
hellish	pekelný	anger	0.781
loath	neochotný	anger	0.781
detonation	detonácie	anger	0.781
quarrel	hádka	anger	0.781
sinister	zlovestný	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	vyčítavo	anger	0.779
treacherous	zradný	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	oplatiť	anger	0.773
revulsion	odpor	anger	0.773
madder	šialenejšie	anger	0.773
horrific	hrozný	anger	0.773
scorn	opovrhnutie	anger	0.769
deplorable	poľutovaniahodný	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarchista	anger	0.765
devastation	devastácie	anger	0.765
resent	neznášať	anger	0.765
firestorm	Firestorm	anger	0.765
contemptible	opovrhnutiahodný	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	krutý	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	smrteľný	anger	0.758
smash	smeč	anger	0.758
rant	rečnenie	anger	0.758
outburst	výbuch	anger	0.757
snarl	vrčanie	anger	0.754
profane	znevažujúci	anger	0.750
offend	uraziť	anger	0.750
douchebags	douchebags	anger	0.750
growling	vrčanie	anger	0.750
stfu	stfu	anger	0.750
vulgarity	sprostota	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	pobláznený	anger	0.750
despise	opovrhovať	anger	0.750
horror	hrôza	anger	0.750
aggravating	priťažujúce	anger	0.750
revolting	odporný	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	hrozba	anger	0.742
erupt	vybuchnúť	anger	0.742
screaming	jačiace	anger	0.742
violence	násilia	anger	0.742
horrible	hrozný	anger	0.742
molestation	obťažovanie	anger	0.742
bastards	bastardi	anger	0.741
revenge	pomsta	anger	0.738
catastrophe	katastrofa	anger	0.735
menacing	hrozivý	anger	0.735
demon	démon	anger	0.735
crushing	zdrvujúcu	anger	0.735
damn	sakramentsky	anger	0.735
persecute	prenasledovať	anger	0.734
argue	argumentovať	anger	0.734
flog	bičovať	anger	0.734
revolt	vzbura	anger	0.734
thrash	mlátiť	anger	0.734
deplore	ľutovať	anger	0.734
warfare	bojovanie	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehementne	anger	0.734
riotous	hýrivej	anger	0.734
altercation	hádka	anger	0.729
warlike	bojovný	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	vzbura	anger	0.727
castrate	kastrovať	anger	0.727
sabotage	sabotáž	anger	0.727
malevolent	zlovoľné	anger	0.721
strike	štrajk	anger	0.721
disaster	katastrofa	anger	0.721
disastrous	katastrofálne	anger	0.720
tumult	vrava	anger	0.719
madden	rozčúliť	anger	0.719
devil	diabol	anger	0.719
scream	kričať	anger	0.719
brutal	brutálny	anger	0.719
treachery	zrada	anger	0.719
scorching	sálajúce	anger	0.719
vermin	háveď	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	zhoršuje	anger	0.719
spiteful	zlomyseľný	anger	0.719
slay	zavraždiť	anger	0.719
disdain	opovrhnutie	anger	0.719
choke	sýtič	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	anarchizmus	anger	0.714
mutilation	zmrzačenie	anger	0.714
criminal	kriminálnej	anger	0.714
denunciation	denunciace	anger	0.713
punch	punč	anger	0.713
crucifixion	ukrižovanie	anger	0.712
virulence	virulencie	anger	0.712
battled	bojoval	anger	0.712
fatal	smrteľný	anger	0.712
holocaust	holokaust	anger	0.712
blasphemous	znevažujúci	anger	0.712
hurting	bolí	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	pomätený	anger	0.706
atrocious	ukrutný	anger	0.706
evil	zlo	anger	0.706
irritated	podráždený	anger	0.706
assassin	vrah	anger	0.703
dicks	vtáky	anger	0.703
persecution	prenasledovanie	anger	0.703
slayer	vrah	anger	0.703
kidnap	uniesť	anger	0.703
scolding	plísnění	anger	0.703
intimidation	zastrašovanie	anger	0.703
aggravated	zhoršiť	anger	0.703
aggression	agresie	anger	0.702
armed	ozbrojený	anger	0.700
poison	jed	anger	0.697
snarling	vrčící	anger	0.697
venom	jed	anger	0.697
battle	bitka	anger	0.697
disgruntled	rozladený	anger	0.693
insidious	zákerný	anger	0.691
assailant	útočník	anger	0.691
resentment	neľúbosť	anger	0.691
lynch	lynčovať	anger	0.690
contemptuous	pohŕdavý	anger	0.690
temper	zlosť	anger	0.688
imprisonment	uväznenie	anger	0.688
disparage	znevažovať	anger	0.688
bully	tyran	anger	0.688
terrible	príšerný	anger	0.688
lunatic	blázon	anger	0.688
curse	prekliatie	anger	0.688
makesmemad	makesmemad	anger	0.688
peeved	otrávený	anger	0.688
domination	nadvláda	anger	0.688
mad	šialený	anger	0.688
infanticide	novorodencov	anger	0.688
volatility	prchavosť	anger	0.687
eradication	vyhladenie	anger	0.685
tantrum	rapl	anger	0.682
