word	Slovenian-sl	emotion	emotion-intensity-score
outraged	ogorčen	anger	0.964
brutality	brutalnost	anger	0.959
hatred	sovraštvo	anger	0.953
hateful	sovraštvo	anger	0.940
terrorize	terorizem	anger	0.939
violently	nasilno	anger	0.938
infuriated	jezen	anger	0.938
furious	besno	anger	0.929
enraged	jezen	anger	0.927
furiously	nenavadno	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	morilec	anger	0.922
fury	bes	anger	0.922
execution	izvedba	anger	0.917
angered	jezen	anger	0.916
savagery	divjaštvo	anger	0.915
slaughtering	zakol	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	anihilacija	anger	0.912
assassinate	ubiti	anger	0.912
rage	bes	anger	0.911
loathe	prezirati	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	prekletstvo	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	umorni	anger	0.906
furor	furor	anger	0.900
hostile	sovražno	anger	0.898
annihilate	izničiti	anger	0.898
murder	umor	anger	0.897
raging	divja	anger	0.896
vengeful	maščevalen	anger	0.894
rape	posilstvo	anger	0.894
ferocious	svoboden	anger	0.894
pissed	jezen	anger	0.894
obliterated	izbrisane	anger	0.894
infuriates	razbija	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	eksplozivno	anger	0.894
killing	ubijanje	anger	0.893
combative	borec	anger	0.891
gofuckyourself	gremo	anger	0.886
vengeance	maščevanje	anger	0.886
torment	mučenje	anger	0.885
wrath	jeza	anger	0.885
vicious	začaran	anger	0.884
massacre	pokol	anger	0.882
threatening	grozi	anger	0.882
pissoff	razjeziti	anger	0.875
abhorrent	Odvratno	anger	0.875
bloodthirsty	krvoločno	anger	0.875
fighting	boj	anger	0.868
annihilated	uničen	anger	0.865
attacking	napadajo	anger	0.865
angriest	najbolj jezen	anger	0.864
bloodshed	krvoproba	anger	0.864
smite	smite	anger	0.862
brawl	preganjati	anger	0.861
assault	napad	anger	0.859
malicious	zlonamerno	anger	0.859
strangle	zadaviti	anger	0.859
tirade	tirade	anger	0.859
explode	eksplodira	anger	0.859
assassination	atentat	anger	0.859
hostility	sovražnost	anger	0.859
loathsome	Grozljivo	anger	0.857
hell	hudiča	anger	0.853
murderous	morilec	anger	0.853
attack	napad	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorizem	anger	0.851
beating	premagal	anger	0.849
desecration	skrunjenje	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ogorčenje	anger	0.848
stab	zabodel	anger	0.844
slaughter	zakol	anger	0.844
violent	nasilno	anger	0.844
destroying	uničenje	anger	0.844
abomination	gnusoba	anger	0.844
tumultuous	burno	anger	0.844
irate	Grozno	anger	0.844
infuriate	navijati	anger	0.844
obliterate	izbrisati	anger	0.843
belligerent	zaljubljen	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	odvratiti	anger	0.838
hostilities	sovražnosti	anger	0.837
prick	prick	anger	0.835
torture	mučenje	anger	0.833
rabid	poln	anger	0.833
horrid	grozno	anger	0.833
rampage	divljanje	anger	0.833
cruelty	krutost	anger	0.833
hate	sovraštvo	anger	0.828
demonic	demonsko	anger	0.828
hating	sovraštvo	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tiransko	anger	0.828
ragemode	ragemode	anger	0.828
despicable	prezira	anger	0.828
ruinous	uničujoče	anger	0.825
condemn	obsojaj	anger	0.825
riots	nemiri	anger	0.824
demolish	uničiti	anger	0.824
angry	jezen	anger	0.824
extermination	iztrebljanje	anger	0.824
dickhead	dickhead	anger	0.824
livid	LIVE	anger	0.821
madman	norca	anger	0.820
vindictive	maščevalen	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	strupeni	anger	0.818
threaten	grozi	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terorista	anger	0.818
abhor	Odguba	anger	0.816
savage	divji	anger	0.814
atrocity	grozote	anger	0.814
carnage	pokolja	anger	0.814
berserk	Berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	zlorabe	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	jezen	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ostro	anger	0.812
destroyer	uničevalec	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	pihanje	anger	0.812
barbaric	barbarski	anger	0.812
anger	jeza	anger	0.811
pieceofshit	kos	anger	0.810
slam	Slam	anger	0.803
fights	bori	anger	0.803
punched	udaril	anger	0.803
bitch	prasica	anger	0.803
punching	izsekavanje	anger	0.803
homicide	umor	anger	0.803
destructive	uničujoče	anger	0.797
ruthless	brezobzirno	anger	0.797
villainous	zloben	anger	0.797
slap	Slap	anger	0.791
slaughterhouse	klavnice	anger	0.788
punishing	kaznovanje	anger	0.788
destroyed	uničeni	anger	0.788
retaliatory	Povratni	anger	0.788
riot	nemiri	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	vikanje	anger	0.788
growthefuckup	rastejo	anger	0.788
diabolical	diabolično	anger	0.788
manslaughter	uboj	anger	0.783
