word	Somali-so	emotion	emotion-intensity-score
outraged	ka careysiisay	anger	0.964
brutality	gardarrada	anger	0.959
hatred	nacayb	anger	0.953
hateful	nacayb ah	anger	0.940
terrorize	argagixiso	anger	0.939
violently	rabshad	anger	0.938
infuriated	aad u xun	anger	0.938
furious	cadho	anger	0.929
enraged	murugaysan	anger	0.927
furiously	si cad	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	dilka	anger	0.922
fury	cadho	anger	0.922
execution	dil	anger	0.917
angered	caro	anger	0.916
savagery	walaac	anger	0.915
slaughtering	gawaarida	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	baabi'inta	anger	0.912
assassinate	dil	anger	0.912
rage	xanaaq	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	dammaanad	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	xayiraad	anger	0.906
furor	furor	anger	0.900
hostile	colaad	anger	0.898
annihilate	baabi'i	anger	0.898
murder	dil	anger	0.897
raging	kacsanaan	anger	0.896
vengeful	kufsi leh	anger	0.894
rape	kufsi	anger	0.894
ferocious	qallafsan	anger	0.894
pissed	dhunkaday	anger	0.894
obliterated	la tirtiray	anger	0.894
infuriates	aad u daran	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	qarxa	anger	0.894
killing	dil	anger	0.893
combative	isku-dhafan	anger	0.891
gofuckyourself	Gofuckyourself	anger	0.886
vengeance	aargoosi	anger	0.886
torment	ciqaab	anger	0.885
wrath	cadho	anger	0.885
vicious	wax xun	anger	0.884
massacre	xasuuq	anger	0.882
threatening	hanjabaad	anger	0.882
pissoff	caarada	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	dhiig-kicinta	anger	0.875
fighting	dagaal	anger	0.868
annihilated	baabi'iyay	anger	0.865
attacking	weerarka	anger	0.865
angriest	geesinimada	anger	0.864
bloodshed	dhiig ku daatay	anger	0.864
smite	garaac	anger	0.862
brawl	ujeeda	anger	0.861
assault	weerarka	anger	0.859
malicious	xaasidnimo	anger	0.859
strangle	dharbaaxo	anger	0.859
tirade	tirade	anger	0.859
explode	qarxi	anger	0.859
assassination	dil	anger	0.859
hostility	colaad	anger	0.859
loathsome	dharbaaxo	anger	0.857
hell	hell	anger	0.853
murderous	dil	anger	0.853
attack	weerarka	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	argagixisanimo	anger	0.851
beating	garaacid	anger	0.849
desecration	jeexasho	anger	0.848
pissingmeoff	dhirbaaxo	anger	0.848
outrage	caro	anger	0.848
stab	gaajo	anger	0.844
slaughter	la gowraco	anger	0.844
violent	rabshad	anger	0.844
destroying	burburinta	anger	0.844
abomination	abomin	anger	0.844
tumultuous	qallafsan	anger	0.844
irate	gadaal	anger	0.844
infuriate	xanaaqsan	anger	0.844
obliterate	Tirtirid	anger	0.843
belligerent	xayeysiin	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	gardarrada	anger	0.838
hostilities	colaadaha	anger	0.837
prick	cuncun	anger	0.835
torture	jirdil	anger	0.833
rabid	rabid	anger	0.833
horrid	cabsi	anger	0.833
rampage	kufsi	anger	0.833
cruelty	nacayb	anger	0.833
hate	necbahay	anger	0.828
demonic	jinni	anger	0.828
hating	necbahay	anger	0.828
satanic	Shaydaanka	anger	0.828
tyrannical	caqligal ah	anger	0.828
ragemode	ragemode	anger	0.828
despicable	niyad jab	anger	0.828
ruinous	burburin	anger	0.825
condemn	cambaareyn	anger	0.825
riots	rabshado	anger	0.824
demolish	burburin	anger	0.824
angry	xanaaq	anger	0.824
extermination	burburinta	anger	0.824
dickhead	dickhead	anger	0.824
livid	si fudud	anger	0.821
madman	madman	anger	0.820
vindictive	udifaac	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	shuban	anger	0.818
venomous	gumeysi	anger	0.818
threaten	hanjabaad	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	argagixiso	anger	0.818
abhor	necbahay	anger	0.816
savage	walaac	anger	0.814
atrocity	xasaasiyad	anger	0.814
carnage	dhuxusha	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	xadgudub	anger	0.812
tyrant	Tikroole	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	isweydaarsi	anger	0.812
vendetta	vendetta	anger	0.812
fierce	rabshad	anger	0.812
destroyer	burburiyaha	anger	0.812
pissesmeoff	boodhka	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaric	anger	0.812
anger	xanaaq	anger	0.811
pieceofshit	gabal	anger	0.810
slam	slam	anger	0.803
fights	dagaal	anger	0.803
punched	furay	anger	0.803
bitch	qashin	anger	0.803
punching	foorida	anger	0.803
homicide	dilka	anger	0.803
destructive	burburin	anger	0.797
ruthless	daacad ah	anger	0.797
villainous	shaki	anger	0.797
slap	xoqin	anger	0.791
slaughterhouse	gooynta	anger	0.788
punishing	ciqaabta	anger	0.788
destroyed	burburay	anger	0.788
retaliatory	aargudasho	anger	0.788
riot	rabshado	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	qaylo	anger	0.788
growthefuckup	kobcinta	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	xishood la'aan	anger	0.783
clash	isku dhac	anger	0.783
bloody	dhiigga	anger	0.781
hellish	hellish	anger	0.781
loath	waa been	anger	0.781
detonation	qarxin	anger	0.781
quarrel	murugo	anger	0.781
