word	Spanish-es	emotion	emotion-intensity-score
outraged	indignado	anger	0.964
brutality	brutalidad	anger	0.959
hatred	odio	anger	0.953
hateful	odioso	anger	0.940
terrorize	aterrorizar	anger	0.939
violently	violentamente	anger	0.938
infuriated	enfurecido	anger	0.938
furious	furioso	anger	0.929
enraged	enfurecido	anger	0.927
furiously	furiosamente	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	asesino	anger	0.922
fury	furia	anger	0.922
execution	ejecución	anger	0.917
angered	enojado	anger	0.916
savagery	salvajismo	anger	0.915
slaughtering	matanza	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	aniquilación	anger	0.912
assassinate	asesinar	anger	0.912
rage	rabia	anger	0.911
loathe	detestar	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	condenación	anger	0.906
fucktard	maldito	anger	0.906
homicidal	homicida	anger	0.906
furor	furor	anger	0.900
hostile	hostil	anger	0.898
annihilate	aniquilar	anger	0.898
murder	asesinato	anger	0.897
raging	furioso	anger	0.896
vengeful	vengativo	anger	0.894
rape	violación	anger	0.894
ferocious	feroz	anger	0.894
pissed	Molesto	anger	0.894
obliterated	borrado	anger	0.894
infuriates	enfurece	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosivo	anger	0.894
killing	asesinato	anger	0.893
combative	combativo	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	venganza	anger	0.886
torment	tormento	anger	0.885
wrath	ira	anger	0.885
vicious	vicioso	anger	0.884
massacre	masacre	anger	0.882
threatening	amenazante	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	aborrecible	anger	0.875
bloodthirsty	sanguinario	anger	0.875
fighting	lucha	anger	0.868
annihilated	aniquilado	anger	0.865
attacking	agresor	anger	0.865
angriest	enojado	anger	0.864
bloodshed	matanza	anger	0.864
smite	herir	anger	0.862
brawl	pelearse	anger	0.861
assault	asalto	anger	0.859
malicious	malicioso	anger	0.859
strangle	estrangular	anger	0.859
tirade	diatriba	anger	0.859
explode	explotar	anger	0.859
assassination	asesinato	anger	0.859
hostility	hostilidad	anger	0.859
loathsome	repugnante	anger	0.857
hell	infierno	anger	0.853
murderous	asesino	anger	0.853
attack	ataque	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorismo	anger	0.851
beating	paliza	anger	0.849
desecration	profanación	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	atropello	anger	0.848
stab	puñalada	anger	0.844
slaughter	sacrificio	anger	0.844
violent	violento	anger	0.844
destroying	destruyendo	anger	0.844
abomination	abominación	anger	0.844
tumultuous	tumultuoso	anger	0.844
irate	airado	anger	0.844
infuriate	enfurecer	anger	0.844
obliterate	obliterar	anger	0.843
belligerent	beligerante	anger	0.841
