word	Sundanese-su	emotion	emotion-intensity-score
outraged	outraged	anger	0.964
brutality	kakejaman	anger	0.959
hatred	hatred	anger	0.953
hateful	mikacua	anger	0.940
terrorize	ngancam	anger	0.939
violently	rongkah	anger	0.938
infuriated	infuriated	anger	0.938
furious	ambek pisan	anger	0.929
enraged	enraged	anger	0.927
furiously	furiously	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	murderer	anger	0.922
fury	buluan nu hipu	anger	0.922
execution	eksekusi	anger	0.917
angered	angered	anger	0.916
savagery	savagery	anger	0.915
slaughtering	slaughtering	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	cara ngaremukan	anger	0.912
assassinate	maehan	anger	0.912
rage	ambek-ambekan	anger	0.911
loathe	loathe	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	damnation	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	mumusuhan	anger	0.898
annihilate	ngahancurkeun	anger	0.898
murder	rajapati	anger	0.897
raging	raging	anger	0.896
vengeful	vengeful	anger	0.894
rape	maksa mirusa	anger	0.894
ferocious	ferocious	anger	0.894
pissed	pissed	anger	0.894
obliterated	robah dina jangka	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	bitu	anger	0.894
killing	pembunuhan	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	pamales kanyeri	anger	0.886
torment	milaraan	anger	0.885
wrath	murka	anger	0.885
vicious	galak	anger	0.884
massacre	mateni kalawan kejem	anger	0.882
threatening	ngancam	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	abhorrent	anger	0.875
bloodthirsty	bloodthirsty	anger	0.875
fighting	tarung	anger	0.868
annihilated	annihilated	anger	0.865
attacking	narajang	anger	0.865
angriest	angriest	anger	0.864
bloodshed	banjir getih	anger	0.864
smite	smite	anger	0.862
brawl	tawuran	anger	0.861
assault	narajang	anger	0.859
malicious	jahat	anger	0.859
strangle	nyekek	anger	0.859
tirade	tirade	anger	0.859
explode	ngabitukeun	anger	0.859
assassination	rajapati	anger	0.859
hostility	mumusuhan	anger	0.859
loathsome	loathsome	anger	0.857
hell	naraka	anger	0.853
murderous	murderous	anger	0.853
attack	panarajang	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terorisme	anger	0.851
beating	teunggeulan	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	kalakuan cucungah	anger	0.848
stab	nubles	anger	0.844
slaughter	meuncit	anger	0.844
violent	telenges	anger	0.844
destroying	ngaruksak	anger	0.844
abomination	abomination	anger	0.844
tumultuous	tumultuous	anger	0.844
irate	irate	anger	0.844
infuriate	ambek	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	suka gelut	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	karusuhan	anger	0.837
prick	prick	anger	0.835
torture	milaraan	anger	0.833
rabid	rabid	anger	0.833
horrid	horrid	anger	0.833
rampage	rampage	anger	0.833
cruelty	cruelty	anger	0.833
hate	mikangewa	anger	0.828
demonic	demonic	anger	0.828
hating	hating	anger	0.828
satanic	satanic	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	hina	anger	0.828
ruinous	ruinous	anger	0.825
condemn	ngahukum	anger	0.825
riots	karusuhan	anger	0.824
demolish	demolish	anger	0.824
angry	ambek	anger	0.824
extermination	ngaleungitkeun	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	hayang males kanyeri	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocity	anger	0.818
venomous	venomous	anger	0.818
threaten	ngancam	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	teroris	anger	0.818
abhor	abhor	anger	0.816
savage	telenges	anger	0.814
atrocity	atrocity	anger	0.814
carnage	raja pati gegedean	anger	0.814
