word	Swahili-sw	emotion	emotion-intensity-score
outraged	hasira	anger	0.964
brutality	ukatili	anger	0.959
hatred	chuki	anger	0.953
hateful	chuki	anger	0.940
terrorize	kutisha	anger	0.939
violently	kwa ukali	anger	0.938
infuriated	hasira	anger	0.938
furious	hasira	anger	0.929
enraged	hasira	anger	0.927
furiously	kwa bidii	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	mwuaji	anger	0.922
fury	hasira	anger	0.922
execution	utekelezaji	anger	0.917
angered	hasira	anger	0.916
savagery	uharibifu	anger	0.915
slaughtering	kuua	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	kuangamiza	anger	0.912
assassinate	kuua	anger	0.912
rage	hasira	anger	0.911
loathe	tamaa	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	uharibifu	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	homicidal	anger	0.906
furor	furor	anger	0.900
hostile	chuki	anger	0.898
annihilate	kuangamiza	anger	0.898
murder	mauaji	anger	0.897
raging	hasira	anger	0.896
vengeful	kulipiza kisasi	anger	0.894
rape	kubaka	anger	0.894
ferocious	hasira	anger	0.894
pissed	kupigwa	anger	0.894
obliterated	imetolewa	anger	0.894
infuriates	hukasirika	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	kulipuka	anger	0.894
killing	kuua	anger	0.893
combative	kupigana	anger	0.891
gofuckyourself	gofucky mwenyewe	anger	0.886
vengeance	kisasi	anger	0.886
torment	mateso	anger	0.885
wrath	hasira	anger	0.885
vicious	mbaya	anger	0.884
massacre	mauaji	anger	0.882
threatening	kutishia	anger	0.882
pissoff	udhi	anger	0.875
abhorrent	chuki	anger	0.875
bloodthirsty	damu	anger	0.875
fighting	mapigano	anger	0.868
annihilated	kuharibiwa	anger	0.865
attacking	kushambulia	anger	0.865
angriest	hasira	anger	0.864
bloodshed	kupoteza damu	anger	0.864
smite	piga	anger	0.862
brawl	shawl	anger	0.861
assault	shambulio	anger	0.859
malicious	malicious	anger	0.859
strangle	tamaa	anger	0.859
tirade	tirade	anger	0.859
explode	kulipuka	anger	0.859
assassination	mauaji	anger	0.859
hostility	uadui	anger	0.859
loathsome	inachukia	anger	0.857
hell	Jahannamu	anger	0.853
murderous	wauaji	anger	0.853
attack	kushambulia	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ugaidi	anger	0.851
beating	kumpiga	anger	0.849
desecration	uharibifu	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	hasira	anger	0.848
stab	kupiga	anger	0.844
slaughter	kuchinjwa	anger	0.844
violent	vurugu	anger	0.844
destroying	kuharibu	anger	0.844
abomination	chukizo	anger	0.844
tumultuous	kutisha	anger	0.844
irate	hasira	anger	0.844
infuriate	hasira	anger	0.844
obliterate	kuharibu	anger	0.843
belligerent	wanapigana	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	chukia	anger	0.838
hostilities	vita	anger	0.837
prick	tamaa	anger	0.835
torture	mateso	anger	0.833
rabid	rabid	anger	0.833
horrid	tamaa	anger	0.833
rampage	rampage	anger	0.833
cruelty	ukatili	anger	0.833
hate	chukia	anger	0.828
demonic	pepo	anger	0.828
hating	kuchukia	anger	0.828
satanic	Shetani	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	kudharauliwa	anger	0.828
ruinous	uharibifu	anger	0.825
condemn	kulaani	anger	0.825
riots	vurugu	anger	0.824
demolish	kubomoa	anger	0.824
angry	hasira	anger	0.824
extermination	uharibifu	anger	0.824
dickhead	dickhead	anger	0.824
livid	wazi	anger	0.821
madman	wazimu	anger	0.820
vindictive	kutetea	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	futi	anger	0.818
venomous	sumu	anger	0.818
threaten	tishia	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	kigaidi	anger	0.818
abhor	chukia	anger	0.816
savage	savage	anger	0.814
atrocity	atrocity	anger	0.814
carnage	mauaji	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	unyanyasaji	anger	0.812
tyrant	mshambuliaji	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	kasirika	anger	0.812
vendetta	vendetta	anger	0.812
fierce	mkali	anger	0.812
destroyer	mharibifu	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	kufuta	anger	0.812
barbaric	barbaric	anger	0.812
anger	hasira	anger	0.811
pieceofshit	kipande	anger	0.810
slam	slam	anger	0.803
fights	vita	anger	0.803
punched	alipigwa	anger	0.803
bitch	bitch	anger	0.803
punching	kupiga	anger	0.803
homicide	kujiua	anger	0.803
destructive	uharibifu	anger	0.797
ruthless	hasira	anger	0.797
villainous	wenyeji	anger	0.797
slap	kupiga	anger	0.791
slaughterhouse	kuchinjwa	anger	0.788
punishing	kuadhibu	anger	0.788
destroyed	kuharibiwa	anger	0.788
retaliatory	kisasi	anger	0.788
riot	rushwa	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	kupiga kelele	anger	0.788
growthefuckup	kukua	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	mchinjaji	anger	0.783
clash	mgongano	anger	0.783
bloody	damu	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	uharibifu	anger	0.781
quarrel	ugomvi	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	akashtaki	anger	0.779
treacherous	waaminifu	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	kulipiza kisasi	anger	0.773
revulsion	uasi	anger	0.773
madder	wazimu	anger	0.773
horrific	kutisha	anger	0.773
scorn	dharau	anger	0.769
deplorable	huzuni	anger	0.766
bomb	bomu	anger	0.766
anarchist	anarchist	anger	0.765
devastation	uharibifu	anger	0.765
resent	chuki	anger	0.765
firestorm	moto	anger	0.765
contemptible	wanadharauliwa	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	mkatili	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mauti	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	kupasuka	anger	0.757
snarl	tamaa	anger	0.754
profane	kibaya	anger	0.750
offend	hukosa	anger	0.750
douchebags	douchebags	anger	0.750
growling	kupendeza	anger	0.750
stfu	stfu	anger	0.750
vulgarity	uchafu	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	walipoteza	anger	0.750
despise	kudharau	anger	0.750
horror	hofu	anger	0.750
aggravating	kuchochea	anger	0.750
revolting	kukiuka	anger	0.750
fuckedoff	fuckedoff	anger	0.742
