word	Swedish-sv	emotion	emotion-intensity-score
outraged	upprörda	anger	0.964
brutality	råhet	anger	0.959
hatred	hat	anger	0.953
hateful	förhatlig	anger	0.940
terrorize	terrorisera	anger	0.939
violently	våldsamt	anger	0.938
infuriated	infuriated	anger	0.938
furious	rasande	anger	0.929
enraged	rasande	anger	0.927
furiously	ursinnigt	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	mördare	anger	0.922
fury	raseri	anger	0.922
execution	avrättning	anger	0.917
angered	retade	anger	0.916
savagery	barbari	anger	0.915
slaughtering	slakt	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	förintelse	anger	0.912
assassinate	mörda	anger	0.912
rage	rasa	anger	0.911
loathe	avsky	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	fördömelse	anger	0.906
fucktard	Fucktard	anger	0.906
homicidal	mordisk	anger	0.906
furor	furor	anger	0.900
hostile	fientlig	anger	0.898
annihilate	förinta	anger	0.898
murder	mörda	anger	0.897
raging	rasande	anger	0.896
vengeful	hämnd	anger	0.894
rape	våldta	anger	0.894
ferocious	våldsam	anger	0.894
pissed	förbannad	anger	0.894
obliterated	utplånas	anger	0.894
infuriates	infuriates	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	explosiv	anger	0.894
killing	dödande	anger	0.893
combative	combative	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	hämnd	anger	0.886
torment	plåga	anger	0.885
wrath	vrede	anger	0.885
vicious	ond	anger	0.884
massacre	massaker	anger	0.882
threatening	hotfull	anger	0.882
pissoff	dra åt helvete	anger	0.875
abhorrent	motbjudande	anger	0.875
bloodthirsty	blodtörstig	anger	0.875
fighting	stridande	anger	0.868
annihilated	förintas	anger	0.865
attacking	attackera	anger	0.865
angriest	angriest	anger	0.864
bloodshed	blodsutgjutelse	anger	0.864
smite	slå	anger	0.862
brawl	bråk	anger	0.861
assault	överfall	anger	0.859
malicious	illvillig	anger	0.859
strangle	strypa	anger	0.859
tirade	tirad	anger	0.859
explode	explodera	anger	0.859
assassination	lönnmord	anger	0.859
hostility	fientlighet	anger	0.859
loathsome	avskyvärd	anger	0.857
hell	Helvete	anger	0.853
murderous	mördande	anger	0.853
attack	ge sig på	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorism	anger	0.851
beating	stryk	anger	0.849
desecration	vanhelgande	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	upprördhet	anger	0.848
stab	hugg	anger	0.844
slaughter	slakt	anger	0.844
violent	våldsam	anger	0.844
destroying	förstöra	anger	0.844
abomination	avsky	anger	0.844
tumultuous	stormande	anger	0.844
irate	ilsken	anger	0.844
infuriate	infuriate	anger	0.844
obliterate	utplåna	anger	0.843
belligerent	belligerent	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	avsky	anger	0.838
hostilities	fientlighet	anger	0.837
prick	sticka	anger	0.835
torture	tortyr	anger	0.833
rabid	fanatisk	anger	0.833
horrid	otäck	anger	0.833
rampage	framfart	anger	0.833
cruelty	grymhet	anger	0.833
hate	hata	anger	0.828
demonic	demonisk	anger	0.828
hating	hating	anger	0.828
satanic	satanisk	anger	0.828
tyrannical	tyrannisk	anger	0.828
ragemode	ursinnesläge	anger	0.828
despicable	föraktlig	anger	0.828
ruinous	ödeläggande	anger	0.825
condemn	fördöma	anger	0.825
riots	kravaller	anger	0.824
demolish	förstöra	anger	0.824
angry	arg	anger	0.824
extermination	utrotning	anger	0.824
dickhead	tjockskalle	anger	0.824
livid	askgrå	anger	0.821
madman	galning	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	grymhet	anger	0.818
venomous	giftig	anger	0.818
threaten	hota	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	avsky	anger	0.816
savage	vilde	anger	0.814
atrocity	illdåd	anger	0.814
carnage	blodbad	anger	0.814
berserk	bärsärk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	missbruk	anger	0.812
tyrant	tyrann	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	förbannad	anger	0.812
vendetta	vendetta	anger	0.812
fierce	våldsam	anger	0.812
destroyer	jagare	anger	0.812
pissesmeoff	gör mig förbannad	anger	0.812
fuming	rykande	anger	0.812
barbaric	barba	anger	0.812
anger	ilska	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	slagsmål	anger	0.803
punched	stansade	anger	0.803
bitch	tik	anger	0.803
punching	stansning	anger	0.803
homicide	dråp	anger	0.803
destructive	destruktiv	anger	0.797
ruthless	hänsynslös	anger	0.797
villainous	skurkaktig	anger	0.797
slap	slag	anger	0.791
slaughterhouse	slakteri	anger	0.788
punishing	straffa	anger	0.788
destroyed	förstörd	anger	0.788
retaliatory	motåtgärder	anger	0.788
riot	upplopp	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	skrikande	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	djävulsk	anger	0.788
manslaughter	dråp	anger	0.783
clash	krock	anger	0.783
bloody	blodig	anger	0.781
hellish	helvetisk	anger	0.781
loath	ovillig	anger	0.781
detonation	detonation	anger	0.781
quarrel	gräl	anger	0.781
sinister	olycksbådande	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	anklagar	anger	0.779
treacherous	förrädisk	anger	0.779
