word	Tagalog (Filipino)-tl	emotion	emotion-intensity-score
outraged	nagalit	anger	0.964
brutality	brutality	anger	0.959
hatred	galit	anger	0.953
hateful	mapoot	anger	0.940
terrorize	takutin	anger	0.939
violently	marahas	anger	0.938
infuriated	nagagalit	anger	0.938
furious	galit na galit	anger	0.929
enraged	galit na galit	anger	0.927
furiously	maramdaman	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	mamamatay-tao	anger	0.922
fury	galit	anger	0.922
execution	pagpapatupad	anger	0.917
angered	angered	anger	0.916
savagery	malupit	anger	0.915
slaughtering	pagpatay	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	fuckoff	anger	0.912
annihilation	paglipol	anger	0.912
assassinate	mamamatay	anger	0.912
rage	galit	anger	0.911
loathe	pagod	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	pagsumpa	anger	0.906
fucktard	fucktard	anger	0.906
homicidal	pagpatay	anger	0.906
furor	kaguluhan	anger	0.900
hostile	pagalit	anger	0.898
annihilate	puksain	anger	0.898
murder	pagpatay	anger	0.897
raging	naglalakad	anger	0.896
vengeful	mapaghiganti	anger	0.894
rape	panggagahasa	anger	0.894
ferocious	galit na galit	anger	0.894
pissed	pissed	anger	0.894
obliterated	pinalayas	anger	0.894
infuriates	nagpapasuko	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	paputok	anger	0.894
killing	pagpatay	anger	0.893
combative	nakakasakit	anger	0.891
gofuckyourself	gofuckyourself	anger	0.886
vengeance	paghihiganti	anger	0.886
torment	paghihirap	anger	0.885
wrath	galit	anger	0.885
vicious	mabisyo	anger	0.884
massacre	pagpatay	anger	0.882
threatening	pagbabanta	anger	0.882
pissoff	pissoff	anger	0.875
abhorrent	kasuklam-suklam	anger	0.875
bloodthirsty	uhaw sa dugo	anger	0.875
fighting	lumalaban	anger	0.868
annihilated	nilipol	anger	0.865
attacking	umaatake	anger	0.865
angriest	angriest	anger	0.864
bloodshed	pagdanak ng dugo	anger	0.864
smite	smite	anger	0.862
brawl	gulo	anger	0.861
assault	pag-atake	anger	0.859
malicious	may masamang hangarin	anger	0.859
strangle	bigla	anger	0.859
tirade	tirade	anger	0.859
explode	sumabog	anger	0.859
assassination	pagpatay	anger	0.859
hostility	poot	anger	0.859
loathsome	kasuklam-suklam	anger	0.857
hell	impiyerno	anger	0.853
murderous	nakamamatay	anger	0.853
attack	atake	anger	0.853
malice	NO TRANSLATION	anger	0.852
