word	Tajik-tg	emotion	emotion-intensity-score
outraged	хашмгин	anger	0.964
brutality	хушунат	anger	0.959
hatred	нафрат	anger	0.953
hateful	бадбинӣ	anger	0.940
terrorize	террористӣ	anger	0.939
violently	зӯроварӣ	anger	0.938
infuriated	шадид	anger	0.938
furious	хашмгин	anger	0.929
enraged	хашмгин	anger	0.927
furiously	хашмгин	anger	0.927
screwyou	NO TRANSLATION	anger	0.924
murderer	кушташудагон	anger	0.922
fury	хашмгин	anger	0.922
execution	иҷрои	anger	0.917
angered	хашмгин	anger	0.916
savagery	ватандӯстӣ	anger	0.915
slaughtering	забҳ кардан	anger	0.914
veryangry	NO TRANSLATION	anger	0.913
fuckoff	Шабакаҳои иҷтимоъӣ	anger	0.912
annihilation	нест кардан	anger	0.912
assassinate	куштор	anger	0.912
rage	хашм	anger	0.911
loathe	нофармонанд	anger	0.909
roadrage	NO TRANSLATION	anger	0.906
damnation	латукӯб	anger	0.906
fucktard	фучур	anger	0.906
homicidal	вирус	anger	0.906
furor	бӯй	anger	0.900
hostile	душманона	anger	0.898
annihilate	нобуд созед	anger	0.898
murder	куштор	anger	0.897
raging	шадид	anger	0.896
vengeful	сангин	anger	0.894
rape	таҷовуз	anger	0.894
ferocious	оҳиста-оҳиста	anger	0.894
pissed	шодравон	anger	0.894
obliterated	нобуд карда шудааст	anger	0.894
infuriates	шадид	anger	0.894
sopissed	NO TRANSLATION	anger	0.894
explosive	таркиш	anger	0.894
killing	куштор	anger	0.893
combative	омехта	anger	0.891
gofuckyourself	Гофуккорост	anger	0.886
vengeance	ҷазо додан	anger	0.886
torment	азоб мекашанд	anger	0.885
wrath	ғазаб	anger	0.885
vicious	шадид	anger	0.884
massacre	куштор	anger	0.882
threatening	таҳдид мекунанд	anger	0.882
pissoff	Писар	anger	0.875
abhorrent	Садо Ояндасоз	anger	0.875
bloodthirsty	хунрезӣ	anger	0.875
fighting	мубориза мебаранд	anger	0.868
annihilated	нестанд	anger	0.865
attacking	ҳамла	anger	0.865
angriest	angriest	anger	0.864
bloodshed	хунрезӣ	anger	0.864
smite	дӯхтед	anger	0.862
brawl	ҷарима	anger	0.861
assault	ҳамла	anger	0.859
malicious	бадкирдор	anger	0.859
strangle	сангин	anger	0.859
tirade	рақам	anger	0.859
explode	тарк кунед	anger	0.859
assassination	куштор	anger	0.859
hostility	душманӣ	anger	0.859
loathsome	нопадид шудааст	anger	0.857
hell	Ҷаҳаннам	anger	0.853
murderous	куштор	anger	0.853
attack	ҳамла	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	терроризм	anger	0.851
beating	латукӯб	anger	0.849
desecration	ихтиёрӣ	anger	0.848
pissingmeoff	Писандидам	anger	0.848
outrage	азият мекашанд	anger	0.848
stab	стаб	anger	0.844
slaughter	қатл	anger	0.844
violent	зӯроварӣ	anger	0.844
destroying	нобуд кардан	anger	0.844
abomination	золимона	anger	0.844
tumultuous	бесамар аст	anger	0.844
irate	азият мекашед	anger	0.844
infuriate	шадид	anger	0.844
obliterate	нобуд кардан	anger	0.843
belligerent	дубора	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	задааст	anger	0.838
hostilities	ҷангҳо	anger	0.837
prick	харида мешавад	anger	0.835
torture	шиканҷа	anger	0.833
rabid	шиддат	anger	0.833
horrid	шадид	anger	0.833
rampage	рамзи	anger	0.833
cruelty	таҳрик	anger	0.833
hate	нафрат	anger	0.828
demonic	девона	anger	0.828
hating	нафрат	anger	0.828
satanic	Шайтон	anger	0.828
tyrannical	тиражӣ	anger	0.828
ragemode	ранги симпозиум	anger	0.828
despicable	нопадид аст	anger	0.828
ruinous	зӯроварӣ	anger	0.825
condemn	маҳкум мекунанд	anger	0.825
riots	шӯришҳо	anger	0.824
demolish	вайрон карда шудааст	anger	0.824
angry	хашмгин	anger	0.824
extermination	нобуд кардан	anger	0.824
dickhead	диквид	anger	0.824
livid	лимит	anger	0.821
madman	девона	anger	0.820
vindictive	мантиқан	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	Шабака	anger	0.818
venomous	возеҳ аст	anger	0.818
threaten	таҳдид мекунад	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	террорист	anger	0.818
abhor	нафратангез	anger	0.816
savage	вирус	anger	0.814
atrocity	золимона	anger	0.814
carnage	ҷаримавӣ	anger	0.814
berserk	бесер	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	зӯроварӣ	anger	0.812
tyrant	толор	anger	0.812
fucksake	Флора	anger	0.812
pissedoff	ғазабнок	anger	0.812
vendetta	vendetta	anger	0.812
fierce	шадид	anger	0.812
destroyer	нобудкунанда	anger	0.812
pissesmeoff	Писарбача	anger	0.812
fuming	фахр кардан	anger	0.812
barbaric	барбарӣ	anger	0.812
anger	хашм	anger	0.811
pieceofshit	Пуршунавандаҳо	anger	0.810
slam	Садо Ояндасоз	anger	0.803
fights	ҷангҳо	anger	0.803
punched	дӯхта шудааст	anger	0.803
bitch	бич	anger	0.803
punching	қаҳвахона	anger	0.803
homicide	куштор	anger	0.803
destructive	харобкунанда	anger	0.797
ruthless	бесавод	anger	0.797
villainous	зӯроварӣ	anger	0.797
slap	сандуқ	anger	0.791
slaughterhouse	гилхок	anger	0.788
punishing	ҷазо додан	anger	0.788
destroyed	нобуд карда шуданд	anger	0.788
retaliatory	раҳоӣ ёфтан	anger	0.788
riot	шӯриш	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	хандидан	anger	0.788
growthefuckup	афзоиш меёбад	anger	0.788
diabolical	диаболикӣ	anger	0.788
manslaughter	хондан	anger	0.783
clash	муноқиша	anger	0.783
bloody	хунӣ	anger	0.781
hellish	Ҷаҳаннам	anger	0.781
loath	хафа нашавед	anger	0.781
detonation	сӯхтор	anger	0.781
quarrel	мубоҳиса	anger	0.781
sinister	афсона	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	айбдоршаванда	anger	0.779
treacherous	хашмгин	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ҷазо диҳед	anger	0.773
revulsion	таркиб ёфтааст	anger	0.773
